#land-mine_noun	maMxupAwara
%awning_noun	cAMxini/RAmiyAnA
Holi_noun	vasaMwowsavaM
Holy-Spirit-in-Christian-theology_noun	pariSuxXAwma
Holy_noun	holYi
Hun_noun	hUNudu
Hyderabad_noun	hExarAbAxu
I've-been-saved!_interjection	bawukujIvudA!
I-could-not-hear-the-words-distinctly_noun	gola
I-will-be-content-to-eat-leaves'_noun	balusa
I-will-bring-them-in-a-little-time_adjective	eVccipacci
I-will-come-too_adverb	suwa
I-will-offer-my-ear-as-a-stake_verb	kaxapAyiMcu
I-wonder_interjection	ceVpmA!
III_noun	mUdu/wqwIya
II_noun	reVMdava/reVMdu/xviwIya
I_noun	nenu
I_pronoun	nenu
Iguana-iguana_noun	roXika/udumu
India_noun	BarawaKaMdaM/BArawaM/BarawavarRaM/BArawaxeSaM/karmaBUmi/karmakRewraM/vexaBUmi/XarmakRewraM
Indian-corn_noun	moVkka_joVnnakaMdi/moVkka_joVnnakaMki/moVkka_joVnna
Indian-cuckoo_noun	kokila/koyila/pikaM
Indian-hemp-plant_noun	gogAku/gogu/goMgUra
Indian-hemp_noun	BaMgu/gaMjAyi/goMgUra
Indian-lotus_noun	aMbujaM/jalajaM/kamalaM/nIrajaM/paMkajaM/paxmaM/wAmara
Indian-measure-of-time-equal-to-24-minutes_noun	Gatika
Indian-measure-of-time-equal-to_noun	gadiya/Gadiya/Gatika
Indian-relish_noun	bajji/catanI/catni/gujju/paccadi/savyaMjanamu/UrubiMdi/woVkku
Indian-sarsaparilla_noun	sugaMXi_pAla
Indian-spikenard_noun	jatAmAMsi
Indian_adjective	BArawIya
Indian_verb	BArawIya
Indra's-banner-or-emblem_noun	vEjayaMwaM
Indra's-heaven_noun	svargaM/svarlokaM/xevalokaM
Indra's-palace_noun	vEjayaMwaM
Indra's-pleasure-garden_noun	naMxanavanaM/naMxanoxyAnaM
Indra's-weapon_noun	vajrAyuXaM
Indra_noun	iMxrudu/xeveMxrudu
Inferno_noun	naraka_lokaM/pApapu_lokamu/yamalokamu/yamasaxanamu
Irish-potato_noun	baMgAlYAxuMpa/urlagadda
Jagir_noun	jAgIr
Jagirdar_noun	jAgIrxAr
Jain-ascetic_noun	xigaMbarudu
Jain-saint_noun	wIrWaMkarudu
Jain_noun	jEnudu
Jainism_noun	jEnaM
Jamadar_noun	jamexAru
January_noun	puRyaM
Japan_noun	japAnu
Jew_noun	yUxIyudu/yUxudu
Jewish_adjective	yUxu
Jewish_verb	yUxIya/yUxu
Jupiter-planet_noun	gurudu
Kabandha_noun	kabaMXudu
Kanchipuram_noun	kaMci
Kannada_noun	kannadaM
Kartik_noun	kArwIka_mAsaM/kArwIkamu
Karttika_noun	kArwIka_mAsaM/kArwIkamu
Kasi_noun	kASI
Kautilya-or-Chanukya_noun	kOtilyudu
Khan_noun	KAn
King-Nala's-queen_noun	xamayaMwi
Known-Depredator_noun	kedI
Koravas_noun	koVravalu
Kshatriya-community_noun	rAkulaM
Kshtriya-who-has-attained-the-status-of-a-rishi_noun	rAjaruRi
Kubera's-aerial-chariot-_noun	puRpakaM/puRpakavimAnaM
Kuchela-or-Sudama_noun	kuceludu
Kurnool-and-Chi-or-districts_noun	rAyalasIma
Kurnool_noun	xawwamaMdalaM
Lakshman_noun	lakRmaNudu
Lakshmana's-wife-in-the-Ramayana_noun	UrmilYa
Lakshmi_noun	lakRmi/varalakRmi
Lava-and-Kusa_noun	lavakusulu
League-of-Nations_noun	nAnA_jAwi_samiwi
Legislative-Assembly_noun	SAsana_saBa/SAsanasaBa/viXAna_saBa
Legislative-Council_noun	sAsana_maMxali/viXAna_maMdali/viXAna_pariRaw
Legislature_noun	viXAna_maMdali/viXAna_pariRaw
Lingayat_noun	vIraSEvudu
Lord'-s-Day_noun	AxivAramu/AxiwyavAramu/BAnuvAramu/ravivAramu/woVlivAramu
Lord-of-Seven-Hills_noun	edukoVMdalavAdu
Lordship_noun	svAmulavAru
MP-(member-of-parliament)_noun	eVMpI
Madagascar-pepper_noun	miriyAlu/miriyapukAya
Magh_noun	mAGamAsaM/mAGamu
Magha_noun	mAGamAsaM/mAGaM/mAGamu
Maharnavami-and-Vijayadasami_noun	xasarA
Mahavir_noun	mahAvIrudu
Malwar_noun	mAlYavaM
Manila-tamarind_noun	sImaciMwa
Manmatha_noun	manmaWudu
Manu_noun	manuvu
Margasivsa_noun	agrahAyANamu/cukkaneVla/hEmanamu/mArgaSiramAsamu/mArgaSiramu/mArgaSIrRamu/mArgAyaNi/paMduganeVla
Maricha_noun	mArIcudu
Mars_noun	aMgArakudu/kujagrahaM/maMgalYagrahaM
Mediterranean-Sea_noun	maXyaXarA_samuxraM
Melia-Azadirachta_noun	vepa_ceVttu/vepa
Menaka_noun	menaka
Mercury_noun	buXagrahaM/pAxarasaM
Meru_noun	meruvu
Midweek_noun	sOBAgyavAraM
Miss_noun	kumAri
Moghul_adjective	moVgalAyI
Moghul_noun	moVgalAyI
Mon_noun	caMxravAraM/somavAraM
Monday_noun	caMxravAraM/somavAraM
Mount-Kailash_noun	veVMdikoVMda
Mrs_noun	BArya/peVlYlYAM/SrImawi
Musalman_noun	musalmAn
Muslim-gentleman_noun	wurakasAyibu
Muslim-lady_noun	bIbI/bUbu
Muslim-nobleman_noun	amIr
Muslim-prayer_noun	namAju
Muslim-priest-or-judge_noun	kAjI
Muslim-prophet_noun	pEgaMbaru
Muslim-religious-mendicant-_noun	PakIru
Muslim-religious-mendicant_noun	PakIru
Muslim-saint_noun	pIr
Muslim-scholar_noun	mullA
Muslim-woman's-veil_noun	buraKA
Muslim_adjective	muslIM/wuraka
Muslim_noun	musalmAn/muslIM
Muslim_verb	wuraka
NE_noun	ISAnyaM/pUrvowwaraM
NW_noun	paScimowwaramu/vAyavyakoNamu/vAyavyamu
Nagpur-orange_noun	nAgapUr_saMwrA
Nannaya_noun	kaviwrayaM
Narada's-legendary-hundred-stringed-vina_noun	mahawi
Narada's-vina_noun	mahawi
Narada_noun	nAraxudu
Nelumbo-nucifera_noun	aMbujaM/jalajaM/kamalaM/nIrajaM/paMkajaM/paxmaM/wAmara
Nepal_noun	nepAlYam/nepAlYaM
Nnannaya_noun	kaviwrayaM
North-India_noun	uwwarApaWaM
North-Pole_noun	uwwaraXruvaM
Northern-Circars_noun	uwwarasarkArlu
Northerner_noun	OwwarAhudu
O.-K_adjective	sare
Old-Telugu_noun	prAcIna[wama]_AMXraM
Old-World-buffalo_noun	barreV/eVnupowu/Gatamu/gexeV/mahiRamu/mahiRi/powu/xunna/xunnapowu
Pandavas_noun	pAMdavulu
Pansa_noun	puRyamAsamu/puRyaM
Panthera-leo_noun	kesari/mqgapawi/mqgarAju/mqgeMxrudu/siMgamu/siMhamu
Panthera-tigris_noun	puli/siMhamu/vyAGramu
Parasurama_noun	parasurAma
Piper-nigrum_noun	miriyAlu/miriyapukAya
Pisces_noun	mInaM
Planning-Commission_noun	praNAlYikA_saMGaM
Pongal_noun	poVMgali
Portuguese_adjective	budawakIcu
Post-and-Telegraph-Department_noun	waMwi_wapAlA_SAKa
Prakrit_noun	prAkqwaM
President-of-India_noun	rARtrapawi
President_noun	aXyakRudu
Prime-Minister_noun	praXAna_maMwri,_praXAni
Public-Health-Department_noun	prajArogya_SAKa
Public-Works-Department_noun	prajA_nirmANAla_SAKa
Pus_noun	puRyamAsamu/puRyaM
Pyrus-communis_noun	beripaMdu/sImaregupaMdu
Rahu_noun	rAhuvu
Rajput_adjective	rAjapuwra/rasapuwra
Rama's-arrow_noun	rAmabANaM
Rama_noun	rAma/rAmudu
Ramadas_noun	rAmaxAsu
Ramanuja_noun	rAmAnujudu
Rambha_noun	raMBa
Rangoon_noun	raMgaM
Ravana's-sword-in-the-Ramayana_noun	caMxrahAsaM
Rawana_noun	rAvaNudu
Red-Planet_noun	aMgArakudu/kujagrahaM/maMgalYagrahaM
Reddi_noun	reVddi
River-Ganges_noun	BAgIraWi/gaMga
River-Godavari_noun	goxAri/goxAvari
River-Indus_noun	siMXuvu
River-Jamna_noun	yamuna
River-Pennar_noun	peVnna
River-yamuna_noun	yamuna
SE_noun	Agneyamu/AgneyaxiSa
S_noun	xakRiNamu/xakRiNaxiSa
Saawukaaru_noun	ROkAru
Saccharum-officinarum_noun	asipawramu/ceVrYaku/ikRuvu/iMcumAnu/iMcu/kannulamrAnu/mqwyupuRpamu/rasAlamu/rasaxAdi/wiyyamrAnu
Sagittarius_noun	Xanussu
Saivism_noun	sEvaM/SEvaM
Saivite-religious-mendicant_noun	jogi
Saivite-who-wears-a-symbol-in-the-shape-of-a-lingam_noun	liMgaXAri
Saivite_adjective	sEva
Saivite_noun	sEvudu/SEvudu
Salivahana-era_noun	sAlivAhana_sakaM
Salivahana_noun	sAlivAhana
Sanskrit-language_noun	gIrvANaM
Sanskrit_noun	amarudu
Sanskritise_verb	saMskqvIkariMcu
Santalum-album_noun	caMxanamu/gaMXamu/gaMXarAjamu/SrIvAsamu
Satan_noun	sEwAnu
Saturday_noun	maMxavAraM/sWiravAraM
Satyavaram_noun	sawyavaraM
Sawan_noun	SrAvaNa_mAsamu/SrAvaNamu
Security-Council_noun	BaxrawA_maMxali/BaxrawA_samiwi
Sikh-religion_adjective	sikku
Sikh_noun	sikku
Siva's-abode_noun	kElAsaM
Siva's-heaven_noun	kElAsaM/SivalokaM
Siva's-trident_noun	pinAkaM
Siva_noun	mUdokaMtI_vAdu/ruxrudu/wrinewrudu
Sn_noun	tin_AksEd
Sora_noun	savara
Speaker-of-the-Legislative-Assembly.-_noun	saBApawi
Speaker_noun	aXyakRudu/saBApawi
Sravana_noun	SrAvaNa_mAsamu/SrAvaNamu
Sri-Lanka_noun	siMhalYaM
Sri-Venkateswara_noun	ApaxamoVkkulavAdu/edukoVMdalavAdu
Srilanka_noun	siMhalYaM
State-of-Maharashtra_noun	mahArARrtaM
State.-amerikaa-samyukta-raaSTraalu-United-States-of-America_noun	rARtram
Suba-or-province-of-the-Mogul-Empire_noun	subA
Suba_noun	subA
Sultan_noun	sulwAnu
Sun-to-set_verb	poVxxugUku
Sun_noun	AxivAramu/AxiwyavAramu/BAnuvAramu/poVxxu/ravivAramu/woVlivAramu
Sunday_noun	AxivAraM/AxivAramu/AxiwyavAramu/BAnuvAraM/BAnuvAramu/ravivAramu/woVlivAramu
Supreme-Being_noun	AxipuruRudu/BagavaMwudu/BagavAnudu/brahma/ISvarudu/jagannAXudu/karwa/lokeSvarudu/sarvafFadu/sarvAMwaryAmi/sarveSvarudu/sqRtikarwa/viSvanAXudu/viXAwa/wrilokAxipawi/xayAmayudu/xevudu/xInabaMxuvudu
Sus-scrofa_noun	paMxi/sUkaramu/vakraxaMRtramu/varAhamu
TB_noun	kRaya/rogaM/vyAXi
Tamarindus-indica_noun	ciMwaceVttu/ciMwa
Tamil-term-of-affection-to-an-elderly-woman_noun	mAmI
Tamil_adjective	arava
Tamil_noun	aravaM/wamilYaM
Tectona-grandis_noun	SAkavqkRamu/tekuceVttu/wekuceVttu
Telugu-New-Year's-Day_noun	samvawsarAxi/ugAxi
Telugu-language-teacher-in-a-school_noun	paMxiwudu
Telugu-language_noun	weVlugu
Telugu_adjective	AMXra
Th_noun	beswavAraM/bqhaspawi_vAraM/guruvAraM
The-Asura-teacher-_noun	SukrAcAryudu
Thursday_noun	be[e]swavAraM/beswavAraM/bqhaspawi_vAraM/bqhaspawivAraM/guruvAraM/lakRmIvAraM
Tikkana-and-Errana_noun	kaviwrayaM
Tirupathi_noun	wirupawi
Tuesday_noun	aMgArakavAraM/maMgalYavAraM
Turkey_noun	tarkI
Unani-physician_noun	hakIM/hakImu
United-Front_noun	Ekya_saMGawana
United-Nations-Organisation-UNO_noun	EkyarAjya_samiwi
VI_noun	Arava/Aru
Vaisakha_noun	vayyASi/vESAKamu
Vaishnavism_noun	vERNavaM
Vaishnavite-priest_noun	svAmulu
Vaishnavite-religious-beggar_noun	xAsari
Vaishnavite-saint_noun	jiyyaru
Vaishnavite_adjective	vERNava
Vally_noun	naxIloya
Varanasi_noun	kASI
Varuna_noun	varuNudu
Vedanta-system-of-philosophy_noun	viSiRtAxvEwaM
Vedanta_noun	vexAMwaM
Vedic-ceremony-in-which-a-king-declares-himself-to-be-emperor-superior-to-other-kings_noun	rAjasUya_yAgam,_rAjasUyaM
Vedic-hymn_noun	sUkwaM
Vedic-sacrifice_noun	AhavaM
Vedic-sacrificial-ritual_noun	jannaM
Vedic_adjective	vExika
Venus_noun	Sukrudu/vegucukka
Vice-Chairman_noun	upAXyakRudu
Vice-Chancellor-of-a-university_noun	kulapawi
Vice-Chancellor_noun	upAXyakRudu
Vice-President-of-India_noun	uparARtrapawi
Vice-President_noun	upAXyakRudu
Viceroy-under-the-Moghul-Emperor_noun	subexAru
Vigna-sinensis_noun	alasaMxalu/kArAmaNi
Vigna-unguiculata_noun	alasaMxalu/kArAmaNi
Vijayanagaram-and-Srikakulam-districts_noun	kalYiMgaM
Virasaivate-or-Lingayat-creed_noun	vIraSEvaM
Virgo_noun	kanya
Vishnu's-club-or-mace_noun	kOmoxaki
Vishnu's-conch_noun	pAMcajanyaM
Vishnu's-couch_noun	SeRudu
Vishnu's-disc_noun	cakraM
Vishnu's-discus_noun	suxarSanaM
Vishnu's-paradise_noun	vEkuMTaM
Vishnu-and-Maheshwara-Siva_noun	sanAwanulu
Vishnu-and-Siva_noun	wrimUrwulu
Vishnu_noun	hari
Vyasa_noun	vyAsudu
W_noun	padamara_vEpu/paScimaxiSa
Wed_noun	buXavAraM/sOBAgyavAraM
Wednesday_noun	buXavAraM/sOBAgyavAraM
White-Paper-containing-proposals-for-legislation_noun	svewapawraM
Yajurveda-and-Samaveda_noun	vexawrayaM/wrayi
Yajurveda_noun	yajurvexaM
Yama's-noose.-_noun	pASaM
Yama_noun	jamudu/yamaXarmarAju/yamudu
Zamindar_noun	jamIMxAru
Zamindari_noun	jamIMxAri
Zea-mays_noun	moVkka_joVnnakaMdi/moVkka_joVnnakaMki/moVkka_joVnna
Zilla-Parishad_noun	jillA_pariRaw
Zn_noun	jiMk/jiMk_rasAyanika_saMKya_
[-toy]-puppet_noun	woluboVMma
[a]rise_adjective	regu
[afore]said_adjective	saxaru
[be]loved_adjective	priyaM
[bi]cycle_noun	sEkilu
[bidding]-farewell_noun	vIdkolu
[ever]-since_adverb	lagAyawu/lagAyiwu
[flight-of]-fancy_noun	UhAgAnaM
[high]way_noun	bAta
[hooded]-snake_noun	PaNi
[in-the-same-way]-as_advbl.	prakAraM
[in-the-same-way]-as_preposition	prakAraM
[in]habitable_adjective	vAsayogya
[loco]motion_noun	calanaM
[make-a]-forecast_adjective	SakunaM_ceVppu
[over]crowded_adverb	raxxigA
[over]crowding_noun	raxxi[i]
[period-of]-tenure_noun	XAraNAvaXi
[petty]-change_noun	cillara
[praise]worthiness_noun	gaNyawa
[praise]worthy_adjective	gaNya
[pre]dominance_noun	prAbalyaM
[pre]dominant-_adjective	prabala
[pre]dominate_adjective	prabalaM_avu/prabalu
[re]solve-problem-_verb	pariRkariMcu
[spirit-of]-enterprise_noun	XEryasAhasAlu
[state-of]-tension_noun	uxrikwawa
[subordinate]-clause_noun	upavAkyaM
[the-good-fortune-of]-getting_noun	prApwi
[toy]-puppet_noun	weVraboVMma
[very]-clean_adjective	pariSuBra
[very]-soon_adverb	peVMxarAlYe,_peVMxarAde,_peVMxalAde
]-rice-and-spices_noun	palAvu
`eights-and-fours'_noun	aRtAceVmma
`that'_UNDEFINED	ane/anna
a-Hindu-sage_noun	uxxAlakudu
a-Sanskrit-scholar_noun	sUri
a-South-Indian-classical-dancing_noun	BarawanAtyaM
a-South-Indian-pancake_noun	xosa/xoseV
a-Vedic-sacrifice_noun	vAjapeyaM
a-b-c_noun	e_bI_sI
a-ballad-of-celestials_noun	yakRagAnaM
a-basin-at-the-foot-of-a-tree_noun	AlavAlaM
a-basketful-of-2-much_verb	gaMpeVdu
a-basketful-of_adjective	gaMpeVdu
a-big-zero_noun	baMdi_sunna
a-bird-of-the-starling-family_noun	goraMka/goriMka/goruvaMka
a-blind-giant_noun	kabaMXudu
a-boys'-game_noun	ceVdugudu/gillIxaMxu/gotibilYlYa/sarI_besI
a-brother-of-the-demon-Ravana-in-the-Ramayana_noun	kuMBakarNudu
a-bush-used-in-the-worship-of-Ganesha_noun	mAcipawri
a-bush-with-scented-yellow-flowers_noun	poVnna2,_poVnnAgam,_punnAgaM
a-cactus-like-plant-grown-as-a-hedge_noun	kalYli
a-call_noun	pilupu
a-card-game_noun	beswu
a-cartload-of_adjective	baMxeVdu
a-cassia-auriculata_noun	waMgedu
a-cattle-disease-involving-loose-motions_noun	musara
a-cattle-disease_noun	kurama/paMpara/xamma
a-celestial-courtesan-_noun	raMBa
a-celestial-courtesan_noun	menaka/raMBa
a-ceremony-performed-in-a-temple_noun	xopu
a-certain-Vedic-ritual_noun	somayAgaM/somayajnaM
a-certain-day-of-death-ceremony_noun	xinaM
a-certain-figure-of-speech_noun	paryAyokwi/uwrpekRa
a-certain-kind-of_adjective	oVkalAMti
a-certain-period-occurring-every-fortnight-which-is-considered-auspicious_noun	parvakAlaM
a-certain-sitting-posture-_noun	pItaM
a-certain.-used-to-live-there_adjective	koVMdoVka
a-certain_verb	oVkAnoVka
a-cheap-kind-of-bread_noun	kaluroVtteV
a-child-game_noun	axxumuxxu
a-child-play_noun	axxumuxxu
a-child-who-does-not-belong-to-either-side-but-is-allowed-to-join-in-for-his-own-satisfaction_noun	sawrakAya
a-children's-game-played-with-dolls_noun	boVmmala_peVlYlYilYlYu
a-children's-game_noun	pullAta
a-cigar-or-beedi_noun	cuttamukka
a-class-of-Vaishnavites_noun	sAwAni
a-closely-attached-pair-of-persons_noun	laMkeVbiMxeVlu
a-coarse-variety-of-paddy_noun	nallavadlYu,_nallArlu
a-code-of-conduct-that-is-against-o.'s-interest-is-a-bad-bargain-proverb_adjective	mAlina
a-collection-of-hundred-poems_noun	SawakaM
a-collection-of-short-poems_noun	KaMdakAvyaM
a-committee-of-villagers-invested-with-certain-powers_noun	paMcAyawi
a-community-of-beggars-who-tell-stories-to-weavers-and-beg-from-them_noun	suxxulolYlu
a-community-of-wandering-acrobats-and-rope-dancers_noun	xoVmmara
a-complimentary-suffix-on-feminine-nouns_noun	maNi
a-complimentary-term-sometimes-used-when-referring-to-a-person-in-authority_noun	elinavAru
