#Structure_of_the_file:	#Structure_of_the_file:
#English-compound-word	Hindi-meaning
,_in_short_,	safkRipwa_meM#safkRipwa_meM#noun#2#RM
Acoustic_storage	Xvanika_BaNdAraNa#Xvanika_BaNdAraNa#noun#2#RM
Act_of_honour	mAnArWa_svIkqwi#mAnArWa_svIkqwi#noun#1#RM
Active_data_dictionary	sakriya_AfkadA_koSa#sakriya_AfkadA_koSa#noun#3#RM
Add_file	yoga_saFcikA#yoga_saFcikA#noun#2#RM
Add_in_program	progrAma_aXiyoga#progrAma_aXiyoga#noun#3#RM
Add_mode	yoga_viXA#yoga_viXA#noun#2#RM
Add_operation	joda#joda#noun#2#RM
Add_strip	yoja_pattI#yoja_pattI#noun#2#RM
Add_time	safkalana_kAla#safkalana_kAla#noun#2#RM
Addition_attribute	yoja_guNa#yoja_guNa#noun#2#RM
Addition_record	yoga_aBileKa#yoga_aBileKa#noun#2#RM
Addition_table	yoga_sAraNI#yoga_sAraNI#noun#2#RM
Address_book	pawA_puswaka#pawA_puswaka#noun#2#RM
Address_bus	pawA_basa#pawA_basa#noun#2#RM
Address_calculation_sort	pawA_kalana_CANta#pawA_kalana_CANta#noun#3#RM
Address_code	pawA_kUta#pawA_kUta#noun#2#RM
Address_command	pawA_samAxeSa#pawA_samAxeSa#noun#2#RM
Address_computation	pawA_aBikalana#pawA_aBikalana#noun#2#RM
Address_constant	pawA_acara#pawA_acara#noun#2#RM
Address_conversion	pawA_rUpAnwaraNa#pawA_rUpAnwaraNa#noun#2#RM
Address_data	pawA_AfkadA#pawA_AfkadA#noun#2#RM
Address_effective	praBAvI_pawA#praBAvI_pawA#noun#2#RM
Address_field	pawA_kRewra#pawA_kRewra#noun#2#RM
Address_file	pawA_saFcikA#pawA_saFcikA#noun#2#RM
Address_format	pawA_saMrUpa#pawA_saMrUpa#noun#2#RM
Address_free_program	pawA_rahiwa_kramAxeSa#pawA_rahiwa_kramAxeSa#noun#3#RM
Address_generator	pawA_janaka#pawA_janaka#noun#2#RM
Address_interlacing	pawA_anwagraWana#pawA_anwagraWana#noun#2#RM
Address_line	pawA_pafkwi#pawA_pafkwi#noun#2#RM
Address_mapping	pawA_prawiciwraNa#pawA_prawiciwraNa#noun#2#RM
Address_mapping_table	pawA_prawiciwraNa_sAraNI#pawA_prawiciwraNa_sAraNI#noun#3#RM
Address_mark	pawA_cihna#pawA_cihna#noun#2#RM
Address_mask	pawA_AvaraNa#pawA_AvaraNa#noun#2#RM
Address_modification	pawA_Aparivarwana#pawA_Aparivarwana#noun#2#RM
Address_pointer	pawA_safkewaka#pawA_safkewaka#noun#2#RM
Address_register	pawA_paFjI#pawA_paFjI#noun#2#RM
Address_resolution	pawA_viGatana#pawA_viGatana#noun#2#RM
Address_signal	pawA_safkewa#pawA_safkewa#noun#2#RM
Address_size	pawA_AmApa#pawA_AmApa#noun#2#RM
Address_space	pawA_sWAna#pawA_sWAna#noun#2#RM
Address_space_identifier	pawA_sWAna_aBijFApaka#pawA_sWAna_aBijFApaka#noun#3#RM
Address_stop	pawA_virAma#pawA_virAma#noun#2#RM
Address_strategy_module	pawA_yukwi_moYdayUla#pawA_yukwi_moYdayUla#UNDEFINED#1#RM
Address_trace	paricaya_anureKa#paricaya_anureKa#UNDEFINED#1#RM
Address_translation	pawA_anuvAxa#pawA_anuvAxa#noun#2#RM
Address_translator	pawA_anuvAxaka#pawA_anuvAxaka#noun#2#RM
Adjust_text_mode	samAyojya_pATyAMSa_viXA#samAyojya_pATyAMSa_viXA#noun#3#RM
Advance_interactive_executive	unnawa_anwara_kriyA_kAryapAlaka#unnawa_anwara_kriyA_kAryapAlaka#noun#3#RM
Advance_program_to_program_communications	unnawa_progrAmaSaHsaFcAra#unnawa_progrAmaSaHsaFcAra#noun#5#RM
Advance_set_up_option	unnawa_vyavasWA_vikalpa#unnawa_vyavasWA_vikalpa#noun#4#RM
Algorithm_language	elgoriWma_BARA#elgoriWma_BARA#noun#2#RM
Algorithm_routine	kalana_viXi_nemakA#kalana_viXi_nemakA#UNDEFINED#1#RM
Algorithm_theory	elgoriWma_sixXAnwa#elgoriWma_sixXAnwa#noun#2#RM
All-purpose_computer	sarvoxxeSIya_aBikaliwra#sarvoxxeSIya_aBikaliwra#noun#2#RM
Alma_Mater	jahAz_SikRA_pAI_vaha_saMsWA#jahAz_SikRA_pAI_vaha_saMsWA#noun#2#RM
Alpha_test	ElPA_parIkRaNa#ElPA_parIkRaNa#noun#2#RM
Alphanumeric_character	akRarAfkIya_samprawIka#akRarAfkIya_samprawIka#noun#2#RM
Alphanumeric_character_set	akRarAfkIya_samprawIka_samuccaya#akRarAfkIya_samprawIka_samuccaya#noun#3#RM
Alphanumeric_code	akRarAfkIya_kUta#akRarAfkIya_kUta#noun#2#RM
Alphanumeric_coded_character_set	akRarAfkIya_kuriwa#akRarAfkIya_kuriwa#noun#4#RM
Alphanumeric_data	akRarAfkIya_AfkadA#akRarAfkIya_AfkadA#noun#2#RM
Alphanumeric_display_device	akRarAfkIya_praxarSa_yukwi#akRarAfkIya_praxarSa_yukwi#noun#3#RM
Alphanumeric_edited_character	akRarAfkIya_sampAxiwa_samprawIka#akRarAfkIya_sampAxiwa_samprawIka#noun#3#RM
Alphanumeric_field	akRaraMAkIya_kRewra#akRaraMAkIya_kRewra#noun#2#RM
Alphanumeric_instruction	akRarAfkIya_anuxeSa#akRarAfkIya_anuxeSa#noun#2#RM
Alphanumeric_keyboard	akRarAfkIya_kuFjI_patala#akRarAfkIya_kuFjI_patala#noun#2#RM
Alphanumeric_sort	akRarAfkIya_CatAI#akRarAfkIya_CatAI#noun#2#RM
Alphanumeric_storage	akRarAfkIya_BaNdAraNa#akRarAfkIya_BaNdAraNa#noun#2#RM
Alt_hierarchy	Alta_paxAnukrama#Alta_paxAnukrama#noun#2#RM
Alt_key	Alta_kuFjI#Alta_kuFjI#noun#2#RM
Alter_mode	parivarwana_viXA#parivarwana_viXA#noun#2#RM
An_introduction_to_data_structured_with_application	AfkadA_saFcariwa_buxvi#AfkadA_saFcariwa_buxvi#noun#7#RM
Analog_integration	anurUpa_samAkalana#anurUpa_samAkalana#noun#2#RM
Analog_line_monitor	anurUpa_lAina_moYnitara#anurUpa_lAina_moYnitara#noun#3#RM
Analog_modem	anurUpa_moYdema#anurUpa_moYdema#noun#2#RM
Analog_monitor	anurUpa_moYnitara#anurUpa_moYnitara#noun#2#RM
Analog_multiplier	anurUpa_guNaka#anurUpa_guNaka#noun#2#RM
Analog_programming	anurUpa_kramAxeSana#anurUpa_kramAxeSana#noun#2#RM
Analog_scaling	anurUpa_mApana#anurUpa_mApana#noun#2#RM
Analog_signal	anurUpa_safkewa#anurUpa_safkewa#noun#2#RM
Analog_simulation	anurUpa_anukaraNa#anurUpa_anukaraNa#noun#2#RM
Analog_switch	anurUpa_svica#anurUpa_svica#noun#2#RM
Analog_system	anurUpa_wanwra#anurUpa_wanwra#noun#2#RM
Analog_to_digital_converter	anurUpa_se_afkIya_rUpAMnwaraka#anurUpa_se_afkIya_rUpAMnwaraka#noun#4#RM
Analog_to_digital_encoder	anurUpa_afkIya_kUta_leKana#anurUpa_afkIya_kUta_leKana#noun#4#RM
Analog_transmission	anurUpa_saFcaraNa#anurUpa_saFcaraNa#noun#2#RM
Analog_type	anurUpa_prakAra#anurUpa_prakAra#noun#2#RM
Analytic_specification	viSleRaNAwmaka_viSeRIkaraNa#viSleRaNAwmaka_viSeRIkaraNa#noun#2#RM
Anchor_record	lafgara#lafgara#UNDEFINED#1#RM
Answer_lamp	uwwara_xIpa#uwwara_xIpa#noun#2#RM
Answer_list	uwwara_sUcI#uwwara_sUcI#noun#2#RM
Answer_mode	uwwara_viXA#uwwara_viXA#noun#2#RM
Answer_only	uwwalAwra#uwwalAwra#noun#2#RM
Answer_originate	uwwara_uxBava#uwwara_uxBava#noun#2#RM
April_fool	pahalI_aprEla_ko_banAyA_gayA_mUrKa#pahalI_aprEla_ko_banAyA_gayA_mUrKa#noun#2#RM
April_fool's_jokes	aprEla_PUlsa_joka#aprEla_PUlsa_joka#noun#3#RM
Are_you_on_the_net	kyA_Apa_neta_para_hEM#kyA_Apa_neta_para_hEM#noun#5#RM
Areca_catechu	sAmAnya_babUla#sAmAnya_babUla#noun#2#RM
Arithmetic_IF_statement	afkagaNiwIya_iPa_kaWana#afkagaNiwIya_iPa_kaWana#noun#3#RM
Arithmetic_and_logic_unit	afkagaNiwIya_evaM_warka_ekaka#afkagaNiwIya_evaM_warka_ekaka#noun#4#RM
Arithmetic_check	afkagaNiwIya_jAMEYca#afkagaNiwIya_jAMEYca#noun#2#RM
Arithmetic_constant	afkagaNiwIya_acara#afkagaNiwIya_acara#noun#2#RM
Arithmetic_conversion	afkagaNiwIya_rUpAnwara#afkagaNiwIya_rUpAnwara#noun#2#RM
Arithmetic_data	afkagaNiwIya_aMAkadA#afkagaNiwIya_aMAkadA#noun#2#RM
Arithmetic_exception	afkagaNiwIya_apavAxa#afkagaNiwIya_apavAxa#noun#2#RM
Arithmetic_expression	afkagaNiwIya_vyaFjaka#afkagaNiwIya_vyaFjaka#noun#2#RM
Arithmetic_fixed_point	afkagaNiwIya_niyawa_biMxu#afkagaNiwIya_niyawa_biMxu#noun#3#RM
Arithmetic_hierarchy	afkagaNiwIya_paxAnukrama#afkagaNiwIya_paxAnukrama#noun#2#RM
Arithmetic_logic	afkagaNiwIya_warka#afkagaNiwIya_warka#noun#2#RM
Arithmetic_operation	afkagaNiwIya_safkriyA#afkagaNiwIya_safkriyA#noun#2#RM
Arithmetic_operator	afkagaNiwIya_safkAraka#afkagaNiwIya_safkAraka#noun#2#RM
Arithmetic_overflow	afkagaNiwIya_aXipravAha#afkagaNiwIya_aXipravAha#noun#2#RM
Arithmetic_picture_data	afkagaNiwIya_ciwra_aMAkadA#afkagaNiwIya_ciwra_aMAkadA#noun#3#RM
Arithmetic_precedence	afkagaNiwIya_pUrvavarwiwA#afkagaNiwIya_pUrvavarwiwA#noun#2#RM
Arithmetic_primary_element	afkagaNiwIya_prAWamika_avayava#afkagaNiwIya_prAWamika_avayava#noun#3#RM
Arithmetic_register	afkagaNiwIya_paFjI#afkagaNiwIya_paFjI#noun#2#RM
Arithmetic_relation	afkagaNiwIya_sambanXa#afkagaNiwIya_sambanXa#noun#2#RM
Arithmetic_scan	afkagaNiwIya_kramavIkRaNa#afkagaNiwIya_kramavIkRaNa#noun#2#RM
Arithmetic_section	afkIya_anuBAga#afkIya_anuBAga#noun#2#RM
Arithmetic_shift	afkagaNiwIya_visWApana#afkagaNiwIya_visWApana#noun#2#RM
Arithmetic_shifting	afkagaNiwIya_visWApana#afkagaNiwIya_visWApana#noun#2#RM
Arithmetic_statement	afkagaNiwIya_kaWana#afkagaNiwIya_kaWana#noun#2#RM
Arithmetic_term	afkagaNiwIya_paxa#afkagaNiwIya_paxa#noun#2#RM
Arithmetic_underflow	afkagaNiwIya_axyopravAha#afkagaNiwIya_axyopravAha#noun#2#RM
Arithmetic_unit	afkIya_ekaka#afkIya_ekaka#noun#2#RM
Assemble_duration	kodAnwaraNa_avaXi#kodAnwaraNa_avaXi#noun#2#RM
Assembly_Language	smarAnwaraNa_BARA#smarAnwaraNa_BARA#noun#2#RM
Assembly_language_programming	kodAnwaraNa_BARA_progrAmana#kodAnwaraNa_BARA_progrAmana#noun#3#RM
Assembly_language_software_flexibility	kodAnwaraNa_BARA_soYPtaveyara_namyawA#kodAnwaraNa_BARA_soYPtaveyara_namyawA#noun#4#RM
At-least-once_semantics	nyUnawama_eka_bAra_simeMtika#nyUnawama_eka_bAra_simeMtika#noun#2#RM
At-most-once_semantics	aXikawama_eka_bAra_simeMtikI#aXikawama_eka_bAra_simeMtikI#noun#2#RM
Attached_document	saMlagna_praleKa#saMlagna_praleKa#noun#2#RM
Audio_telecommunication_line	Sravya_xUrasaFcAra_lAina#Sravya_xUrasaFcAra_lAina#noun#3#RM
Audio_terminal	Sravya_tarminala#Sravya_tarminala#noun#2#RM
Audio_trail	Sravya_sawyApana#Sravya_sawyApana#noun#2#RM
Authorised_Dealer	prAXikqwa_vyApArI#prAXikqwa_vyApArI#noun#2#RM
Auto-dial_mode	svawaH_dAyala_viXA#svawaH_dAyala_viXA#noun#2#RM
Auto_-answer_modem	svawaH_uwwara_moYdema#svawaH_uwwara_moYdema#noun#3#RM
Auto_index	svawaH_sUcakAfka#svawaH_sUcakAfka#noun#2#RM
Auto_indexed	svawaH_sUcakiwa#svawaH_sUcakiwa#noun#2#RM
Auto_logon	svawaH_loYgoYna#svawaH_loYgoYna#UNDEFINED#1#RM
Auto_sizing	svawaH_AmApana#svawaH_AmApana#noun#2#RM
Auto_start_routine	svawaH_cAliwa_nemakA#svawaH_cAliwa_nemakA#noun#3#RM
Automate_type	svacala_prarUpa#svacala_prarUpa#noun#2#RM
Automatic_answering_machine	svawaH_uwwara_maSIna#svawaH_uwwara_maSIna#noun#3#RM
Automatic_backup	svawaH_bEkaCaapa#svawaH_bEkaCaapa#noun#2#RM
Automatic_call_distributor	svawaH_AhvAna_viwaraka#svawaH_AhvAna_viwaraka#noun#3#RM
Automatic_calling	svawaH_AhvAna#svawaH_AhvAna#noun#2#RM
Automatic_check	svawaH_joYFca#svawaH_joYFca#noun#2#RM
Automatic_coding	svawaH_kodana#svawaH_kodana#noun#2#RM
Automatic_computing	svawaH_aBikalana#svawaH_aBikalana#noun#2#RM
Automatic_constant	svawaH_acara#svawaH_acara#noun#2#RM
Automatic_control_engineering	svawaH_niyanwraNa_iMjIniyarI#svawaH_niyanwraNa_iMjIniyarI#noun#3#RM
Automatic_data_processing	svawaH_AfkadA_prakramaNa#svawaH_AfkadA_prakramaNa#noun#3#RM
Automatic_data_processing_system	svawaH_AfkadA_prakramaNa_wanwra#svawaH_AfkadA_prakramaNa_wanwra#noun#4#RM
Automatic_decimal_alignment	svawaH_xaSamalava_sareKaNa#svawaH_xaSamalava_sareKaNa#noun#3#RM
Automatic_dialing_unit	svawaH_dAyalana_ekaka#svawaH_dAyalana_ekaka#noun#3#RM
Automatic_dictionary	svawaH_raciwa_koSa#svawaH_raciwa_koSa#noun#2#RM
Automatic_emulation_switching	svawaH_samAnukaraNa_svIcana#svawaH_samAnukaraNa_svIcana#noun#3#RM
Automatic_equalization	svawaH__wulyIkaraNa#svawaH__wulyIkaraNa#noun#2#RM
Automatic_error_correction	svawaH_wruti_saMSoXana#svawaH_wruti_saMSoXana#noun#3#RM
Automatic_feed_punch	svawaH_BaraNa_paFca#svawaH_BaraNa_paFca#UNDEFINED#1#RM
Automatic_font_down_loading	svawaH_PoYta_AvaBAraNa#svawaH_PoYta_AvaBAraNa#noun#4#RM
Automatic_function	svawaH_Palana#svawaH_Palana#noun#2#RM
Automatic_gain_control	svawaH_labXi_niyanwraNa#svawaH_labXi_niyanwraNa#noun#3#RM
Automatic_head_parking	svawaH_SIrRa#svawaH_SIrRa#UNDEFINED#1#RM
Automatic_hyphenation	svawaH_netavarka_svican#svawaH_netavarka_svican#noun#2#RM
Automatic_indexing	svawaH_sUcakIkaraNa#svawaH_sUcakIkaraNa#noun#2#RM
Automatic_library_call	svawaH_safgraha_AhvAna#svawaH_safgraha_AhvAna#noun#3#RM
Automatic_message_accounting	svawaH_sanxeSa_leKAfkana#svawaH_sanxeSa_leKAfkana#noun#3#RM
Automatic_message_routing	svawaH_sanxeSa_anumArgaNa#svawaH_sanxeSa_anumArgaNa#noun#3#RM
Automatic_mode_switching	svawaH_viXA_svicana#svawaH_viXA_svicana#noun#3#RM
Automatic_network_switching	svawaH_netavarka_svicana#svawaH_netavarka_svicana#noun#3#RM
Automatic_number_identification	svawaH_safKyA_aBijFAna#svawaH_safKyA_aBijFAna#noun#3#RM
Automatic_pagination	svawaH_pqRTana#svawaH_pqRTana#noun#2#RM
Automatic_priority_grouping	svawaHpqRtana_svawaH_varIyawA_samUhana#svawaHpqRtana_svawaH_varIyawA_samUhana#noun#3#RM
Automatic_punch	svawaH_CixraNa#svawaH_CixraNa#noun#2#RM
Automatic_recalculation	svawaH_punaH_kalana#svawaH_punaH_kalana#noun#2#RM
Automatic_repeat_request	svawaH_punarAvarwana_nivexana#svawaH_punarAvarwana_nivexana#noun#3#RM
Automatic_revision_tracking	svawaH_punaH_anupaWana#svawaH_punaH_anupaWana#noun#3#RM
Automatic_routine	svawaH_nemakA#svawaH_nemakA#noun#2#RM
Automatic_sequencing	svawaH_anukramaNa#svawaH_anukramaNa#noun#2#RM
Automatic_sequential_operation	svawaH_anukramI_safkriyA#svawaH_anukramI_safkriyA#noun#3#RM
Automatic_server_recovery	svawaH_parisevaka#svawaH_parisevaka#noun#3#RM
Automatic_speed_sensing	svawaH_cAla_saMvexana#svawaH_cAla_saMvexana#noun#3#RM
Automatic_stop	svawaH_virAma#svawaH_virAma#noun#2#RM
Automatic_variable	svacara#svacara#noun#2#RM
Automatic_volume_recognition	svawaH_prabalawA_aBijFAna#svawaH_prabalawA_aBijFAna#noun#3#RM
Automatic_volume_switching	svawaH_prabalawA_svicana#svawaH_prabalawA_svicana#noun#3#RM
Back-end_processor	paSca_sirA_prakramaka#paSca_sirA_prakramaka#noun#2#RM
Back_bone_network	merUxaNda_rIDa_netavarka#merUxaNda_rIDa_netavarka#UNDEFINED#1#RM
Back_door	paSca_xvAra#paSca_xvAra#noun#2#RM
Back_edge	paSca_Cora#paSca_Cora#noun#2#RM
Back_end	paSca_sirA#paSca_sirA#noun#2#RM
Back_face_deletion	paSca_Palana_vilopana#paSca_Palana_vilopana#noun#3#RM
Back_ground	pqRTa_BUmi#pqRTa_BUmi#noun#2#RM
Back_ground_light	pqRTaBUmiM_prakASa#pqRTaBUmiM_prakASa#noun#3#RM
Back_patching	paSca_pEbanxa#paSca_pEbanxa#noun#2#RM
Back_plane	paSca_wala#paSca_wala#noun#2#RM
Back_propagation	paSca_prasAraNa#paSca_prasAraNa#noun#2#RM
Back_tracking	paSca_paWana#paSca_paWana#noun#2#RM
Back_ward_error_recovery	paSca_wruti_prApwi#paSca_wruti_prApwi#noun#4#RM
Bad_&_doubtful_debts	nikqRta_waWA_sanxehAspaxa_qNa#nikqRta_waWA_sanxehAspaxa_qNa#noun#4#RM
Balance_sheet	wulana_pawra#wulana_pawra#noun#2#RM
Balance_sheet_as_snapshot	wulana_pawra_kA_ASuciwra#wulana_pawra_kA_ASuciwra#UNDEFINED#1#RM
Band-stepper_actuator	baMEda_stepara_safkriyaka#baMEda_stepara_safkriyaka#noun#2#RM
Band_Aid	xavA_yukwa_pattI#xavA_yukwa_pattI#noun#2#RM
Band_printer	baMEda_muxraka#baMEda_muxraka#noun#2#RM
Band_stop_filter	bEMda_virAma_nisyanxaka#bEMda_virAma_nisyanxaka#noun#3#RM
Band_width	bEMda_cOdAI#bEMda_cOdAI#noun#2#RM
Bank_account	bEMka_kA_KAwA#bEMka_kA_KAwA#noun#2#RM
Bank_for_International_Settlement	anwarrARRtrIya_nipatAna_bEMka#anwarrARRtrIya_nipatAna_bEMka#noun#4#RM
Bank_machine	bEMka_maSIna#bEMka_maSIna#noun#2#RM
Bank_overdraft	bEMka_ovaradrAPta#bEMka_ovaradrAPta#noun#2#RM
Bank_switching	bEMka_svIciMga#bEMka_svIciMga#UNDEFINED#1#RM
Banker's_algorithm	bEMkarsa_elgoriWma#bEMkarsa_elgoriWma#noun#2#RM
Base_address_register	AXAra_pawA_paFjI#AXAra_pawA_paFjI#noun#3#RM
Base_addressing	AXAra_pawABigamana#AXAra_pawABigamana#noun#2#RM
Base_notation	AXAra_safkewana#AXAra_safkewana#noun#2#RM
Base_number	AXAra_safKyA#AXAra_safKyA#noun#2#RM
Base_register	AXAra_rajistara#AXAra_rajistara#UNDEFINED#1#RM
Base_storage_allocation	AXAra_BaNdAraNa_niyAwana#AXAra_BaNdAraNa_niyAwana#noun#3#RM
Base_table	AXAra_sAraNI#AXAra_sAraNI#noun#2#RM
Base_volume	mUla_KaNda#mUla_KaNda#noun#2#RM
Basic_English	mUla_afgrejI#mUla_afgrejI#noun#2#RM
Basic_Statistical_Return	mUlaBUwa_sAfKyikIya_vivaraNI#mUlaBUwa_sAfKyikIya_vivaraNI#noun#3#RM
Batch_file	bEca_PAIla#bEca_PAIla#UNDEFINED#1#RM
Batch_operating_system	bEca_pracAlana_wanwra#bEca_pracAlana_wanwra#noun#3#RM
Batch_partition	bEca_viBAjana#bEca_viBAjana#noun#2#RM
Batch_position	bEca_sWiwi#bEca_sWiwi#noun#2#RM
Batch_processing	bEca_prakramana#bEca_prakramana#UNDEFINED#1#RM
Batch_region	bEca#bEca#UNDEFINED#2#RM
Batch_session	bEca#bEca#UNDEFINED#2#RM
Batch_system	bEca#bEca#UNDEFINED#2#RM
Batch_terminal	bEca#bEca#UNDEFINED#1#RM
Be_quick	jalxI_kara#jalxI_kara#noun#2#RM
Big_Brother	badA_BAI#badA_BAI#noun#2#RM
Big_o-notation	xIrGaCa0Casafkewana#xIrGaCa0Casafkewana#noun#2#RM
Birds_of_a_feather	eka_samAna#eka_samAna#noun#1#RM
Bite_the_hand_that_feeds	viSvAsaGAwa_karanA#viSvAsaGAwa_karanA#noun#5#RM
Block_multiplexor_channel	KaNda_bahusafkewaka_cEnala#KaNda_bahusafkewaka_cEnala#UNDEFINED#1#RM
Block_size	KaNdaka_AmApa#KaNdaka_AmApa#noun#2#RM
Block_transfer	KaNda_anwaraNa#KaNda_anwaraNa#noun#2#RM
Block_transmission	KaNdaka_saFcaraNa#KaNdaka_saFcaraNa#noun#2#RM
Book_of_Instructions	anuxeSa_puswaka#anuxeSa_puswaka#noun#1#RM
Budget_estimation	bajata_Akalana#bajata_Akalana#noun#2#RM
Buffer_register	baPara_rajistara#baPara_rajistara#noun#2#RM
Buffer_storage	baPara_BaNdAraNa#baPara_BaNdAraNa#noun#2#RM
Built-in_function	anwanirmiwa_Palana#anwanirmiwa_Palana#noun#2#RM
Built-in_procedure	anwanirmiwa_prakriyA#anwanirmiwa_prakriyA#noun#2#RM
Bus_internet	basa_jAla#basa_jAla#noun#2#RM
By_this_time	abawaka#abawaka#noun#3#RM
Canonic_system	vixxiwa_wanwra#vixxiwa_wanwra#noun#2#RM
Cantonese_dialect	prAnwIya_bolI#prAnwIya_bolI#noun#2#RM
Cape_buffalo	BEMsa_vAlA_labAxA#BEMsa_vAlA_labAxA#noun#2#RM
Carrier-to-noise_ratio	vAhaka_rava_anupAwa#vAhaka_rava_anupAwa#noun#2#RM
Carrier_wave	vAhaka_warafga#vAhaka_warafga#noun#2#RM
Cash_on_Delivery	supurxagI_para_nakaxa_axAyagI#supurxagI_para_nakaxa_axAyagI#noun#3#RM
Central_memory	keMxrIya_smqwi#keMxrIya_smqwi#noun#2#RM
Central_office	keMxrIya_kAryAlaya#keMxrIya_kAryAlaya#noun#2#RM
Central_operator	keMxrIya_pracAlaka#keMxrIya_pracAlaka#noun#2#RM
Certificate_of_incorporation	nigamana_praNANapawra#nigamana_praNANapawra#noun#1#RM
Chain_link	SrqfKalA_kadI#SrqfKalA_kadI#noun#2#RM
Chain_printer	SrqfKalA_muxraka#SrqfKalA_muxraka#noun#2#RM
Channel-attached_station	praNAla_saMlagna_keMxra#praNAla_saMlagna_keMxra#noun#2#RM
Character_oriented	samprawIka_unmuKI#samprawIka_unmuKI#noun#2#RM
Character_position	samprawIka_sWiwi#samprawIka_sWiwi#noun#2#RM
Character_printer	samprawIka_muxraka#samprawIka_muxraka#noun#2#RM
Character_reader	samprawIka_pATaka#samprawIka_pATaka#noun#2#RM
Character_set	samprawIka_samuccaya#samprawIka_samuccaya#noun#2#RM
Character_size	samprawIka_sAija#samprawIka_sAija#noun#2#RM
Character_string	samprawIka_rajju#samprawIka_rajju#noun#2#RM
Character_string_constant	samprawIka_rajju_acara#samprawIka_rajju_acara#noun#3#RM
Characteristic_root	aBilAkRaNika_mUla#aBilAkRaNika_mUla#noun#2#RM
Christian_church	kriSciyana_carca#kriSciyana_carca#noun#2#RM
Christmas_bells	krisamasa_GaNtiyAz#krisamasa_GaNtiyAz#noun#2#RM
Christmas_bush	krisamasa_para_raKI_jAne_vAlI_JAdI#krisamasa_para_raKI_jAne_vAlI_JAdI#noun#2#RM
Christmas_cactus	krisamasa_nAgaPaznI#krisamasa_nAgaPaznI#noun#2#RM
Christmas_card	krismasa_kArda#krismasa_kArda#noun#2#RM
Christmas_carol	krisamasa_ke_gIwa#krisamasa_ke_gIwa#noun#2#RM
Church_Service	carca_kI_pUjA#carca_kI_pUjA#noun#2#RM
Church_father	pAxarI#pAxarI#noun#2#RM
Circular_queue	varwula_pafkwi#varwula_pafkwi#noun#2#RM
Class_C_network	varga_sI_netavarka#varga_sI_netavarka#noun#3#RM
Class_operation	varga_safkriyA#varga_safkriyA#noun#2#RM
Class_structure	varga_saMracanA#varga_saMracanA#noun#2#RM
Class_utility	varga_upayogiwA#varga_upayogiwA#noun#2#RM
Class_variable	varga_cara#varga_cara#noun#2#RM
Co-axial_cable	samAkRIya_kebala#samAkRIya_kebala#noun#2#RM
Code_division_multiple_access	kUta_viBAjana_bahu_aBigama#kUta_viBAjana_bahu_aBigama#noun#4#RM
Code_frame	kUta_Prema#kUta_Prema#UNDEFINED#1#RM
Code_generation	koda_janana#koda_janana#UNDEFINED#1#RM
