??equivalent_noun	wulyAfka
Chemical_reaction	rAsAyanika_aBikriyA
Chlorine	klorIna
Chromosome	guNasUwra
Ciliary_muscles	pakRamABI_peSiyAz
Circuit	paripaWa
Classification	vargIkaraNa
Cluster	gucCa
Coagulation	skanxana
Cobalt	kobAlta
Colon	bqhaxrAnwra
Colour	rafga/varNa
Combination_reaction	saMyojana_aBikriyA
Combustion	xahana
Commutation	xikparivarwaka
Compile	safkaliwa
Concave	avawala
Concentration	safkeMxraNa/sAnxraNa
Conductor	cAlaka/sucAlaka
Configuration	vinyAsa
Conical	SafkvAkAra
Consistency	aviroXa
Consumers	upaBokwA
Contamination	sanxURaNa
Contrasting	viRamAfgI
Convention	paripAtI
Conventional	pAramparika
Converging	aBisArI
Convex	uwwala
Copies	prawirUpa
Copy	prawikqwi
Cornea	koYrniyA/svacCamaNdala
Corneal_blindness	koYrniyA_anXawA
Corrosion	safkRAraNa
Cross_pollination	para_parAgaNa
Crystalline_lens	kristalIya_leMsa
Current_carrying	XArAvAhI
Current_rating	XArA_anumAwAfka
Curved_mirror	vakriwa_xarpaNa
Cycle	cakraNa
Damage	kRawi
Damaged	kRawigraswa
Decay	kRaya
Decomposers	apaGataka
Decomposition	apaGatana
Denature	vikqwa
Dendrite	xrumikA
Depict	ciwriwa
Depletion	apakRayana
Design	aBikalpa
Detection	saMsUcana
Detergent	apamArjaka
Development	parivarXana
Deviation	vicaraNa
Dialysis	apohana
Diastole	anuSiWilana
Diatomic	xviparamANu
Differentiation	viBexana
Diffraction	vivarwana
Digestion	pAcana/sampAcana
Direct_current	xiRta_XArA
Disfigurement	virUpaNa
Disinfectant	rogANunASaka
Dispersion_of_light	prakASa_kA_parikRepaNa
Displacement	visWApana/visWApana_aBikriyA
Disposable	nivarwanIya/prayojya
Disprove	apramANiwa/asawya
Dissociation	viyojana
Dissociation_reaction	viyojana_aBikriyA
Distinct	suspaRta
Distinguish	viBexa
Distribution	viwaraNa
Diverging	apasArI
Dobereiner	dAberAinara
Dominant_traits	praBAvI_lakRaNa
Double_displacement_reaction	xvi-visWApana_aBikriyA
Ductility	wanyawA
Earlobe	karNapAli
Earth_crust	BU-parpatI
Earth_wire	BU-samparka_wAra
Eco-system	pArisWiwika_wanwra/pAriwanwra
Ecological	pArisWiwika
Effervescence	buxabuxAhata
Efficiency	xakRawA
Egg_cell	aNdakoSikA
Electric_current	vixyuwa_XArA
Electric_iron	vixyuwa_iswarI
Electric_meter	vixyuwa_mApaka_yanwra
Electric_motor	vixyuwa_motara
Electrical	vExyuwa
Electrical_generator	vixyuwa_janiwra
Electricity	vixyuwa
Electro_magnet	vixyuwa_cumbaka
Electrolysis	vixyuwa_apaGatana
Electromagnetic_induction	vixyuwa_cumbakIya_preraNa
Electronegative	vixyuwa_qNAwmaka
Electrovalent_compound	vExyuwa_saMyojaka_yOgika
Element	wawva
Embryo	BrUNa
Emergent_ray	nirgawa_kiraNa
Encephalitis	maswiRka_jvara/maswiRka_SoWa
Endothermic	AzwaroRmi/URmASoRI
Enlarged	vivarXiwa
Environment	paryAvaraNa
Equation	samIkaraNa
Equipment	upaskara
Essence	iwra
Esterification	estarIkaraNa
Evolution	vikAsa
Exceptionally	awiSaya_rUpa_meM
Excretion	uwsarjana
Exhaustible	samApya
Exothermic	URmAkRepI
Extraction	niRkarRaNa
Eye	AzKa/newra
Eye_lens	aBinewra_leMsa
Eyeball	newragolaka
Famine	xurBikRa
Far_point	xUra_biMxu
Fat	vasA
Feedback	punarBaraNa
Fermentation	kiNvana
Fertilisation	niRecana
Field_of_view	xqRti_kRewra
Filter	CAnanA
Filtration	nisyanxana
Fire_extinguisher	agniSAmaka
Fission	viKaNdana
Fleming's_left	PlemiMga_kA_vAma
Fluorine	PluorIna
Focal_length	Pokasa_xUrI
Food_chain	AhAra_SrqfKalA
Food_web	AhAra_jAla
Fore_brain	agra_maswiRka
Forest_conservation	vana_saMrakRaNa
Formula	sUwra
Fossil	jIvASma
Fossil_fuel	jIvARmI_IMXana
Fragmentation	KaNdana
Frequency	Avqwwi
Fullerenes	Pularena
Fusion	saMlayana/viKaNdana
Gallbladder	piwwASaya
Galvanisation	yaSaxalepana
Gamete	yugmaka
Gastric_gland	jaTara_granWi
Gastric_juice	jaTara_rasa
Genetic_material	AnuvaMSika_paxArWa
Geothermal_energy	BUwApIya_UrjA
Glitter	camaka
Global_warming	vESvika_URmIkaraNa
Glomerulus	koSikAgucCa
Glow	jalanA
Goldsmith	sunAra/svarNakAra
Gradation	SreNIkaraNa
Granulated	xAnexAra
Green_house	pOXa_Gara
Group	samUha
Growth	vqXxi
Hardness	kaTorawA
Harvesting	safgrahaNa
Helium	hIliyama
Herbivore	SAkAhArI
Heredity	AnuvaMSikawA
Heterotroph	viRama_poRI
Hexagonal_array	RatakoNIya_vyUha
Hind_brain	paSca_maswiRka
Homogeneous	samAfgI
Homologous_series	samajAwIya_SreNI
Hot_spots	viSiRta_sWala
Human_eye	mAnava_newra
Humid	Arxra
Hydro_power_plant	jala_vixyuwa_saMyanwra
Hydrophilic	jalarAgI
Hydrophobic	jalavirAgI
Hypermetropia	nikata_xqRti
Hypertension	ucca_rakwacApa
Illumination	praxIpwi
Image	prawibiMba
Impact	samAGAwa
Impurity	apaxravya
Incident_ray	Apawiwa_kiraNa
Incubation	URmAyana
Indicator	sUcaka
Indigestion	apaca
Individual	vyaRti
Inert	akriya
Inert_gas	akriya_gEsa
Inexhaustible	akRaya
Ingredient	safGataka
Inherit	vaMSAgawa
Inheritance	vaMSAgawi
Inherited_traits	vaMSAgawa_lakRaNa
Insoluble	avileya
Insulation	URmAroXana/vixyuwa_roXana
Insulator	vixyuwaroXI
Interdependent	anyonyASriwa
Interface	anwarApqRTa
Interference	niRkarRa
Intestine	kRuxrAnwa
Intestine_juice	Azwra_rasa
Iodine	AyodIna
Iris	pariwArikA
Irritation	jalana
Isotopes	samasWAnika
Joint	sanXi
Kidney	vqkka
Larynx	kaNTa
Lateral_inversion	pArSrva_parivarwana
Least_distance_of_distinct_vision	suspaRta_xarSana_kI_alpawama_xUrI
Lemon_juice	nIMbU_kA_rasa
Lens	leMsa
Life_process	jEva-prakama
Light_sensitive_cell	prakASa_sugrAhI_koSikA
Lithium	lIWiyama
Live_wire	vixyunmaya_wAra
Liver	yakqwa
Longitudinal	anuxErGya
Loop	pASa
Lungs	PuPPusa
Lymph	lasIkA
Magnetic_Resonance_Imaging(MRI)	cumbakIya_anunAxa_prawibiMbana
Magnetic_compass	xiksUcaka_yanwra
Magnetic_field_lines	cumbakIya_kRewra_reKAez
Magnetic_needle	xiksUcI
Magnetisation	cumbakana
Magnified	AvarXiwa
Maintenance	anurakRaNa
Malfunction	kusafkriyA
Malleability	AGAwavarXyawA
Management	prabanXana
Maxwell_noun	mEksavela
MendellWaUev	meMdelIPa
Meningitis	maswiRkAvaraNa_SoWa/wanikA
Metallic	XAwvika
Micelles	misela
Micro-evolution	sUkRma-vikAsa
Micro_organism	sUkRma_jIva
Midbrain	maXya-maswiRka
Milk_of_magnesia	milka_oYPa_mEgniSiyA
Mineral	Kanija
Mirror	xarpaNa
Moisture	Arxra
Molasses	molesasa/sIrA
Monoculture	ekala_kqRi
Most_probable_number(MPN)	sArvaprAyika_safKyA
Multicellular	bahukoSika
Multiple_fission	bahuKaNdana
Myopia	xUraxqRti
Natural_selection	prAkqwika_cayana
Near_point	nikata_biMxu
Neon	nioYna
Nephron	vqkkANu
Nerve	wanwrikA
Nerve_impulse	wanwrikA_Avega
Neutral_wire	uxAsIna_wAra
Neutralisation	uxAsInIkaraNa
Newton_noun	nyUtana
Niche	nikewa
Nickel	nikela
Noble_gas	uwkqRta_gEsa
Non-Corrosive_base	asafkRAraka_kRAraka
Non-metalic	aXAwvika
Non-renewable	anavIkaraNIya
Nozzle	waNdu
Nuclear	nABikIya
Nuclear_reactor	nABikIya_riektara
Nutrition	poRaNa
Object	biMba
Observation	prekRaNa
Ocean_thermal_Energy	mahAsAgarIya_wApIya_UrjA
Octave	aRtaka
Octet	aRtaka
Oesophagus	grAsikA
Olfactory	ganXIya
Opaque	apAraxarSI
Optic_nerve	cakRuka_wanwrikA/xqk_wanwrikA
Optical	prakASika
Optics	prakASikI
Ore	ayaska
Organisation	safgaTana
Organism	jIva
Osmosis	parAsaraNa
Ovary	aNdASaya
Over_loading	awi_BAraNa
Oviduct	aNdavAhinI
Ovule	bIjANda
Oxidation	AksIkaraNa/upacayana
Pancreas	agnyASaya
Parallel_combination	pArSrva_saMyojana
Parameter	prAcala
Penis	SiSna
Periodic	Avarwa
Periodic_law	Avarwa_niyama
Petal	pafKudI
Phenomenon	pariGatanA
Photosynthesis	prakASasaMSleRaNa
Plug_key	plaga_kuFjI
Pole	Xruva
Pollen_grain	parAga_kaNa
Pollination	parAgaNa
Polluted	sanxURiwa
Population	samaRti
Potassium	potESiyama
Potential_difference	viBavAnwara
Power_of_accommodation	samaFjana_kRamawA
Power_of_lens	leMsa_kI_kRamawA
Precipitate	avakRepa
Precipitation_reaction	avakRepaNa_aBikriyA
Prefix	anulagna
Presbyopia	jarA_xUra_xqRtiwA
Principal_axis	muKya_akRa
Principal_focus	muKya_Pokasa
Process	prakrama
Producers	uwpAxaka
Progeny	sanwawi
Properties	guNaXarma
Puberty	yOvanAramBa
Pulmonary_veins	PuPPusa_SirAez
Pupil	puwalI
Purification	SoXana
Quench	Samana
Rabies	jala-BIwi
Radiation	vikiraNa
Radius	wrijyA
Radius_of_curvature	vakrawA_wrijyA
Rainbow	iMxraXanuRa
Rancidity	vikqwaganXiwA
Reabsorption	punarvaSoRaNa
Reactant	aBikAraka
Rear_view_mirror	paSca_xqSya_xarpaNa
Recessive_traits	apraBAvI_lakRaNa
Recommendation	anuSaMsiwa
Recrystallisation	punaH_kristalIkaraNa
Reddish_brown	BUrA_lAla
Redox_reaction	aBikriyA
Reduction	apacayana
Refining	pariRkaraNa
Reflected_ray	parAvarwiwa_kiraNa
Reflection	parAvarwana
Reflex_action	prawivarwI_kriyA
Reflex_arc	prawivarwI_cApa
Refract	apavarwa
Refracted_ray	apavarwiwa_kiraNa
Refraction	apavarwana
Refractive_index	apavarwanAfka
Regeneration	punarjanana/punarUxBavana
Relaxation	SiWilawA
Renewable	navIkaraNIya
Reproduction	janana
Reservoir	jalASaya
Resistance	prawiroXa
Resistivity	prawiroXakawA
Resource	saMsAXana
Resources	sAXana
Respiration	Svasana
Response	anukriyA
Retina	retInA/xqRtipatala
Rheostat	XArA_niyanwraka
Right_hand_thumb_rule	xakRiNa-haswa_afguRTa_niyama
Rigid_structure	xqJa_saMracanA
Roasting	Barjana
Rubidium	rUbidiyama
Rudimentary_eye	alpavarXiwa_AzKa
Rust	jafga
Saliva	lAlArasa
Salivary_gland	lAlAgranWi
Saponification	sAbunIkaraNa
Saturation	sanwqpwa
Scattering	prakIrNana/vikIrNana
Seedling	navoxBixa
Self-pollination	svaparAgaNa
Self_sustaining_fission	svapoRI_viKaNdana/svanirvAha
Seminal_vesicle	SukrASaya
Sepal	bAhya_xala
Septum	viBAjika
Series_combination	SreNI_saMyojana
Sewage	vAhiwa_mala
Sex_chromosome	liMga_sUwra
Sex_determination	liMga_nirXAraNa
Shell	koSa
Short_circuit	laGu-pacana
Side	pArSrva
Smell_receptor	GrANa_grAhI
Sodium	sodiyama
Solar_cell	sOra_sela
Solar_constant	sOra_sWirAfka
Solar_cooker	sOra_kukara
Solar_water_heater	sOra_jala_wApaka
Solenoid	parinAlikA
Solution	vilayana
Sophisticated	pariRkqwa
Sparkle	camakanA
Speciation	jAwi_uxBava
Spectacles	caSmA
Spectrum	spektrama
Spherical_mirror	golIya_xarpaNa
Sphincter_muscles	aviroXinI_peSI
Spinal_cord	merUrajju
Splitting	parikRepiwa/viBakwa
Spore	bIjANu
Sprinkler	CiwarAvaka
Stakeholder	xAvexAra
Stamen	pufkesara
Starvation	buBukRaNa
Stereopsis	wrivima_cAkRukI
Sterile_flower	banXya_puRpa
Stigro	varwikAgra
Stimulus	uxxIpana
Stomach	AmASaya
Stomata	ranXra
Straight	sIXI
Strontium	stroYnSiyama
Stung	dafkamArA
Style	varwikA
Substance	paxArWa
Suffix	pUrvalagna
Surgery	Salya
Survival	uwwarajIviwA
Sustainable_development	sampoRiwa_vikAsa
Symbol	prawIka
Synapse	sinepsa
Synthetic	sAMSleRika
Systole	prakuFcana
Tarnish	malIna
Technique	wakanIka
Tendency	pravqwwi
Terminals	sire
Testes	vqRaNa
Tetanus	XanuswamBa
Tetravalent	cawuHsaMyojaka
Thermal_power_plant	wApIya_vixyuwa_saMyanwra
Three-dimensional	wriAyAmI
Tidal_Energy	jvArIya_UrjA
Tides	jvAra_BAtA
Tongue	jihvA
Trachea	SvAsanalI
Transmission	pAragamana
Transmitted	pAragawa
Transparent	pAraxarSI
Transpiration	vARpowsarjana
Transplantation	prawyAropaNa
Transportationsystem	vahana_wanwra
Transverse	anuprasWa
Triad	wrika
Trophic_level	poRI-swara
Turbulent	vikRubXa
Turns	Pere
Twinkle	timatimAnA
Unbreeding	anwarjanana
Unicellular	ekakoSika
Universal_Indicator	sArvasUcaka
Unsaturation	asanwqpwa
Untreated_sewage	anupacAriwa_vAhiwa_mala
Upstream	apacayana/upacayana/UrXva_pravAha
Ureter	mUwra_vAhinI
Urethra	mUwramArga
Uterus	garBASaya
Vagina	yoni
Valency	saMyojakawA
Variants	parivarwa
Variation	vicalana
Vas_deferens	SukravAhinI
Vascular_Bundle	saMvahana_baNdala
Vegetative_propagation	kAyika_pravarXana
Vein	SirA
Vena_cava	mahASirA
Ventricle	nilaya
Verigated	Sabaliwa
Versatile	sarvawomuKI
Version	vikalpa
Villi	xIrGaroma
Vinegar	sirakA
Virtual	ABAsI
Vitreous_humour	kAcABa_xrava
Waste	apaSiRta
Wave_Energy	warafga_UrjA
Wind	pavana
Wrought	pitavA
Xerophyte	marUxBixa
Zygote	yugmanaja
a-transducer_noun	e_trAMsdyUsara
a.i.r.a.c._noun	e.AI.Ara.e.sI.
abacus_noun	afkagaNaka/SIrRaPalaka/ebekasa/ginawArA
abandon_noun	pariwyAga/pariwyAga_karanA
abandoned_noun	pariwyakwa/wyakwa
abandonment_noun	pariwyAga
abate_noun	upaSamana_karanA/upaSamana_honA/kamI_karanA/kamI_honA
abatement_noun	kamI/upaSamana
abating_noun	upaSamana
abbreviation_noun	safkRipwi
abdicate_noun	paxa_wyAga_xenA
abdomen_noun	uxara
abdominal_noun	uxarIya/uxara
abducent_noun	apavarwaka
abduction_noun	apaharaNa/BagA_le_jAnA
abeam_noun	pUrA_Ade
aberration_noun	vipaWana
abet_noun	xuRpreriwa_karanA
abetment_noun	xuRpreraNa
abettor_noun	xuRpreraka
abeyance_noun	AsWagana/prAsWagana
ability_noun	yogyawA
abiogenesis_noun	jIvowapawwi
ablation_noun	apakRaraNa
ablative_noun	apakRaraka
ablaze_noun	prajvaliwa
able_noun	yogya
abnormal_noun	apasAmAnya
abolish_noun	mitA_xenA/Kawma_karanA/unmUlana
abolition_noun	unmUlana
aboriginal_noun	Axima/prAcIna/AxivAsI
abort_noun	viPala/viPalana
abrasion_noun	apaGarRaNa/apaGarSaNa
abrasive_noun	apaGarRI/apaGarRaka
abrasiveness_noun	apaGarRiwA
abridge_noun	kama_karanA_(jEse_Sakwi)/safkRipwa_karanA_(jEse_riporta)
abridgement_noun	safkRepaNa/kamI_(jEse_Sakwi)
abrogate_noun	nirAkaraNa
abrogation_noun	nirAkaraNa
abrupt_noun	apacCinna/Akasmika
abscess_noun	PodA
abscission_noun	apacCexana/vilagana
absconder_noun	ParAra/ParArI
absence_noun	anupafsWfAwa/gErahAjLrI/aBAva/anupasWiwi/gErahAjirI
absent_noun	anupasWiwa/gErahAjira
absentee_noun	anupasWiwa/gErahAjLra
absolute_noun	nirapekRa/parama/pariSuxXa/pUrNa/carama
absolve_noun	vimukwa_karanA/xoRa_rahiwa_sixXa_karanA
absorb_noun	Amelana/avaSoRaNa_karanA/avaSoRaNa/samAviRta/sa_o_Ka_nA/avaSa_o_R_A_Na_karanA/avaSa_o_iR_A_wa_karanA
absorb_verb	avaSoRiwa_kara
absorbed_adjective	avaSoRiwa
absorbency_noun	avaSoRaNAfka/avaSoRakawA
absorbent_noun	avaSoRaka
absorber_noun	avaSoRaka
absorptance_noun	avaSoRaNAMSa
absorption_noun	Amelana/avaSoRaNa/vilayana/pracURaNa/samAveSana
absorptivity_noun	avaSoRakawA
abstain_noun	pravirawa_rahanA
abstract_noun	amUrwa/sAra/sArAMSa/amUrwwa
abstraction_noun	amUrwana/apaharaNa/nikarRaNa
abstractor_noun	sArakarwA
absurd_noun	arWahIna/bewukA
absurdity_noun	arWahInawA/bewukApana
abundance_noun	bAhulya/bahulawA/bAhulyawA
abundant_noun	pracura/BarapUra
abuse_noun	xurupayoga
abutment_noun	anusImA/sAWa_satA_huA/anwyAXAra/pIlapAyA/AXAra/anxyAXAra
abutting_noun	prawisparSI/takkara
acacia_noun	akeSiyA
academic_noun	akAxamika/SEkRaNika/vixyA_sambanXI/SAswrIya/SEkRika
academician_noun	vixyAvix
academics_noun	vixyAvix
academy_noun	akAxamI
acarology_noun	prawyAyana
accede_noun	mAna_lenA/aXimilana
accelerate_noun	wvariwa_karanA
acceleration_noun	wvaraNa
accelerator_noun	wvaraka/wvariwra
accelerogram_noun	esilogrAma/wvaraNAreKa
accelerograph_noun	esilogrAPa/wvaraNAleKa/wvaraNaleKI/eksilarogrAPa
accelerometer_noun	wvaraNa_mApaka/wvaraNamApI
accent_noun	svarAGAwa/balAGAwa
accept_noun	svIkAra_karanA/mAnanA/sxyAIkAra
acceptability_noun	svIkAryawA
acceptable_noun	svIkArya
acceptance_noun	svIkqwi/maFjUrI/prawigrahaNa_(viXi)
access_noun	aBigama/pahuca/pahuFca
accessibility_noun	aBigamyawA
accessible_noun	aBigamya
accession_noun	parigrahaNa/rAjyArohaNa/paxArohaNa/aXimilana
accessions_noun	prApwiyAM/vaMSAvaliyAM
accessories_noun	sahAyaka_sAmagrI
accessory_noun	anuRafgI/upasAXana/sahayanwra/sahAyaka_upakaraNa
accident_noun	xuGatanA/saMyoga/xurGatanA
accidental_noun	Akafsmaka/Akasmika/aprawyASiwa
acclimatization_noun	parisWiwi-anukUlana/xaSAnukUlana/paryanukUlana/paryAnukUlana
accommodate_noun	samaFjana/samaFjana_karanA/samAveSa
accommodation_noun	AvAsa/nirvAha/samAveSana/samaFjana
accomodating_noun	samaFjaka
accompanist_noun	safgawakAra
accompanying_noun	saMlagna/sAWa_kA
accomplish_noun	pUrA_karanA
accomplished_noun	pravINa/susaMskqwa/sampAxiwa
accomplishment_noun	upalabXi
accord_noun	samaJOwA/praxAna_karanA/sa_maJO_wA/praxA_na_karanA/xa_na_e_A/ana/xenA/mela_KAnA/anurUpa_honA
accordance_noun	anurUpawA/safgawi
accordingly_noun	waxanusAra/waxanurUpa
account_noun	leKA/KAwA/hisAba
accountability_noun	javAbaxehI
accountable_noun	javAbaxeha/xenaxAra/leKA_xeya/uwwaraxAyI
accountal_noun	leKA-joKA
accountancy_noun	leKASAswra/leKAviXi/leKA_pAlana/leKAkArya
accountant_noun	leKAkAra/aXInasWa_leKA_sevA_leKAkAra
accounting_noun	leKAfkana/leKA_kArya
accounts_noun	leKA_anuxAna
accoutrement_noun	sAja-sajjA
accredit_noun	prawyAyiwa_karanA
accreditation_noun	prawyAyana
accretion_noun	aBivqxXi/afBavqxXi
accrual_noun	proxBavana
accrue_noun	proxBUwa_honA/proxBUwa/upaciwa
accrued_noun	proxBUwa
accumulate_noun	saFciwa
accumulation_noun	saFcaya/saFcayana
accumulator_noun	saFcAyaka/saFcAyaka_sela
accuracy_noun	pariSuxXawA/yaWArWawA
accurate_noun	pariSuxXa/yaWArWa/sahI/TIka
accurately_noun	yaWArWawa:/yaWArWa_rUpa_se
accusation_noun	aBiyoga/xoRAropaNa/afBayoga_(viXi)
accuse_noun	aBiyoga_lagAnA/Aropa_lagAnA/xoRAropaNa_karanA/afBayoga_lagAnA
accused_noun	aBiyukwa/AropI/afBayukwa
acecia_noun	ekesiyA
acetone_noun	EsItona
acetylene_noun	EsItilIna
achievement_noun	upalabXi
achrosome_noun	SukAgra
acicular_noun	sUcyAkAra
acid_noun	amla/wejAba
acidaemia_noun	amlarakwawA
acidity_noun	amlawA
acknowledge_noun	prApwi_svIkAra_karanA/pAvawI_xenA
acknowledgement_noun	pAvawI/afBasvIkqwi_(viXi)
acm_noun	e_sI_ema
acoustic_noun	XvAnika/Xvanika
acoustics_noun	XvAnikI/Xvani-vijFAna
acquaintance_noun	paricaya/pariciwa_(vyakwi)
acquire_noun	arjana_karanA/upArjana_karanA/aXigrahaNa_karanA/upArjana
acquired_noun	upArjiwa/arjiwa/aXigrahIwa
acquisition_noun	arjana/aBigrahaNa/aXigrahaNa
acquit_noun	xoRamukwa_karanA
acquittal_noun	xoRamukwi
acquittane_noun	BarapAI/BugawAna/niswAraNa_(viXi)
acre_noun	ekada
acronym_noun	parivaNIr_Sabxa/safkRipwa_rUpa/laGu_rUpa
across_noun	Ara-pAra
acrylate_noun	ekrIleta
acrylonitrile_noun	ekrilonAitrAila
act_noun	aXiniyama/kArya/aXiniyama_(vi)/kAya/kqwya
acting_noun	kAryakArI
action_noun	kAravAI/kriyA/kArravAI
activate_noun	sakriya_karanA/uwpreirawa_karanA
activation_noun	safkriyaNa/sakriyaNa
activator_noun	sakriyaka/sakriya_kAraka
active_noun	sakriya/kriyASIla
activist_noun	karmaTa_kAryakawA/sakriyawAvAxI
activities_noun	kriyAkalApa/gawiviXiyAM
activity_noun	kAryakalApa/gawiviXi/kriyAkalApa/sakriyawA
acton_noun	ektana/EcCika_saFcAlana
actuals_noun	vAswavika_Afkade/vAswavika_Akade
actuary_noun	bImAfkaka
actuate_noun	saFcAliwa_karanA/pravarwiwa_karanA/calAnA
actuated_noun	saFcAliwa/pravarwiwa
actuator_noun	pravarwaka/saFcAlaka
acutance_noun	nyUnawva
acyclic_noun	acakrIya
adaptability_noun	anukUlanaSIlawA/anukUlanIyawA/anukUlawA
adaptable_noun	anukUlanIya/rUpAnwaraNIya
adaptation_noun	afgIkaraNa/svIkAra/anukUlana/rUpAnwara
adapter_noun	anukUlaka/anukUliwra/edeptara/edEptara
adaptive_noun	anukUlaka/anukUlI
adaptor_noun	anukUlaka
adcaid-de-camp_)_noun	e-_dI-_sI
add_noun	jodanA
added_noun	saMvarXiwa
addend_noun	yojya
addendum_noun	anuSeRa/pariSiRta/anubanXa
adder_noun	yojaka/safkalaka
addition_noun	yoga/joda/parivarXana/safkalana
additional_noun	awirikwa/apara/apara_(paxanAma_meM)
additive_noun	yojaka/yojya/yogAwmaka/yogaSIla/yojanI
address_noun	pawA/afBaBARaNa/samboXana/samboXiwa_karanA/mAnapawra
addressability_noun	pawAyogyawA/samboXanIyawA
addressable_noun	pawAyogya
addressee_noun	pAne_vAlA/prefRawI
addressgraph_noun	pawAleKI
addressing_noun	pawABigamana/(pawA_aBigamana)
addressless_noun	pawArahiwa
addressograph_noun	pawA-leKI/EdresogrAPa
adduce_noun	peSa_karanA
adequacy_noun	paryApwawA
adequate_noun	paryApwa
adhere_noun	cipakanA
adherence_noun	anuvarwana
adhering_noun	AsaFjana
adhesion_noun	AsaFjana
adhesive_noun	AsaFjaka/cipakAneM_vAlA_paxArWa/cepaka/asaFjaka
adhesiveness_noun	AsaFjakawA
adhoc_noun	waxarWa
adiabat_noun	EdiyAbeta
adiabatic_UNDEFINED	ruxXoRma
adiabatic_adjective	ruxXoRma
adiabatic_noun	'/ediyAbEtika/ruxXoRma/EdiyAbetika
adiabaticity_noun	ruxXoRmiwA
adit_noun	praveSa_surafga/edita
adj_noun	e_dI_je
adjacency_noun	saMlagnawA/AsannawA
adjacent_noun	Asanna/saMlagna/nikatavarwI/pASrvasWa/nikatasWa
adjoin_noun	lagA_honA
adjoining_noun	samIpavarwI/satA_huA/saMlagna/saMlagnaka
adjoint_noun	saMlagna
adjourn_noun	sWagiwa_karanA/kAma_rokanA
adjourned_noun	sWagiwa
adjournment_noun	sWagana/viXeyaka_para_carcA_kA_sWagana
adjudge_noun	TaharAnA_nyAyaniNIwa_karanA_(viXi)
adjudication_noun	aXinirNayana/aXinirNaya/nyAya_nirNayana/nyAyanirNayana
adjudicator_noun	nyAyanirNAyaka
adjunction_noun	sahabanXana
adjust_noun	samAyojana
adjustable_noun	samAyojya
adjuster_noun	samAyojaka
adjusting_noun	samAyojana
adjustment_noun	samAyojana
adjutant_noun	edjuteMta
admin_noun	praSAsana
administer_noun	praBAva_meM_lAnA/praSAsana_karanA/saFcAlana_karanA/prabanXa_karanA/xenA/xilAnA/vyavasWA_karanA/xavA_xenA
administration_noun	praSAsana
administrative_noun	praSAsanika/praSAsI/praSAsakIya
administrator_noun	prabanXaka/praSAsaka
admiral_noun	Edamirala
admissibility_noun	grAhyawA/svIkAryawA/grAyawA:_svIkAryawA
admissible_noun	grAhya/svIkArya/grAya
admission_noun	svIkqwi/praveSa/xAKilA
admit_noun	praveSa_karane_xenA/anxara_Ane_xenA/svIkAra_karanA/praviRta_karanA/xAKila_karanA/xAKilA_xenA
admittance_noun	praveSa/praveSyawA
admitted_noun	gqhIwa/svIkqwa/praviRta/xAKila
admixture_noun	aXimiSraka/aXimiSraNa/sammiSraNa
admonish_noun	BarwsanA_karanA
admonition_noun	BawrsanA
adolescent_noun	kiSora
adopt_noun	afgIkAra_karanA/apanAnA
adoptee_noun	xawwaka
adopter_noun	anukUlaka
adopting_noun	apanAkara
adoption_noun	afgIkaraNa/xawwaka-grahaNa/goxa_lenA/anukUlana/apanAnA/svIkAra_karanA
adoptor_noun	xawwakagrAhI
