#Source :: Extracted this dictionary from agriculture1_wiktionary.txt and agriculture2_wiktionary.txt, Agri_Glossaryt.doc	#Source :: Extracted this dictionary from agriculture1_wiktionary.txt and agriculture2_wiktionary.txt, Agri_Glossaryt.doc
#Changes:: 1) Separated single word and multi words into separate dictionaries	#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case	#          2) English words are converted to lower case
#          3) Added category as 'noun#2#RM' by default	#          3) Added category as 'noun#2#RM' by default
#Added  :: By Roja Lakshmi (06-11-14)	#Added  :: By Roja Lakshmi (06-11-14)
#######################################	#######################################
agronomic_research	sasyIya_anusanXAna#sasyIya_anusanXAna#noun#2#RM
agronomic_value	sasyIya_mAna#sasyIya_mAna#noun#2#RM
air_chamber	vAyu_kakRa#vAyu_kakRa#noun#2#RM
air_drainage	vAyu_nikAsa#vAyu_nikAsa#noun#2#RM
air_dry_soil	vAwa_SuRka_mqxA#vAwa_SuRka_mqxA#noun#2#RM
air_layering	gUtI_bAnXanA#gUtI_bAnXanA#noun#2#RM
air_permeability	vAyu_pAragamyawA#vAyu_pAragamyawA#noun#2#RM
air_porosity	vAwa_saranXrawA#vAwa_saranXrawA#noun#2#RM
alkali_disease	kRArIya_roga#kRArIya_roga#noun#2#RM
alkaline_soil	KArI_mqxA/kRArIya_mqxA/Usara_mittI#KArI_mqxA/kRArIya_mqxA/Usara_mittI#noun#2#RM
alkaline_toxicity	kRArIya_AviRAluwA#kRArIya_AviRAluwA#noun#2#RM
alkali_soil	kRArIya_mqxA#kRArIya_mqxA#noun#2#RM
allied_fibres	sambaxXa_reSe#sambaxXa_reSe#noun#2#RM
allied_science	sambaxXa_vijFAna#sambaxXa_vijFAna#noun#2#RM
allitic_soil	elAitika_mqxA#elAitika_mqxA#noun#2#RM
alluval_soil	jaloDa_mittI#jaloDa_mittI#noun#2#RM
alluvial_deposits	jaloDa_nikRepa#jaloDa_nikRepa#noun#2#RM
alluvial_fan	jaloDa_PElAva#jaloDa_PElAva#noun#2#RM
alluvial_material	jaloDa_sAmagrI#jaloDa_sAmagrI#noun#2#RM
alluvial_plain	jaloDa_mExAna#jaloDa_mExAna#noun#2#RM
alluvial_soil	jaloDa_mqxA/jaloDa_mqxA#jaloDa_mqxA/jaloDa_mqxA#noun#2#RM
almond_crown_gall	bAxAma_SiKara_pitikA#bAxAma_SiKara_pitikA#noun#2#RM
almond_mosaic	bAxAma_mojeka#bAxAma_mojeka#noun#2#RM
alpine_ecology	AlpIya_pArisWiwikI#AlpIya_pArisWiwikI#noun#2#RM
alpine_meadow_soils	Alpina_mIdova_sAilsa#Alpina_mIdova_sAilsa#noun#2#RM
alternaria_blight	AltaraneriyA_blAita#AltaraneriyA_blAita#noun#2#RM
alternaria_leaf_bright	pawwI_Xabbe#pawwI_Xabbe#noun#2#RM
alternate_husbandry	vEkalpika_XanXA#vEkalpika_XanXA#noun#2#RM
alternative_cost	vEkalpika_lAgawa#vEkalpika_lAgawa#noun#2#RM
alternative_goal	vEkalpika_lakRya#vEkalpika_lakRya#noun#2#RM
alternative_hypothesis	vEkalpika_parikalpanA#vEkalpika_parikalpanA#noun#2#RM
alternative_inheritance	anyawara_vaMSAgawi#anyawara_vaMSAgawi#noun#2#RM
ambient_temperature	pariveSa_wApa#pariveSa_wApa#noun#2#RM
amendment_soil	saMSoXiwa_mqxA#saMSoXiwa_mqxA#noun#2#RM
ammonia_oxidation	amoniyA_AksIkaraNa#amoniyA_AksIkaraNa#noun#2#RM
ammonia_synthesis	amoniyA_saMSleRaNa#amoniyA_saMSleRaNa#noun#2#RM
ammonical_fermentation	amoniyA_kiNvana#amoniyA_kiNvana#noun#2#RM
anaerobic_bacteria	avAyujIvI_jIvANu#avAyujIvI_jIvANu#noun#2#RM
anaerobic_decomposition	avAyu_apaGatana#avAyu_apaGatana#noun#2#RM
anaerobic_respiration	anAksI_Svasana#anAksI_Svasana#noun#2#RM
analysis_of_covariance	sahavicaraNa_viSleRaNa,#sahavicaraNa_viSleRaNa,#noun#2#RM
analysis_of_data	AfkadoM_kA_viSleRaNa#AfkadoM_kA_viSleRaNa#noun#2#RM
analysis_of_date	AzkadoM_kA_viSleRaNa#AzkadoM_kA_viSleRaNa#noun#2#RM
analysis_of_variance	vicaraNa_viSleRaNa#vicaraNa_viSleRaNa#noun#2#RM
analytical_statistics	viSleRaNAwmaka_sAfKyikI#viSleRaNAwmaka_sAfKyikI#noun#2#RM
analytical_technique	viSleRaNAwmaka_praviXi#viSleRaNAwmaka_praviXi#noun#2#RM
anarchistic_tendencies	arAjaka_pravqwwiyAM#arAjaka_pravqwwiyAM#noun#2#RM
angular_arrangement	koNIya_vinyAsa#koNIya_vinyAsa#noun#2#RM
angular_leaf_spot	koNIya_parNaxAga#koNIya_parNaxAga#noun#2#RM
animal_breeding	paSu_prajanana#paSu_prajanana#noun#2#RM
animal_carcase	paSu_Rava#paSu_Rava#noun#2#RM
animal_disease	paSu_roga#paSu_roga#noun#2#RM
animal_husbandry	paSupAlana#paSupAlana#noun#2#RM
animal_nutrition	paSu_poRaNa/paSu_poSaNa#paSu_poRaNa/paSu_poSaNa#noun#2#RM
animal_tankage	paSu_garwAvaReSa#paSu_garwAvaReSa#noun#2#RM
anion_solubilization	qNAyana_vilayana#qNAyana_vilayana#noun#2#RM
annual_return	vArSika_vivaraNI#vArSika_vivaraNI#noun#2#RM
annual_ring	vArSika_vilaya#vArSika_vilaya#noun#2#RM
annual_shoot	vArSika_praroha#vArSika_praroha#noun#2#RM
annual_statement	vArRika_vivaraNa#vArRika_vivaraNa#noun#2#RM
annual_summary	vArRika_sArAMSa#vArRika_sArAMSa#noun#2#RM
annual_tender	vArSika_komala_pOXA#vArSika_komala_pOXA#noun#2#RM
annual_yield	vArSika_upaja#vArSika_upaja#noun#2#RM
antagonism_of_ion	Ayana_viroXawA#Ayana_viroXawA#noun#2#RM
antagonistic_capacity	viroXI_kRamawA#viroXI_kRamawA#noun#2#RM
antagonistic_fungi	viroXI_kavaka#viroXI_kavaka#noun#2#RM
antagonistic_microorganism	viroXI_sUkRmajIva#viroXI_sUkRmajIva#noun#2#RM
anterior_presentation	agra_garBapraswuwi#agra_garBapraswuwi#noun#2#RM
ant_hill_earth	vAlmIki_mittI#vAlmIki_mittI#noun#2#RM
anthropic_soil	kqwrima_mqxA#kqwrima_mqxA#noun#2#RM
antibacterial_agent	prawijIvANu_kAraka#prawijIvANu_kAraka#noun#2#RM
anti_bacterial	prawijIvANuka#prawijIvANuka#noun#2#RM
antibactetial_agent	jIvANuroXI_kAraka#jIvANuroXI_kAraka#noun#2#RM
anti_cyclone	prawicakravAwa#prawicakravAwa#noun#2#RM
anti_foaming_agent	PenaroXI_kAraka#PenaroXI_kAraka#noun#2#RM
anti_freezing	himanaroXI#himanaroXI#noun#2#RM
anti_friction	prawiGarSaNa_beyariMga#prawiGarSaNa_beyariMga#noun#2#RM
apical_angle	SiKAgra_koNa#SiKAgra_koNa#noun#2#RM
apical_bud	SIrRasWa_kalikA#SIrRasWa_kalikA#noun#2#RM
apical_cell	SiKAgra_koSikA#SiKAgra_koSikA#noun#2#RM
apical_cleavage	SIrRasWa_vixalana#SIrRasWa_vixalana#noun#2#RM
apical_dominance	SiKAgra_praBAviwA#SiKAgra_praBAviwA#noun#2#RM
apical_growth	SIrRa_vqxXi/agra_vqxXi/SIrRa_vqxXi#SIrRa_vqxXi/agra_vqxXi/SIrRa_vqxXi#noun#2#RM
apple_blotch	seba_kA_xAga#seba_kA_xAga#noun#2#RM
apple_fruit_weevil	seba_kA_Guna#seba_kA_Guna#noun#2#RM
apple_rust	seba_kitta#seba_kitta#noun#2#RM
applied_economics	anuprayukwa_arWaSAswra#anuprayukwa_arWaSAswra#noun#2#RM
applied_force	prayukwa_bala#prayukwa_bala#noun#2#RM
appraised_value	AfkAgayAmUlya/AzkA_mUlya#AfkAgayAmUlya/AzkA_mUlya#noun#2#RM
approach_grafting	milAna_ropaNa#milAna_ropaNa#noun#2#RM
approved_variety	svIkqwa_kisma#svIkqwa_kisma#noun#2#RM
aquatic_plant	jalIyapOXA#jalIyapOXA#noun#2#RM
aqueous_extractants	jalIya_niSkarSaka#jalIya_niSkarSaka#noun#2#RM
aqueous_solution	jalIya_Gola#jalIya_Gola#noun#2#RM
aqueous_tissue	jalIya_uwaka#jalIya_uwaka#noun#2#RM
arable_land	kqRya_BUmi/kqRi_yogya_BUmi/KewI_ke_wahawa_kRewra/kqSya_BUmi#kqRya_BUmi/kqRi_yogya_BUmi/KewI_ke_wahawa_kRewra/kqSya_BUmi#noun#2#RM
arbitrary_correction	svecCa_saMSuxXi#svecCa_saMSuxXi#noun#2#RM
arbitrary_origin	svecCa_mUlabiMxu#svecCa_mUlabiMxu#noun#2#RM
arbitrary_value	ecCika_mAna#ecCika_mAna#noun#2#RM
arbitrated_exchange_rate	anwarpaNana_vinimaya_xara#anwarpaNana_vinimaya_xara#noun#2#RM
arbour_or_pergola_system	maNdala_praNAlI#maNdala_praNAlI#noun#2#RM
arc_process	Arka_viXi#Arka_viXi#noun#2#RM
area_under_crop	sasyagawa_kRewra/Pasala_ke_wahawa_kRewra/sasyagawa_kRewra#sasyagawa_kRewra/Pasala_ke_wahawa_kRewra/sasyagawa_kRewra#noun#2#RM
area_under_cultivation	kqRigawa_kRewra/jowaBUmi/kqRigawa_kRewra#kqRigawa_kRewra/jowaBUmi/kqRigawa_kRewra#noun#2#RM
area_under_irrigation	siMcAI_ke_wahawa_kRewra/siMcana_kRewra/siMciwa_kRewra#siMcAI_ke_wahawa_kRewra/siMcana_kRewra/siMciwa_kRewra#noun#2#RM
arid_climate	SuRka_jalavAyu#SuRka_jalavAyu#noun#2#RM
aridity_index	SuRkawA_sUcakAfka#SuRkawA_sUcakAfka#noun#2#RM
arid_legumes	SuRka_PaliyAM#SuRka_PaliyAM#noun#2#RM
arid_soil	SuRka_mqxA#SuRka_mqxA#noun#2#RM
arm_disease_of_grape	afgUra_kA_mqwaSAKa_roga#afgUra_kA_mqwaSAKa_roga#noun#2#RM
aromatic_plants	suganXiwa_pOXe#suganXiwa_pOXe#noun#2#RM
articles_of_comfort	suKakara_vaswueM#suKakara_vaswueM#noun#2#RM
articular_facet	sanXi_sirA#sanXi_sirA#noun#2#RM
artificial_compaction	kqwrima_saMhawawA#kqwrima_saMhawawA#noun#2#RM
artificial_compost	kqwrima_kamposta#kqwrima_kamposta#noun#2#RM
artificial_drainage	kqwrima_jala_nikAsa#kqwrima_jala_nikAsa#noun#2#RM
artificial_epiphatolic	kqwrima_roga_sqjana#kqwrima_roga_sqjana#noun#2#RM
artificial_farm_manure	kqwrima_kArbanI_KAxa/kqwrima_PArma_KAxa#kqwrima_kArbanI_KAxa/kqwrima_PArma_KAxa#noun#2#RM
artificial_fertilizer	kqwrima_urvaraka#kqwrima_urvaraka#noun#2#RM
artificial_hybridization	kqwrima_safkaraNa#kqwrima_safkaraNa#noun#2#RM
artificial_inoculation	kqwrima_niveRana#kqwrima_niveRana#noun#2#RM
artificial_insemination	kqwrima_vIrya_secana#kqwrima_vIrya_secana#noun#2#RM
artificial_manure	kqwrima_KAxa#kqwrima_KAxa#noun#2#RM
artificial_mulch	kqwrima_palavAra#kqwrima_palavAra#noun#2#RM
artificial_parthenogenesis	kqwrima_aniSekajanana#kqwrima_aniSekajanana#noun#2#RM
artificial_pollination	kqwrima_parAgaNa#kqwrima_parAgaNa#noun#2#RM
artificial_selection	kqwrima_varaNa#kqwrima_varaNa#noun#2#RM
artificial_silk	kqwrima_reSama#kqwrima_reSama#noun#2#RM
ascending_order	ArohI_krama#ArohI_krama#noun#2#RM
asexual_reproduction	alEMgika_janana#alEMgika_janana#noun#2#RM
ash_colour	matamElA_rafga#matamElA_rafga#noun#2#RM
ash_gourd	peTA/BUrA_kaxxU#peTA/BUrA_kaxxU#noun#2#RM
ash_metabolism	rAKa_upApacaya#rAKa_upApacaya#noun#2#RM
aspergillus_niger	kAlI_PaPUnxa#kAlI_PaPUnxa#noun#2#RM
assessed_value	mUlyAfkiwa_mAna#mUlyAfkiwa_mAna#noun#2#RM
assigned_quota	aXimAnya_kotA#aXimAnya_kotA#noun#2#RM
association_coeficient	sAhacarya_guNAfka#sAhacarya_guNAfka#noun#2#RM
association_of_attribute	guNa_sAhacarya#guNa_sAhacarya#noun#2#RM
associative_action	saMyogika_kriyA#saMyogika_kriyA#noun#2#RM
associative_digestibility	saMyogika_pacanIyawA#saMyogika_pacanIyawA#noun#2#RM
associative_effect	saMsargI_praBAva#saMsargI_praBAva#noun#2#RM
associative_phenomena	saMsargI_xqRya#saMsargI_xqRya#noun#2#RM
assorting_effect	pqWakkaraNa_praBAva#pqWakkaraNa_praBAva#noun#2#RM
assured_mean	kalpiwa_mAXya#kalpiwa_mAXya#noun#2#RM
aster_spotted_wilt	estara_kA_cakawwexAra_mlAni#estara_kA_cakawwexAra_mlAni#noun#2#RM
aster_wilt	estara_pIwaroga#estara_pIwaroga#noun#2#RM
at_an_average	Osawana#Osawana#noun#2#RM
at_par	samAna#samAna#noun#2#RM
audio_visual_aids	xqRya_Sravya_sAXana#xqRya_Sravya_sAXana#noun#2#RM
aural_aid	karNIya_sAXana#karNIya_sAXana#noun#2#RM
auto_alloploid	sva_parAgaNiwa#sva_parAgaNiwa#noun#2#RM
auto_allopolyploid	sva_parabahuguNiwawA#sva_parabahuguNiwawA#noun#2#RM
autocatalytic_reaction	svowprerakaprawikriyA#svowprerakaprawikriyA#noun#2#RM
autochthonous_bacteria	svasWAnika_jIvANu#svasWAnika_jIvANu#noun#2#RM
autumn_cleaning	pawaJadakAlIna_saPAI#pawaJadakAlIna_saPAI#noun#2#RM
autumn_cultivation	pawaJadakAlIna_KewI/katAI#pawaJadakAlIna_KewI/katAI#noun#2#RM
available_water_in_soils	mqxAoM_meM_upalabXa_jala#mqxAoM_meM_upalabXa_jala#noun#2#RM
average_holding	Osawa_jowa#Osawa_jowa#noun#2#RM
average_marginal_productivity	Osawa_sImAnwa_uwpAxakawA#Osawa_sImAnwa_uwpAxakawA#noun#2#RM
average_output	Osawa_uwpAxa#Osawa_uwpAxa#noun#2#RM
average_return	Osawa_prawiPala#Osawa_prawiPala#noun#2#RM
average_value	Osawa_mUlya#Osawa_mUlya#noun#2#RM
average_weight	Osawa_BAra#Osawa_BAra#noun#2#RM
average_yield	Osawa_upaja#Osawa_upaja#noun#2#RM
award_and_recognition	puraskAra_evaM_mAnyawAez#puraskAra_evaM_mAnyawAez#noun#2#RM
axial_flower	akRIya_puRpa/akRIya_PUla#akRIya_puRpa/akRIya_PUla#noun#2#RM
axillary_bud	kakRasWa_kalikA#kakRasWa_kalikA#noun#2#RM
backgrond_information	pqSTaBUmi_sUcanA#pqSTaBUmi_sUcanA#noun#2#RM
barren_land	baFjara_BUmi#baFjara_BUmi#noun#2#RM
basal_pit	AXAra_garwa#AXAra_garwa#noun#2#RM
basement_rocks	AXAra_SElasanXa#AXAra_SElasanXa#noun#2#RM
base_run-off	AXAra_apavAha#AXAra_apavAha#noun#2#RM
basin_irrigation	xroNI-siMcAI#xroNI-siMcAI#noun#2#RM
basin_listing	kyArI_banAnA#kyArI_banAnA#noun#2#RM
bed_irrigation	kyArI_siMcAI#kyArI_siMcAI#noun#2#RM
bee_fly	Bramara_makKI#Bramara_makKI#noun#2#RM
below_par_value	avamUlya#avamUlya#noun#2#RM
bench_terrace	bEMca_teresa#bEMca_teresa#noun#2#RM
bench_terraces	sopAna_vexikAez#sopAna_vexikAez#noun#2#RM
bengal_curantus	kaMrOxA#kaMrOxA#noun#2#RM
benthic_animal	niwalasWa_prANI#niwalasWa_prANI#noun#2#RM
bias_sampling	aBinawa_prawixarSana#aBinawa_prawixarSana#noun#2#RM
bio_chemistry	jEva_rasAyana#jEva_rasAyana#noun#2#RM
bio_climatology	jIva-jalavAyuvijFAna#jIva-jalavAyuvijFAna#noun#2#RM
bio_control	jEva_niyanwraNa#jEva_niyanwraNa#noun#2#RM
bio_diversity	jEva_viviXawA#jEva_viviXawA#noun#2#RM
bio_fertiliser	jEva_urvaraka#jEva_urvaraka#noun#2#RM
biological_control	jEva_niyanwraNa#jEva_niyanwraNa#noun#2#RM
biological_cycle	jEva-cakra#jEva-cakra#noun#2#RM
biological_forces	jEvika_SakwiyAz#jEvika_SakwiyAz#noun#2#RM
biological_form	jEvika_prakAra#jEvika_prakAra#noun#2#RM
biomass_energy_production	boYyomAsa_UrjA_uwpAxana#boYyomAsa_UrjA_uwpAxana#noun#2#RM
biomass_nitrogen	nawrajana_jEva_mAwrA#nawrajana_jEva_mAwrA#noun#2#RM
bio_pesticides_tissue	jEva_nASIjIva_uwwaka#jEva_nASIjIva_uwwaka#noun#2#RM
bisholi's_weed	ajavAyana#ajavAyana#noun#2#RM
black_blum	jAmuna#jAmuna#noun#2#RM
black_cotton_soil	kAlI_mqxA#kAlI_mqxA#noun#2#RM
black_cumin	jIrA#jIrA#noun#2#RM
black_gram	udaxa#udaxa#noun#2#RM
black_pepper	kAlI_mirca#kAlI_mirca#noun#2#RM
black_spot	kAlI_ciwwI#kAlI_ciwwI#noun#2#RM
blooming_stage	PUlalagane_kA_samaya#PUlalagane_kA_samaya#noun#2#RM
blossom_blight	puRpapuFja_afgamArI#puRpapuFja_afgamArI#noun#2#RM
borer_beetle	Cixraka_Bqfga#Cixraka_Bqfga#noun#2#RM
bottle_gourd	lOkI#lOkI#noun#2#RM
branch_harvesting	sapawra_SAKA_katAI#sapawra_SAKA_katAI#noun#2#RM
breeder_seed	prajanaka_bIja#prajanaka_bIja#noun#2#RM
breeder_seed_production	prajanaka_bIja_uwpAxana#prajanaka_bIja_uwpAxana#noun#2#RM
broad_leaved_tree	cOde_pawwe_vAle_vqkRa#cOde_pawwe_vAle_vqkRa#noun#2#RM
bud_graft	kalama_lagAnA/kalI_caDAnA#kalama_lagAnA/kalI_caDAnA#noun#2#RM
bud_rot	kAlikA_sadana#kAlikA_sadana#noun#2#RM
buffaloes_heifer	BEMsoM_baCiyA_/BEMsoM_kA_osara#BEMsoM_baCiyA_/BEMsoM_kA_osara#noun#2#RM
bulk_density	sWUla_Ganawva#sWUla_Ganawva#noun#2#RM
buying_farm_inputs	PArma_niveSoM_kI_KarIxI#PArma_niveSoM_kI_KarIxI#noun#2#RM
calculation_of_data	Azkade_gaNanA#Azkade_gaNanA#noun#2#RM
callus_tissue	kiNva_Uwaka#kiNva_Uwaka#noun#2#RM
canopy_density	viwAna_Ganawva#viwAna_Ganawva#noun#2#RM
canopy_fringe	keSikA_JallarI#keSikA_JallarI#noun#2#RM
canopy_protection	viwAna_saMrakRaNa#viwAna_saMrakRaNa#noun#2#RM
capacity_building	kRamawA_nirmANa#kRamawA_nirmANa#noun#2#RM
capillary_condensation	keSikA_safGanana#keSikA_safGanana#noun#2#RM
capillary_water_capacity	keSikA_jala_kRamawA#keSikA_jala_kRamawA#noun#2#RM
cast_off	CodanA#CodanA#noun#2#RM
catchment_area	sravaNa_kRewra#sravaNa_kRewra#noun#2#RM
cation_exchange_capacity	XanAyana_vinimaya_kRamawA#XanAyana_vinimaya_kRamawA#noun#2#RM
causal_agent	rogakAraka#rogakAraka#noun#2#RM
cell_culture	koSika_saMvarXana#koSika_saMvarXana#noun#2#RM
certified_seed	pramANiwa_bIja#pramANiwa_bIja#noun#2#RM
chain_isomerism	SrqfKalA_samAvayavawA,#SrqfKalA_samAvayavawA,#noun#2#RM
check_dam	roka_bAzXa#roka_bAzXa#noun#2#RM
chemical_composition	rAsAyanika_safGatana#rAsAyanika_safGatana#noun#2#RM
chemical_manure	rAsAyanika_KAxa#rAsAyanika_KAxa#noun#2#RM
chopping_knife	safkarwana_CurI#safkarwana_CurI#noun#2#RM
chromosomal_bridge	guNasUwrI_yoja_ka#guNasUwrI_yoja_ka#noun#2#RM
chromosomal_fission	guNasUwra_viKaNdana#guNasUwra_viKaNdana#noun#2#RM
chronically_drought_prone_area	niranwara_sUKA_graswa_kRewra#niranwara_sUKA_graswa_kRewra#noun#2#RM
chronological_order	kAlAnukrama#kAlAnukrama#noun#2#RM
