#telecommunication multi word dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)	#telecommunication multi word dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries	#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case	#          2) English words are converted to lower case
#          3) Added category as 'noun' by default	#          3) Added category as 'noun' by default
#          4) If last word is not punctuation then treated last word as head	#          4) If last word is not punctuation then treated last word as head
#             or else treated last but one word as head	#             or else treated last but one word as head
#################################################################################	#################################################################################
absolute_block	pUrNa_bloYka#pUrNa_bloYka#noun#2#RM
circuit_element	paripaWa_wawva#paripaWa_wawva#noun#2#RM
circuit_interrupter	paripaWa_avaroXaka#paripaWa_avaroXaka#noun#2#RM
circuit_separate_return	pqWaka_vApasI_paripaWa#pqWaka_vApasI_paripaWa#noun#3#RM
circuit_stick	stika_paripaWa#stika_paripaWa#noun#2#RM
classification_of_station	steSanoM_kA_vargIkaraNa#steSanoM_kA_vargIkaraNa#noun#3#RM
closed_circuit_working	banxa_paripaWa_kAryAcAlana#banxa_paripaWa_kAryAcAlana#noun#3#RM
closed_switch	banxa_svica#banxa_svica#noun#2#RM
co_axial_cable	samAkRa_kebala#samAkRa_kebala#noun#3#RM
co_relative	saha_sambanXa#saha_sambanXa#noun#2#RM
coacting_signal	sahakArI_siganala#sahakArI_siganala#noun#2#RM
code_selector	kUta_cayaka#kUta_cayaka#noun#2#RM
coil_loading	BAraNa_kuNdalI#BAraNa_kuNdalI#noun#2#RM
cold_cathode	SIwa_kEWoda#SIwa_kEWoda#noun#2#RM
colour_code	varNa_safkewa#varNa_safkewa#noun#2#RM
colour_light_signal	rafgIna_bawwI_siganala#rafgIna_bawwI_siganala#noun#3#RM
common_departure_signal	sAmUhika_prasWAna_siganala#sAmUhika_prasWAna_siganala#noun#3#RM
composited_circuit	miSriwa_paripaWa#miSriwa_paripaWa#noun#2#RM
conditional_interlocking	saSarwa_anwarpASana/prawibanXiwa_anwarpASana#saSarwa_anwarpASana/prawibanXiwa_anwarpASana#noun#2#RM
conditional_locking	saSarwa_pASana#saSarwa_pASana#noun#2#RM
contact_front	agalA_samparka#agalA_samparka#noun#2#RM
contact_independent	svawanwra_samparka#svawanwra_samparka#noun#2#RM
contact_non_independent	gEra_svawanwra_samparka#gEra_svawanwra_samparka#noun#3#RM
contact_normal	sAmAnya_samparka#sAmAnya_samparka#noun#2#RM
contact_polar	XruvIya_samparka#XruvIya_samparka#noun#2#RM
contact_reverse	vipariwa_samparka#vipariwa_samparka#noun#2#RM
contact_rubbing	GarRaNa_samparka#GarRaNa_samparka#noun#2#RM
control_grid	niyanwraka_grida#niyanwraka_grida#noun#2#RM
controlling_lever	niyanwraNa_lIvara#niyanwraNa_lIvara#noun#2#RM
converging_lines	aBisArI_patariyAM#aBisArI_patariyAM#noun#2#RM
cord_circuit	dorI_paripaWa#dorI_paripaWa#noun#2#RM
cord_dial	dAyala_dorI#dAyala_dorI#noun#2#RM
cord_receiver	aBigrAhi_dorI#aBigrAhi_dorI#noun#2#RM
cord_wiper	vAIpara_dorI#vAIpara_dorI#noun#2#RM
counter_weight	prawi_BAra#prawi_BAra#noun#2#RM
counter_weight_semaphore	prawi_BAra_semAPora#prawi_BAra_semAPora#noun#3#RM
countor_signal	prawi_siganala#prawi_siganala#noun#2#RM
crank_adjustable	samaFjanIya_krEMka#samaFjanIya_krEMka#noun#2#RM
crank_adjustable_straight_arm	samaFjanIya_sIXa_BujA_krEMka#samaFjanIya_sIXa_BujA_krEMka#noun#4#RM
cross_bar	krAsa_bAra#krAsa_bAra#noun#2#RM
cross_bond_signalling	katavA_banXa_(siganala)#katavA_banXa_(siganala)#noun#3#RM
cross_connection	krAsa_saMyojana#krAsa_saMyojana#noun#2#RM
cross_modulation	krAsa_aXimiSraNa#krAsa_aXimiSraNa#noun#2#RM
cross_over	krAsa_ovara/pAragAmI#krAsa_ovara/pAragAmI#noun#2#RM
cross_protection	prawi_saMrakRaNa#prawi_saMrakRaNa#noun#2#RM
cross_sectional_area	anuprasWa_kAta_kRewraPala#anuprasWa_kAta_kRewraPala#noun#3#RM
cross_talk	miSriwa_vArwA#miSriwa_vArwA#noun#2#RM
cross_talk_attenuation	miSriwa_vArwA_wanukaraNa#miSriwa_vArwA_wanukaraNa#noun#3#RM
cross_talk_volume	miSriwa_vArwA_pariNAma#miSriwa_vArwA_pariNAma#noun#3#RM
crossing_station	krAsiMga_steSana#krAsiMga_steSana#noun#2#RM
crystal_detector	sPatika_paricAyaka#sPatika_paricAyaka#noun#2#RM
crystal_oscillator_drive	sPatika_xolaka_cAlaka#sPatika_xolaka_cAlaka#noun#3#RM
current_feed_back	XArA_prawipuRti#XArA_prawipuRti#noun#3#RM
current_stray	vipaWiwa_XArA#vipaWiwa_XArA#noun#2#RM
cut_off	vicCexa#vicCexa#noun#2#RM
cut_off_bias	vicCexa_bAyasa#vicCexa_bAyasa#noun#3#RM
cut_off_frequency	vicCexa_Avqwwi#vicCexa_Avqwwi#noun#3#RM
cut_station_track_circuit	vicCinnaRti_steSana_rela_paripaWa#vicCinnaRti_steSana_rela_paripaWa#noun#4#RM
damping_plate	avamanxana_pleta#avamanxana_pleta#noun#2#RM
danger_position	Kaware_kI_sWiwi#Kaware_kI_sWiwi#noun#2#RM
data_logger	dAtA_lAgara#dAtA_lAgara#noun#2#RM
dc_component	xiRta_XArA_Gataka#xiRta_XArA_Gataka#noun#2#RM
de_energise	UrjA_hIna_karanA#UrjA_hIna_karanA#noun#2#RM
dead_end	anwima_Cora#anwima_Cora#noun#2#RM
dead_section	niRkriya_sekSana#niRkriya_sekSana#noun#2#RM
deflecting_bar	vikRepa_Cada#vikRepa_Cada#noun#2#RM
deflection_de_focussing	vikRepI_vikeMxrIkaraNa#vikRepI_vikeMxrIkaraNa#noun#3#RM
deflector_coil	vikRepI_koYyala#vikRepI_koYyala#noun#2#RM
deflector_plate	vikRepI_pattI#vikRepI_pattI#noun#2#RM
delay_equaliser	vilamba_samakArI#vilamba_samakArI#noun#2#RM
demand_service_trunk_circuit	mAfga_sevA_trafka_paripaWa#mAfga_sevA_trafka_paripaWa#noun#4#RM
derailing_switch	direliMga_svica#direliMga_svica#noun#2#RM
dew_point	osAfka#osAfka#noun#2#RM
digital_microwave	dijitala_sUkRma_warafga#dijitala_sUkRma_warafga#noun#2#RM
dipole_aerial	xviXruva_vAyavIya#xviXruva_vAyavIya#noun#2#RM
direct_current	xiRta_XArA#xiRta_XArA#noun#2#RM
direct_impedance	prawyakRa_avabAXiwA#prawyakRa_avabAXiwA#noun#2#RM
distant_signal	xUra_siganala#xUra_siganala#noun#2#RM
diverging_junction	vigamana_jafkSana#vigamana_jafkSana#noun#2#RM
diverging_lines	apasArI_patariyAM#apasArI_patariyAM#noun#2#RM
diverging_route	apasArI_mArga#apasArI_mArga#noun#2#RM
double_band_transmission	xo_bEMda_vAlA_prasAraNa#xo_bEMda_vAlA_prasAraNa#noun#3#RM
double_line_block_instrument	xoharI_lAina_bloYka_upakaraNa#xoharI_lAina_bloYka_upakaraNa#noun#4#RM
driving_point_impedance	cAlana_biMxu_avabAXiwA#cAlana_biMxu_avabAXiwA#noun#3#RM
dwarf_shunting	bOnA_SaNtiMga#bOnA_SaNtiMga#noun#2#RM
echo_suppressor	gUFja_xamanakArI#gUFja_xamanakArI#noun#2#RM
electrial_communication_instrument	vixyuwa_saFcAra_upakaraNa#vixyuwa_saFcAra_upakaraNa#noun#3#RM
electric_interlocking	vixyuwa_anwarpASana#vixyuwa_anwarpASana#noun#2#RM
electric_lever_lock	vixyuwa_lIvara_wAlA#vixyuwa_lIvara_wAlA#noun#3#RM
electric_screen	vixyuwa_parxA#vixyuwa_parxA#noun#2#RM
electric_speaking_instrument	vixyuwa_Xvani_upakaraNa#vixyuwa_Xvani_upakaraNa#noun#3#RM
electric_token_instrument	vixyuwa_tokana_upakaraNa#vixyuwa_tokana_upakaraNa#noun#3#RM
electrical_block_instrument	vixyuwa_bloYka_upakaraNa#vixyuwa_bloYka_upakaraNa#noun#3#RM
electrical_conductor	vixyuwa_saMvAhaka#vixyuwa_saMvAhaka#noun#2#RM
electrical_control	vixyuwa_niyanwraNa#vixyuwa_niyanwraNa#noun#2#RM
electrical_cross_connection	vixyuwa_kroYsa_kanekSana#vixyuwa_kroYsa_kanekSana#noun#3#RM
electrical_equipment	vixyuwa_upaskara#vixyuwa_upaskara#noun#2#RM
electrical_plunger	vixyuwa_plaFjara#vixyuwa_plaFjara#noun#2#RM
electrical_signalling	vixyuwa_siganala_vyavasWA#vixyuwa_siganala_vyavasWA#noun#2#RM
electro_gas_signal	vixyuwa_gEsa_siganala#vixyuwa_gEsa_siganala#noun#3#RM
electro_magnetic_screen	vixyuwa_cumbakIya_parxA#vixyuwa_cumbakIya_parxA#noun#3#RM
electro_mechanical_drive	vixyuwa_yAnwrika_cAlana#vixyuwa_yAnwrika_cAlana#noun#3#RM
electro_mechanical_inter_locking_frame	vixyuwa_yAnwrika_anwarpASana_DAFcA#vixyuwa_yAnwrika_anwarpASana_DAFcA#noun#5#RM
electro_pneumatic_valve	vixyuwa_vAyavIya_vAlva#vixyuwa_vAyavIya_vAlva#noun#3#RM
electronic_exchange	ilEktrAnika_eksaceMja#ilEktrAnika_eksaceMja#noun#2#RM
emergency_control_circuit	ApAwa_niyanwraNa_paripaWa#ApAwa_niyanwraNa_paripaWa#noun#3#RM
emergency_release	ApAwa_nirmukwi#ApAwa_nirmukwi#noun#2#RM
exchange_area	keMxra_kRewra#keMxra_kRewra#noun#2#RM
exchange_plant	keMxra_saMyanwra#keMxra_saMyanwra#noun#2#RM
exciting_current	uwwejaka_XArA#uwwejaka_XArA#noun#2#RM
expected_train	prawyASiwa_gAdI#prawyASiwa_gAdI#noun#2#RM
extraction_of_token	tokana_nikAlanA#tokana_nikAlanA#noun#3#RM
facing_point	sammuKa_kANtA#sammuKa_kANtA#noun#2#RM
facing_point_lock	sammuKa_kANtA_wAlA#sammuKa_kANtA_wAlA#noun#3#RM
false_indication	JUTA_safkewa#JUTA_safkewa#noun#2#RM
fault_localisation	xoRa_sWAna_niScayana#xoRa_sWAna_niScayana#noun#2#RM
feed_end	BaraNa_Cora#BaraNa_Cora#noun#2#RM
feed_set	BaraNa_seta#BaraNa_seta#noun#2#RM
filament_current	wanwu_XArA#wanwu_XArA#noun#2#RM
filament_voltage	wanwu_voltawA#wanwu_voltawA#noun#2#RM
filter_assembly	CannI_samuccaya#CannI_samuccaya#noun#2#RM
final_selector	anwima_saMvaraka#anwima_saMvaraka#noun#2#RM
first_stop_signal	praWama_roka_siganala#praWama_roka_siganala#noun#3#RM
fixed_signal	sWAvara_siganala#sWAvara_siganala#noun#2#RM
flag_type_indicator	JaNdInumA_safkewaka#JaNdInumA_safkewaka#noun#3#RM
flap_indicator	pallA_safkewaka#pallA_safkewaka#noun#2#RM
flare_signal	Pleyara_siganala#Pleyara_siganala#noun#2#RM
flasher_light_signal	kOMXaka_bawwI_siganala#kOMXaka_bawwI_siganala#noun#3#RM
flasher_relay	kOMXaka_rile#kOMXaka_rile#noun#2#RM
flood_lit_disc	xIpwa_cakarI#xIpwa_cakarI#noun#3#RM
fly_back	prawyAvarwana#prawyAvarwana#noun#2#RM
focal_point	nABikA_biMxu#nABikA_biMxu#noun#2#RM
focusing_device	PokasI_sAXana#PokasI_sAXana#noun#2#RM
fog_repeater_signal	koharA_punarAvarwaka_siganala#koharA_punarAvarwaka_siganala#noun#3#RM
forced_oscillation	praNoxiwa_xolana#praNoxiwa_xolana#noun#2#RM
fouling_bar	ullafGana_roXI#ullafGana_roXI#noun#2#RM
fouling_mark	ullafGana_cihma#ullafGana_cihma#noun#2#RM
fouling_point	ullafGana_sWala#ullafGana_sWala#noun#2#RM
four_aspects_colour_light_signal	cAra_pakRIya_rafgIna_bawwI_siganala#cAra_pakRIya_rafgIna_bawwI_siganala#noun#5#RM
four_wire_amplifier	cAra_wAra_vAlA_eMplIPAyara#cAra_wAra_vAlA_eMplIPAyara#noun#3#RM
free_oscillation	nirbAXa_xolana#nirbAXa_xolana#noun#2#RM
frequency_deviation	Avqwwi_vicalana#Avqwwi_vicalana#noun#2#RM
frequency_divider	Avqwwi_viBAjaka#Avqwwi_viBAjaka#noun#2#RM
frequency_monitor	Avqwwi_anuSrAvaka#Avqwwi_anuSrAvaka#noun#2#RM
frequency_multiplier	Avqwwi_guNaka#Avqwwi_guNaka#noun#2#RM
frequency_swing	Avqwwi_JUlA#Avqwwi_JUlA#noun#2#RM
front_contact	agalA_samparka#agalA_samparka#noun#2#RM
fundamental_frequency	mUla_Avqwwi#mUla_Avqwwi#noun#2#RM
fusible_flug	galanIya_plaga#galanIya_plaga#noun#2#RM
gas_current	gEsa_XArA#gEsa_XArA#noun#2#RM
gate_lamp_swivelling_apparatus	GUmanevAlA_geta_lEMpa_upakaraNa#GUmanevAlA_geta_lEMpa_upakaraNa#noun#4#RM
gate_lock	PAtaka_wAlA#PAtaka_wAlA#noun#2#RM
gate_stop	roka_PAtaka#roka_PAtaka#noun#2#RM
gate_target	geta_tArgeta#geta_tArgeta#noun#2#RM
gate_wheel	PAtaka_pahiyA#PAtaka_pahiyA#noun#2#RM
ground_colour_light_warning_signal	BUwala_rafgIna_bawwI_cewAvanI_siganala#BUwala_rafgIna_bawwI_cewAvanI_siganala#noun#5#RM
ground_frame	nicalA_DAFcA#nicalA_DAFcA#noun#2#RM
ground_track_lock	BUwala_patarI_wAlA#BUwala_patarI_wAlA#noun#3#RM
group_velocity	samUha_vega#samUha_vega#noun#2#RM
guage_plate	AmAna_pattI#AmAna_pattI#noun#2#RM
guard_band	rakRA_pattI#rakRA_pattI#noun#2#RM
guide_gap	niyAmaka_anwarAla#niyAmaka_anwarAla#noun#2#RM
guide_roller_assembly	belanaxala_niyAmaka#belanaxala_niyAmaka#noun#3#RM
guy_wire_or_rod	sahAyaka_wAra_yA_Cada#sahAyaka_wAra_yA_Cada#noun#4#RM
half_toric_sector	arXa_tArika_KaNda#arXa_tArika_KaNda#noun#3#RM
half_wave_dipole	arXa_warafga_xviXruva#arXa_warafga_xviXruva#noun#3#RM
half_wave_rectifier_circuit	arXa_warafga_eka_xiSakArI_paripaWa#arXa_warafga_eka_xiSakArI_paripaWa#noun#4#RM
hand_plunger_key_lock	haswacApI_wAlA#haswacApI_wAlA#noun#4#RM
hand_test_telephone	xaswI_jAFca_tolIPona#xaswI_jAFca_tolIPona#noun#3#RM
head_light	pramuKa_bawwI#pramuKa_bawwI#noun#2#RM
head_phone	heda_Pona#heda_Pona#noun#2#RM
heat_coil	uRmA_kuNdalI#uRmA_kuNdalI#noun#2#RM
heavy_duty_contact	saGana_samparka#saGana_samparka#noun#3#RM
height_guage	UzcAI_mApI#UzcAI_mApI#noun#2#RM
high_pass_filter	ucca_nikAsa_Piltara#ucca_nikAsa_Piltara#noun#3#RM
high_power_modulation	ucca_Sakwi_mAdulana#ucca_Sakwi_mAdulana#noun#3#RM
hold_off_device	nivAraNa_yukwi#nivAraNa_yukwi#noun#3#RM
hold_off_mechanism	nivAraNa_yanwrikA#nivAraNa_yanwrikA#noun#3#RM
holding_time	XAraNa_samaya#XAraNa_samaya#noun#2#RM
home_signal	nikata_siganala#nikata_siganala#noun#2#RM
horizontal_polarised_wave	kREwija_XruvIya_warafga#kREwija_XruvIya_warafga#noun#3#RM
hybrid_coil	safkara_kuNdalI#safkara_kuNdalI#noun#2#RM
hysteresis_factor	histeresisa_PEktara#histeresisa_PEktara#noun#2#RM
image_transfer	prawibiMba_sWAnAnwara#prawibiMba_sWAnAnwara#noun#2#RM
impairing_visibility	aspaRta_xqSyawA#aspaRta_xqSyawA#noun#2#RM
impulse_circuit	Avega_paripaWa#Avega_paripaWa#noun#2#RM
impulse_frequency	Avega_Avqwwi#Avega_Avqwwi#noun#2#RM
impulse_period	Avega_kAla#Avega_kAla#noun#2#RM
impulse_ratio	Avega_anupAwa#Avega_anupAwa#noun#2#RM
impulsing_signal	AvegIya_siganala#AvegIya_siganala#noun#2#RM
impulsive_action	Avega_kriyA#Avega_kriyA#noun#2#RM
incoming_token	Avaka_tokana#Avaka_tokana#noun#2#RM
indication_contact	safkewa_samparka#safkewa_samparka#noun#2#RM
indication_dynamic	safkewa_gawi#safkewa_gawi#noun#2#RM
indication_lock	safkewa_pASa#safkewa_pASa#noun#2#RM
indicator_lever	safkewaka_lIvara#safkewaka_lIvara#noun#2#RM
indicator_needle_type	sUI_nUmA_safkewa#sUI_nUmA_safkewa#noun#3#RM
indicator_slot	slAta_safkewa#slAta_safkewa#noun#2#RM
indirect_locking	aprawyakRa_pASana#aprawyakRa_pASana#noun#2#RM
induction_coil	preraNa_kuNdalI#preraNa_kuNdalI#noun#2#RM
inner_distance_signal	BIwarI_xUrI_siganala#BIwarI_xUrI_siganala#noun#3#RM
