#administrative multi word dictionary extracted by Shubangi. Formatted by Roja (26-01-2016)	#administrative multi word dictionary extracted by Shubangi. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries	#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case	#          2) English words are converted to lower case
#          3) Added category as 'noun' by default	#          3) Added category as 'noun' by default
#	   4) If last word is not punctuation then treated last word as head 
#	      or else treated last but one word as head
#################################################################################	#################################################################################
action_has_already_been_taken_in_the_matter	isa_mAmale_kI_kAravAI_kI_jA_cukI_hE#isa_mAmale_kI_kAravAI_kI_jA_cukI_hE#noun#8#RM
action_has_not_yet_been_initiated	kAravAI_aBI_SurU_nahIM_kI_gaI_hE#kAravAI_aBI_SurU_nahIM_kI_gaI_hE#noun#6#RM
action_is_required_to_be_taken_early	SIGra_kAravAI_apekRiwa_hE#SIGra_kAravAI_apekRiwa_hE#noun#7#RM
action_may_be_taken_accordingly	waxanusAra_kAravAI_kI_jAe#waxanusAra_kAravAI_kI_jAe#noun#5#RM
action_may_be_taken_as_proposed	yaWA_praswAviwa_kAravAI_kI_jAe#yaWA_praswAviwa_kAravAI_kI_jAe#noun#6#RM
action_plan	kArya_yojanA#kArya_yojanA#noun#2#RM
action_programme_(_p	kArya_yojanA#kArya_yojanA#noun#4#RM
acts_of_commission_and_omission	kqwAkqwa#kqwAkqwa#noun#5#RM
ad_hoc	waxarWa#waxarWa#noun#2#RM
ad_hoc_committee	waxarWa_samiwi#waxarWa_samiwi#noun#3#RM
ad_hoc_indent	waxarWa_mAgapawra#waxarWa_mAgapawra#noun#3#RM
ad_infinitum	niravaXi/ananwa_waka#niravaXi/ananwa_waka#noun#2#RM
ad_interim	anwarima#anwarima#noun#2#RM
ad_valorem	yaWAmUlya/mUlyAnusAra#yaWAmUlya/mUlyAnusAra#noun#2#RM
ad_valorem_duty	yaWAmUlya_Sulka#yaWAmUlya_Sulka#noun#3#RM
adc_to_the_president	rARtrapawi_ke_e-_dI-_sI#rARtrapawi_ke_e-_dI-_sI#noun#4#RM
adding_machine	joda_maSIna/yoga_yanwra#joda_maSIna/yoga_yanwra#noun#2#RM
addition_and_alteration	parivarwana_waWA_parivarXana/parivarwana-parivarXana#parivarwana_waWA_parivarXana/parivarwana-parivarXana#noun#3#RM
additional_charge	awirikwa_praBAra#awirikwa_praBAra#noun#2#RM
additional_chief_engineer	apara_muKya_iMjIniyara/apara_muKya_afBayanwA#apara_muKya_iMjIniyara/apara_muKya_afBayanwA#noun#3#RM
additional_chief_planner	apara_muKya_yojanAkAra#apara_muKya_yojanAkAra#noun#3#RM
additional_collecti	awirikwa_vasUlI#awirikwa_vasUlI#noun#2#RM
additional_commissioner	apara_Ayukwa#apara_Ayukwa#noun#2#RM
additional_grant	awirikwa_anuxAna#awirikwa_anuxAna#noun#2#RM
additional_informat	awirikwa_sUcanA/awirikwa_jAnakArI#awirikwa_sUcanA/awirikwa_jAnakArI#noun#2#RM
additional_pay	awirikwa_vewana#awirikwa_vewana#noun#2#RM
additional_secretary	apara_saciva#apara_saciva#noun#2#RM
additional_station_director	apara_keMxra_nixeSaka#apara_keMxra_nixeSaka#noun#3#RM
address_all_concerned	sarvasambanXiwa_ko_liKA_jAe#sarvasambanXiwa_ko_liKA_jAe#noun#3#RM
address_of_welcome	afBananxana_pawra#afBananxana_pawra#noun#3#RM
addressographer_operator	pawAleKI_pracAlaka#pawAleKI_pracAlaka#noun#2#RM
adhere_to	para_xqDa_rahanA/para_jame_rahanA#para_xqDa_rahanA/para_jame_rahanA#noun#2#RM
adhesive_stamp	AsaFjaka_stAmpa#AsaFjaka_stAmpa#noun#2#RM
adhesive_tape	AsaFjaka_tepa/cepaka_tepa#AsaFjaka_tepa/cepaka_tepa#noun#2#RM
adjournment_motion	sWagana_praswAva/kAma_roko_praswAva#sWagana_praswAva/kAma_roko_praswAva#noun#2#RM
adjusting_entry	samAyojaka_pravifRta#samAyojaka_pravifRta#noun#2#RM
adjutant_general	eijuteMta_janarala#eijuteMta_janarala#noun#2#RM
administer_oath	SapaWa_xilAnA#SapaWa_xilAnA#noun#2#RM
administered_price	nirxeSiwa_kImawa#nirxeSiwa_kImawa#noun#2#RM
administering_autho	praSAsana_prAXikArI#praSAsana_prAXikArI#noun#2#RM
administration_and_publicity_division	praSAsana_Ora_pracAra_praBAga#praSAsana_Ora_pracAra_praBAga#noun#4#RM
administration_of_f	niXi_praSAsana#niXi_praSAsana#noun#3#RM
administration_of_j	nyAya-praSAsana#nyAya-praSAsana#noun#3#RM
administration_officer	praSAsana_aXikArI#praSAsana_aXikArI#noun#2#RM
administration_reforms_commission	praSAsanika_suXAra_Ayoga#praSAsanika_suXAra_Ayoga#noun#3#RM
administration_secretriate_)	praSAsana_sacivAlaya#praSAsana_sacivAlaya#noun#2#RM
administration_section	praSAsana_anuBAga#praSAsana_anuBAga#noun#2#RM
administrative_abil	praSAsana-yogyawA#praSAsana-yogyawA#noun#2#RM
administrative_action	praSAsanika_kAravAI#praSAsanika_kAravAI#noun#2#RM
administrative_appr	praSAsanika_anumoxana#praSAsanika_anumoxana#noun#2#RM
administrative_approval_may_be_obtained	praSAsanika_anumoxana_prApwa_kiyA_jAe#praSAsanika_anumoxana_prApwa_kiyA_jAe#noun#5#RM
administrative_conv	praSAsanika_suviXA#praSAsanika_suviXA#noun#2#RM
administrative_convenience	praSAsanika_suviXA#praSAsanika_suviXA#noun#2#RM
administrative_depa	praSAsakIya_viBAga#praSAsakIya_viBAga#noun#2#RM
administrative_func	praSAsana-kArya/praSAsakIya_kArya#praSAsana-kArya/praSAsakIya_kArya#noun#2#RM
administrative_head	praSAsI_praXAna/praSAsanika_praXAna#praSAsI_praXAna/praSAsanika_praXAna#noun#2#RM
administrative_insp	praSAsanika_nirIkRaNa#praSAsanika_nirIkRaNa#noun#2#RM
administrative_meas	praSAsanika_upAya#praSAsanika_upAya#noun#2#RM
administrative_mini	praSAsI_manwrAlaya#praSAsI_manwrAlaya#noun#2#RM
administrative_reforms_wing	praSAsanika_suXAra_skanXa#praSAsanika_suXAra_skanXa#noun#3#RM
administrative_sanc	praSAsanika_maFjUrI#praSAsanika_maFjUrI#noun#2#RM
administrative_section	praSAsana_anuBAga/praSAsI_anuBAga#praSAsana_anuBAga/praSAsI_anuBAga#noun#2#RM
administrative_syst	praSAsana-paxXawi#praSAsana-paxXawi#noun#2#RM
administrator_general	mahApraSAsaka#mahApraSAsaka#noun#2#RM
admissible_expendit	grAya_vyaya#grAya_vyaya#noun#2#RM
admission_committee	praveSa_samiwi#praveSa_samiwi#noun#2#RM
admission_fee	praveSa_Sulka#praveSa_Sulka#noun#2#RM
admission_form	praveSa_pawra/praveSa_pawra#praveSa_pawra/praveSa_pawra#noun#2#RM
admission_test	praveSa_parIkRA#praveSa_parIkRA#noun#2#RM
admission_with_permission	anumawi_lekara_BIwara_Aie/anumawi_lekara_anxara_Ae#anumawi_lekara_BIwara_Aie/anumawi_lekara_anxara_Ae#noun#3#RM
admit_an_appeal	apIla_grahaNa_kareM#apIla_grahaNa_kareM#noun#3#RM
admit_card	praveSa_pawra/praveSa_pawraka#praveSa_pawra/praveSa_pawraka#noun#2#RM
adrema_operator	edremA_pracAlaka#edremA_pracAlaka#noun#2#RM
adult_education_officer	prODa_SikRA_aXikArI#prODa_SikRA_aXikArI#noun#3#RM
adult_franchise	vayaska_mawAXikAra#vayaska_mawAXikAra#noun#2#RM
adult_messenger	vayaska_sanxeSavAhaka#vayaska_sanxeSavAhaka#noun#2#RM
adult_school_teacher	prODa_vixyAlaya_SikRaka#prODa_vixyAlaya_SikRaka#noun#3#RM
adult_suffrage	vayaska_mawAXikAra#vayaska_mawAXikAra#noun#2#RM
advance_booking	agi_rama_bukiMga#agi_rama_bukiMga#noun#2#RM
advance_copy	agi_rama_prawi#agi_rama_prawi#noun#2#RM
advance_pay	agi_rama_vewana#agi_rama_vewana#noun#2#RM
advance_payment	agi_rama_axAyagI/agi_rama_BugawAna#agi_rama_axAyagI/agi_rama_BugawAna#noun#2#RM
advance_sample	agi_rama_prawixarSa/agi_rama_namUnA#agi_rama_prawixarSa/agi_rama_namUnA#noun#2#RM
advanced_increment	agi_rama_vqxXi/agi_rama_vewana_vqxXi#agi_rama_vqxXi/agi_rama_vewana_vqxXi#noun#2#RM
advanced_level_telecommunication_training_centre	ucca_swarIya_xUrasaFcAra_praSikRaNa_keMxra#ucca_swarIya_xUrasaFcAra_praSikRaNa_keMxra#noun#5#RM
adverse_entry	prawikUla_iMxarAja/prawikUla_pravifRta#prawikUla_iMxarAja/prawikUla_pravifRta#noun#2#RM
adverse_party	prawipakRI#prawipakRI#noun#2#RM
adverse_remarks	prawikUla_aByukwi#prawikUla_aByukwi#noun#2#RM
adverse_report	prawikUla_riporta#prawikUla_riporta#noun#2#RM
advertised_sale	vijFApiwa_bikrI#vijFApiwa_bikrI#noun#2#RM
advertised_tender	vijFApiwa_nivixA/vijFApiwa_teMdara#vijFApiwa_nivixA/vijFApiwa_teMdara#noun#2#RM
advertisement_manager	vijFApana_prabanXaka#vijFApana_prabanXaka#noun#2#RM
advertising_assistant	vijFApana_sahAyaka#vijFApana_sahAyaka#noun#2#RM
advertising_standards_authority	vijFApana_mAnaka_prAXikaraNa#vijFApana_mAnaka_prAXikaraNa#noun#3#RM
advice_awaited	salAha_kI_prawIkRA_hE#salAha_kI_prawIkRA_hE#noun#2#RM
advice_note	sUcanA_pawra/saFjFApana_pawra#sUcanA_pawra/saFjFApana_pawra#noun#2#RM
advice_of_despatch	preRaNa_kI_sUcanA#preRaNa_kI_sUcanA#noun#3#RM
advice_of_payment	BugawAna_sUcanA/BugawAna-saFjFApana#BugawAna_sUcanA/BugawAna-saFjFApana#noun#3#RM
advise_accordingly	waxanusAra_sUciwa_kareM#waxanusAra_sUciwa_kareM#noun#2#RM
advise_telegraphically	wAra_se_sUciwa_kareM#wAra_se_sUciwa_kareM#noun#2#RM
adviser_(_advisor_)	salAhakAra#salAhakAra#noun#3#RM
adviser_(_or_)	salAhakAra#salAhakAra#noun#3#RM
adviser_of_factories	PEktarI_salAhakAra/kAraKAnA_salAhakAra#PEktarI_salAhakAra/kAraKAnA_salAhakAra#noun#3#RM
adviser_soil_conservation	BUmi_saMrakRaNa_salAhakAra#BUmi_saMrakRaNa_salAhakAra#noun#3#RM
advisory_committee	salAhakAra_samiwi#salAhakAra_samiwi#noun#2#RM
advisory_council	salAhakAra_pariRax#salAhakAra_pariRax#noun#2#RM
advisory_panel	salAhakAra_nAmikA#salAhakAra_nAmikA#noun#2#RM
advocate_general	mahAXivakwA#mahAXivakwA#noun#2#RM
aerated_water_factory_chargeman	vAwiwa_jala_kAraKAnA_cArjamEna#vAwiwa_jala_kAraKAnA_cArjamEna#noun#4#RM
aerated_water_factory_manager	vAwiwa_jala_kAraKAnA_prabanXaka#vAwiwa_jala_kAraKAnA_prabanXaka#noun#4#RM
aerial_photo	havAI_Poto#havAI_Poto#noun#2#RM
aerial_survey	havAI_sarvekRaNa#havAI_sarvekRaNa#noun#2#RM
aesthetic_sense	sOMxarya_boXa#sOMxarya_boXa#noun#2#RM
affiliated_college	sambaxXa_mahAvixyAlaya/sambaxXa_koYleja#sambaxXa_mahAvixyAlaya/sambaxXa_koYleja#noun#2#RM
affiliating_univers	sambanXaka_viSvavixyAlaya#sambanXaka_viSvavixyAlaya#noun#2#RM
afforestation_officer	vana-ropaNa_aXikArI#vana-ropaNa_aXikArI#noun#2#RM
after_adequate_consideration	samuciwa_vicAra_ke_bAxa#samuciwa_vicAra_ke_bAxa#noun#3#RM
after_consultation_with	se_parAmarSa_karake#se_parAmarSa_karake#noun#3#RM
after_issue	jArI_hone_ke_bAxa#jArI_hone_ke_bAxa#noun#2#RM
after_perusual	xeKa_lene_ke_bAxa/avalokana_ke_bAxa#xeKa_lene_ke_bAxa/avalokana_ke_bAxa#noun#2#RM
after_taking_into_consideration_all_aspects_of_the_question	mAmale_ke_saBI_pahaluoM_para_vicAra_karane_ke_bAxa#mAmale_ke_saBI_pahaluoM_para_vicAra_karane_ke_bAxa#noun#9#RM
after_the_expiry_of	kI_samApwi_para#kI_samApwi_para#noun#4#RM
against_public_interest	lokahiwa_ke_viruxXa#lokahiwa_ke_viruxXa#noun#3#RM
age_entry	Ayu_pravifRta/umra_kA_iMxarAja#Ayu_pravifRta/umra_kA_iMxarAja#noun#2#RM
age_for_suffrage	mawAXikAra_Ayu#mawAXikAra_Ayu#noun#3#RM
age_limit	Ayu_sImA#Ayu_sImA#noun#2#RM
age_of_retirement	sevAnivqfwwa_Ayu#sevAnivqfwwa_Ayu#noun#3#RM
age_of_superannuati	aXivafrRawA_Ayu#aXivafrRawA_Ayu#noun#3#RM
agency_commission	ejeMsI_kamISana#ejeMsI_kamISana#noun#2#RM
agenda_is_sent_herewith	kAryasUcI_sAWa_BejI_jA_rahI_hE#kAryasUcI_sAWa_BejI_jA_rahI_hE#noun#4#RM
agrarian_law	kqfRa_BUmi_viXi/kqfRa_BUmi_kAnUna#kqfRa_BUmi_viXi/kqfRa_BUmi_kAnUna#noun#2#RM
agrarian_policy	kqfRa_BUmi_nIwi#kqfRa_BUmi_nIwi#noun#2#RM
agrarian_reforms	kqfRa_BUmi_sambanXI_suXAra#kqfRa_BUmi_sambanXI_suXAra#noun#2#RM
agree_with_`a_'_above	mEM_Upara_ka_se_sahamawa_hU#mEM_Upara_ka_se_sahamawa_hU#noun#5#RM
agreed_to	sahamawi_hE#sahamawi_hE#noun#2#RM
agreement_form	karAranAmA_/_anubanXa_pawra#karAranAmA_/_anubanXa_pawra#noun#2#RM
agricultural_credit_advisor	kqfRa_sAKa_salAhakAra#kqfRa_sAKa_salAhakAra#noun#3#RM
agricultural_econom	kqfRa_arWaSAswra#kqfRa_arWaSAswra#noun#2#RM
agricultural_holdin	jowa#jowa#noun#2#RM
agricultural_implements_specialist	kqfRa_upakaraNa_viSeRajFa#kqfRa_upakaraNa_viSeRajFa#noun#3#RM
agricultural_inputs	kqfRa_nivifRtayA#kqfRa_nivifRtayA#noun#2#RM
agricultural_labour	kqfRa_majaxUra_/_Kewihara_majaxUra#kqfRa_majaxUra_/_Kewihara_majaxUra#noun#2#RM
agricultural_market	kqfRa_vipaNana#kqfRa_vipaNana#noun#2#RM
agricultural_marketing_advisor	kqfRa_vipaNana_salAhakAra#kqfRa_vipaNana_salAhakAra#noun#3#RM
agricultural_marketing_directorate	kqfRa_vipaNana_nixeSAlaya#kqfRa_vipaNana_nixeSAlaya#noun#3#RM
agricultural_output	kqfRa_nirgawa_/_kqfRa_uwpAxana#kqfRa_nirgawa_/_kqfRa_uwpAxana#noun#2#RM
agricultural_prices_commission	kqfRa_mUlya_Ayoga#kqfRa_mUlya_Ayoga#noun#3#RM
agricultural_refinance_&_development_corporation	kqfRa_punarviwwa_Ora_vikAsa_nigama#kqfRa_punarviwwa_Ora_vikAsa_nigama#noun#5#RM
agricultural_research_and_education_centre	kqfRa_anusanXAna_Ora_SikRA_keMxra#kqfRa_anusanXAna_Ora_SikRA_keMxra#noun#5#RM
agricultural_research_statistics_institute	kqfRa_anusanXAna_sAMfKyakI_saMsWAna#kqfRa_anusanXAna_sAMfKyakI_saMsWAna#noun#4#RM
agricultural_scientists_recruitment_board	kqfRa_vEjFAnika_BarwIZ_borda#kqfRa_vEjFAnika_BarwIZ_borda#noun#4#RM
agriculture_officer	kqfRa_aXikArI#kqfRa_aXikArI#noun#2#RM
agro-climatic_regio	kqfRa-jalavAyu_praxeSa#kqfRa-jalavAyu_praxeSa#noun#2#RM
aid_and_advice	sahAyawA_Ora_salAha#sahAyawA_Ora_salAha#noun#3#RM
aided_(_as_"_school_)	sahAyawAprApwa#sahAyawAprApwa#noun#5#RM
air-_conditioning_mechanic	vAwAnukUlana_mEekenika#vAwAnukUlana_mEekenika#noun#3#RM
air-conditioning_supervisor	vAwAnukUlana_paryavekRaka#vAwAnukUlana_paryavekRaka#noun#2#RM
air_adviser	havAI_salAhakAra#havAI_salAhakAra#noun#2#RM
air_base	vimAna_sWala#vimAna_sWala#noun#2#RM
air_chief_marshal	eyara_cIPa_mArSala#eyara_cIPa_mArSala#noun#3#RM
air_commodore	eyara_kamodora#eyara_kamodora#noun#2#RM
air_conditioned_sle	vAwAnukUliwa_SAyikA_SreNI#vAwAnukUliwa_SAyikA_SreNI#noun#3#RM
air_conditioning	vAwAnukUlana#vAwAnukUlana#noun#2#RM
air_controller	havAI_niyanwraNa/eyara_kaNtrolara#havAI_niyanwraNa/eyara_kaNtrolara#noun#2#RM
air_coordinator	havAI_samanvayI/eyara_kooYfrdanetara#havAI_samanvayI/eyara_kooYfrdanetara#noun#2#RM
air_craftman	eyara_krAPtamEna#eyara_krAPtamEna#noun#2#RM
air_crew	vimAnakarmIZ/eyara_krU#vimAnakarmIZ/eyara_krU#noun#2#RM
air_defence_commander	havAI_rakRA_kamANdara#havAI_rakRA_kamANdara#noun#3#RM
air_despatcher	havAI_preRaka#havAI_preRaka#noun#2#RM
air_field_safety_operator	havAI_mExAna_saMrakRA_pracAlaka/eyara_PIlda_sePtI_oYparetara#havAI_mExAna_saMrakRA_pracAlaka/eyara_PIlda_sePtI_oYparetara#noun#4#RM
air_force	vAyu_senA#vAyu_senA#noun#2#RM
air_force_local_audit_office	vAyusenA_sWAnIya_leKA-parIkRA_kAryAlaya#vAyusenA_sWAnIya_leKA-parIkRA_kAryAlaya#noun#5#RM
air_force_station	vAyusenA_keMxra#vAyusenA_keMxra#noun#3#RM
air_freight	havAI_mAla_BAdA/havAI_mAla#havAI_mAla_BAdA/havAI_mAla#noun#2#RM
air_gunner	havAI_wopacI#havAI_wopacI#noun#2#RM
air_headquarters	vAyusenA_muKyAlaya#vAyusenA_muKyAlaya#noun#2#RM
air_hostess	vimAna_paricArikA/eyara_hostesa#vimAna_paricArikA/eyara_hostesa#noun#2#RM
air_intelligence_unit	havAI_AsUcanA_ekaka#havAI_AsUcanA_ekaka#noun#3#RM
air_mail	havAI_dAka#havAI_dAka#noun#2#RM
air_mail_inspector	havAI_dAka_nirIkRaka#havAI_dAka_nirIkRaka#noun#3#RM
air_marshal	eyara_mArSala#eyara_mArSala#noun#2#RM
air_officer_commanding	eyara_aPasara_kamANdiMga#eyara_aPasara_kamANdiMga#noun#3#RM
air_officer_in-charge	eyara_aPasara_iMcArja#eyara_aPasara_iMcArja#noun#3#RM
air_officer_on_special_duty	viSeRa_dyUtI_vAyu_aPasara#viSeRa_dyUtI_vAyu_aPasara#noun#5#RM
air_route	vAyu_mArga/havAI_mArga#vAyu_mArga/havAI_mArga#noun#2#RM
air_strip	havAI_pattI#havAI_pattI#noun#2#RM
air_survey_draftsman	havAI_sarvekRaNa_nakSAnavIsa#havAI_sarvekRaNa_nakSAnavIsa#noun#3#RM
air_traffic	havAI_yAwAyAwa#havAI_yAwAyAwa#noun#2#RM
air_transport_liaison_officer	havAI_parivahana-samparka_aPasara#havAI_parivahana-samparka_aPasara#noun#4#RM
air_vice-marshal	eyara_vAisa-mArSala#eyara_vAisa-mArSala#noun#2#RM
air_worthiness	udana_yogyawA#udana_yogyawA#noun#2#RM
aircraft_examiner	vAyuyAna_parIkRaka#vAyuyAna_parIkRaka#noun#2#RM
aircraft_inspector	vAyuyAna_nirIkRaka#vAyuyAna_nirIkRaka#noun#2#RM
airport_health_organisation	vimAna_pawwana_svAsWya_safgaTana#vimAna_pawwana_svAsWya_safgaTana#noun#3#RM
alienation_officer	anya_safkrAmaNa_kAryAlaya#anya_safkrAmaNa_kAryAlaya#noun#2#RM
all_concerned_should_note	sarva_sambanXiwa_nota_kareM#sarva_sambanXiwa_nota_kareM#noun#4#RM
all_days_milk_stall_manager	pUrNa_xivasIya_xugXa_keMxra_prabanXaka#pUrNa_xivasIya_xugXa_keMxra_prabanXaka#noun#5#RM
