A-level_noun	ucca_swarIya
Barcelona_noun	bArsilonA
Bart_noun	upasAmanw
Beaumont_noun	bomONta
Belarus_noun	belarUsa
Belarusian_noun	belorUs
Belgium_noun	beljiyama
Belorussia_noun	beloraSiyA
Belorussian_noun	belorUsI
Berlin_noun	barlina
Besos_noun	besasa
Bhutan_noun	BUtAna
Bible-bashing_noun	IsAI_mawa_kA_jabaraxaswI_pracAra
Birmingham_noun	baramifGama
Blackpool_noun	blEkapUla
Blake_noun	bleka
Bligh_noun	blAI
Bodhi_noun	boXi
Bodhivriksha_noun	boXivqkRa
Boer_noun	boara
Bolshevik_noun	krAnwikArI_sAmyavAxI
Bolshevism_noun	sAmyavAxa
Bosnia_noun	bosniA
Bradford_noun	brEdaPorda
Brahmanadi_noun	brahmanaxI
Brandt_noun	brANta
Brasil_noun	brAjIla
Brazil_noun	brAjIla
Brighton_noun	britana
Bristol_noun	bristala
Britain_noun	britena
British_noun	britene_vAsI/afgrejI
Britisher_noun	britenavAsI
Briton_noun	britenavAsI
Brussels_noun	brUselsa
Buddha_noun	buxXa
Bull_noun	vqRa_rASi_meM_janmA_vyakwi/vqRa_rASi
Burgundy_noun	baragaNdI
Burma_noun	barmA
Burroughs_noun	baroja
Burundi_noun	buruNdI
Bushman_noun	oYstreliyAI_buSamEna/buSamEna
Byelarus_noun	bAilarUsa
Byelorussia_noun	bAiloraSiyA
Byelorussian_noun	bAilorUsI/bAilorUs
C-section_noun	SalyakriyAwmaka_prasava
CA_noun	kEliPorniyA
CBE_noun	sI_bI_I
CBI_noun	sI_bI_AI
CBS_noun	sI_bI_esa
CD-ROM_noun	sI_dI-rOm
CD_noun	sI_dII/sI_dI
CFC_noun	sI_ePa_sI
CIA_noun	sI_AI_e
CID_noun	sI_AI_dI
COBOL_noun	kampyUtara_kI_vyApArika_BARA
COM_noun	COM
CONDIR_noun	kandIra
CPCJ_noun	sI_pI_sI_je
CRO_noun	xolana-xarSI
CV_noun	SEkRika_evaM_kAryAnuBava_sAr
CXX_noun	eka_sO_bIsa
C_noun	C
Caesarism_noun	wAnASAhI/nirafkuSawA/ekawanwra
Calif._noun	kEliPorniyA
California_noun	kEliPorniyA
Calvinism_noun	kElvinavAxa
Calvinist_noun	kElvinavAxI
Cambridge_noun	kembrija
Cameroon_noun	kEmarUna
Cameroun_noun	kEmarUna
Canada_noun	kanAdA
Canadian_noun	kEnediyana/kanAdA_vAsI
Canella-alba_noun	kEnelA_albA
Canterbury_noun	kENtarabarI
Capricorn_noun	makara_rASi_meM_uwpanna_vyakwi/makara_rASi/makararASi/makarAkAra_rASicakrIya_wArAmaNdala/makara
Caribbean_noun	kEribiyana
Carmelite_noun	romana_kEWolika_wapasvI/kArmelAita_sAXu
Catalonia_noun	kEtaloniyA
Catholic_noun	IsAI_sampraxAya
Caucasian_noun	kAkeSasI
Caxton_noun	kEksatana
Cd_noun	sI_dI/kEdmiyama
Cdr_noun	kamANdara
Celt_noun	keltaBARI/kelta
Celtic_noun	kelta_BARA
Cervantes_noun	serventIja
Chablis_noun	SEblI
Chang_noun	cAfga
Changjiang_noun	cAfgajyAfga
Chaos_noun	keoYsa
Cheddar_noun	cedara_panIra
Cheshire_noun	ceSara_panIra/ceSara
Chester_noun	cestara
Chicago_noun	SikAgo
China_noun	cIna
Chinese_noun	cInI/cInI_BARA
Christ_noun	IsA_masIha/IsA
Christianity_noun	IsAIyawa/IsAI_Xarma/IsAI_viSeRawA
Christmastide_noun	krisamasa-kAla
Christmastime_noun	krisamasa-kAla
Churchill_noun	carcila
Clark_noun	klArka
Classicism_noun	uccakoti_kI_SElI_yA_sAhiwya
Classics_noun	grIka-romaIya_BARA-sAhiwya_kA_aXyayana
Cleveland_noun	klIvalENda
Clinton_noun	kliNtana
Co_noun	sI_o
Coca-Cola_noun	kokA-kolA
Collins_noun	kaliFja
Commons_noun	lokasaBA
Commonwealth_noun	rARtramaNdala
Conservatism_noun	anuxAravAxa
Conservative_noun	anuxAravAxI
Cornish_noun	karniSa_BARA
Cornwall_noun	karnavala
Council_noun	pariRaxa/pariRax
Covenant_noun	ISvara_Ora_mAnava_ke_bIca_kA_samaJOwA
Coventry_noun	koveNtrI
Craigie_noun	kregI
Crookes_noun	kruksa
Crotonbug_noun	krotanabaga
Crown-prince_noun	yuvarAja
Crown-princess_noun	yuvarAjFI
Cuba_noun	kyUbA
Curtain-raiser_noun	nAtakIya_praswuwi
Czechoslovakia_noun	cekoslovAkiA
DA_noun	jilA_aXivakwA
DC_noun	dI_sI
DES_noun	dI_I_esa_a
DNA_noun	dI_ena_e
DOS_noun	dasa
DVD_noun	dI_vI_dI
D_noun	dI
Dacron_noun	dEkarana
Dafla_noun	dapalA
Dane_noun	denmArka_vAsI
Danish_noun	deniSa_pestrI
Darlington_noun	dArlifgatana
Darwin_noun	dArvina
December_noun	xisambara
Deliverer_noun	uxXArakarwA/mukwixAwA
Dem_noun	lokawanwravAxI
Denmark_noun	denmArka
Derby_noun	dArbI
Deutschmark_noun	jarmanI_kI_muxrA
Devon_noun	dIvOna
Dewar_noun	dyUara
Dipper_noun	sapwarRi
Discomfort_noun	asuviXA
Disney_noun	dijnI
Disneyland_noun	dijnIlENda
Dissenter_noun	BinnamawAvalambI
DoT_noun	parivahana_viBAga
Dominican_noun	daminikI
Dominion_noun	svawanwra-upaniveSa
Druid_noun	purohiwa
Dublin_noun	dablina
Dumpster_noun	tokarA
Durham_noun	darahama
Dutch_noun	daca_nivAsI/daca_BARA/daca
E-number_noun	I-nambara
ECG_noun	I_sI_jI
ECOSOC_noun	ikosaka/Ikosak
EU_noun	yUropIya_safGa
E_noun	afgrejI_varNamAlA_kA_pAzcavA_akRara
Easter_noun	Istara/Istara{IsA_masIha_ke_punaruwWAna_xina}
Eau-de-Cologne_noun	kolona_kA_iwra
Edinburgh_noun	edinabarA
Egypt_noun	misra/ijipta
Egyptian_noun	misrI_BARA/misra_vAsI
Elizabethan_noun	elijAbeWa-kAla_meM_janmA_vyakwi/rAnI_elijabeWa_kAla_ke_vyakwi
Endesa_noun	eNdesA
England_noun	ifglENda
English-Gothic_noun	afgrejI-gaWika_Silpa
English_noun	afgrejI_BARA/afgrejIa/afgreja
Englishman_noun	afgareja
Englishwoman_noun	afgareja_mahilA
Entry-phone_noun	kisI_imArawa_ke_praveSa_xvAra_para_lagA_xUraBARa
Epistle_noun	Xarmapawra
Er_noun	ara
Eskimo_noun	eskimo
Espana_noun	spena
Essex_noun	esEksa
Esthonia_noun	estoniyA
Estonia_noun	estoniyA
Ethiopia_noun	iWiyopiyA
Euro-election_noun	yUropIya_saMsaxa_kA_cunAva/yUropIyana_pArliameNta-saxasya_cunAva
Eurocrat_noun	yUropIya_praSAsanAXikArI
Europe_noun	yUropa/yUropIya_safGa
European_noun	yUropIya_safGa_kA_samarWaka/yUropavAsI
Eve_noun	hOvA
Excellency_noun	mahAmahima
Expressionism_noun	aBivyaFjanAvAxa
FORTRAN_noun	kampyUtara_nirxeSa_kI_BARA
F_noun	ePa
Falkner_noun	POknara
Farsi_noun	PArasI
Fascist_noun	PasistavAxI
Fatah-RC_noun	Pawaha_Ara-sI
Father_noun	parama_piwA
Faulkner_noun	POknara
Feb_noun	ParavarII
February_noun	ParavarI
Field-Marshal_noun	PIlda_mArSala{senA_kA_sarvocca_ohaxA}
Fleet-Admiral_noun	PlIta_edamirala{nOsenA_kA_ucca_aXikArI}
Fleet-Street_noun	PlIta_strIta{lanxana_kI_eka_sadaka_kA_nAma}
Flight-Sergeant_noun	PlAita_sArjENta{vAyusenA_paxavI}
Foot-stool_noun	pAzva_raKane_kI_cOkI
Ford_noun	Porda
Formica_noun	ParmAikA
France_noun	PrAMsa
Freefone_noun	PrIPona
Freemason_noun	gupwa_saMsWA_kA_saxasya/anwarrARtriya_gupwa_saBA_kA_saxasya
Freemassonry_noun	gupwa_saMsaxa
Freepost_noun	niHSulka_dAka
French_noun	PrAMsIsI_BARA/PrAMsavAsI
Frenchman_noun	PrAMsIsI_vyakwi
Frenwoman_noun	PrAMsIsI_mahilA
Freudian-slip_noun	nija_BAvoM_kI_akasmAw_tIkA
Friday_noun	SukravAra
Friend_noun	sosAitI_oYPa_Prendja_kA_saxasya
Friendly-Society_noun	sahAyawA_karane_vAlA_safGa
Friesian_noun	PrIjana_gAya
Frisbee_noun	PrijbI
Fulbright_noun	PulabrAita
GB_noun	jI_bI
GMT_noun	jI_ema_tI
GM_noun	gI_ema
GNP_noun	kula_rARtrIya_uwpAxana
GP_noun	daktara
G_noun	eka_hajAra
Gaelic_noun	kelta_BARA
Gallup-poll_noun	janamawa_nirXAriwa_karane_kA_mawaxAna
Gamma_noun	gAmA
Gates_noun	getsa
Gautama_noun	gOwama
Gemini_noun	miWuna
Geneva_noun	jenIvA
Gentile_noun	gEra-yahUxI
George_noun	jarja
German_noun	jarmanI_vAsI/jarmana_BARA/jarmana_xeSa_kA_nivAsI
Germany_noun	jarmanI
Gestapo_noun	nAjI_pArtI_kI_KuPiyA_pulisa
Gipsy_noun	KAnAbaxoSa/jipsI
Giza_noun	gIjA
Gizeh_noun	gIjA
Gladstone_noun	glEdastana
Glasgow_noun	glAsago
Gloucester_noun	glUsestara
Gloucestershire_noun	glOstershara
God_noun	ISvara/BagavAna
Godfather_noun	saraganA
Gogh_noun	gO
Goliath_noun	samrAta/goliyaWa
Gospel_noun	IsopaxeSa/IsA_cariwa
Gothic_noun	gaWika_vAswukalA/gaWika_BARA
Governor-General_noun	gavarnara_janarala
Grecian_noun	yUnAnI
Greece_noun	yUnAna
Greek_noun	yUnAnI/yUnAnI_BARA/yUnAna_vAsI
Grey_noun	gre
Grimm_noun	grima
Grundyism_noun	kapatalajjASIlawA
Gujarati_noun	gujarAwI
Gujerati_noun	gujarAwI
Gypsy_noun	KAnAbaxoSa/jipsI_BARA/jipsI
H-bomb_noun	hAidrojana_bama/hAidorjana_bama
HIV_noun	eca_AI_vII
HIgh-court_noun	ucca_nyAyAlaya
HP_noun	harsapavara/aSvaSakwi[iFjana_kI]
HQ_noun	muKyAlaya
H_noun	eca
Ha_noun	eca_e
Habegger_noun	Habegger
Hallowe'en_noun	hEloIna
Halloween_noun	hElovIna/hEloIna/31_akwUbara_meM_mqwakoM_ke_AwmA_kA_uTane_kA_xivasa
Hammurabi_noun	hamurAbI
Hammurapi_noun	hamurApI
Hampshire_noun	hEmpSara
Hanumana_noun	hanumAna
Harijan_noun	aCUwa
Harrison_noun	hErisana
Harvey_noun	hArvI
Headquarters_noun	muKyAlaya
Heisenberg_noun	hAijanabarga
Hephaestus_noun	hiPEstasa
Hephaistos_noun	hiPEstasa
Her-majesty_noun	mahArAnI
Herbicide_noun	pOXanASaka_paxArWa
Hesperus_noun	Sukra_graha
Hestia_noun	hestiyA
High-commission_noun	uccAyoga
High-commissioner_noun	uccAyukwa
Highness_noun	rAjaGarAne_kI_upAXi
Himalaya_noun	himAlaya
Himalayas_noun	himAlaya
Hindi_noun	hinxI
Hindu_noun	hinx/BArawIya
Hinduism_noun	hinxuwva/hinxU_Xarma
His-majesty_noun	mahArAjA
Hispanic_noun	spenI
Holland_noun	halENda
Hollywood_noun	halIvuda
Holstein_noun	PrIjana_gAya
Homer_noun	homara
Hoover_noun	nirvAwa_mArjaka/hUvara
Hugo_noun	hyUgo
Hungarian_noun	hafgeriyAII/hafgarIvAsI
Hungary_noun	hafgarI
IBM_noun	eka_bahu_rARtrIya_kampanI/Ai_bI_ema
IBRD_noun	punarnirmANa_evaM_vikAsa_anwarrARtrIya_bEfka
ICT_noun	Ai_sI_tII
ICU_noun	awixakRawA_viBAga
ID_noun	pahacAna-pawra
IL_noun	unacAsa
IMF_noun	International_monetary_fund/anwarrARtrIya_viwwIya_niXi
IQ_noun	bOxXika_swara
ITU-R_noun	AI_tI_yU_Ara
ITU_noun	AI_tI_yU
ITV_noun	AI_tI_vI
IUD_noun	anwargarBASayI_yanwra
IXL_noun	unawAlIsa
I_noun	AI
Ibrahim_noun	ibrAhima
Ice-Pick_noun	barPa_ko_wodane_kA_OjAra
Imam_noun	imAma
Imprecation_noun	aBicAra
Impressionism_noun	praBAvavAxa
Impressionist_noun	praBAvavAxI_ciwrakAra
In-the-arms-of-morpheus_noun	unInxA/nixriwa
In-the-morning_noun	subaha
India_noun	BArawa
Indian_noun	BArawIya/BArawa_vAsI
Indonesia_noun	iNdoneSiyA
Indra_noun	inxra
Instrumental-music_noun	vAxya_safgIwa
Inuit_noun	inUita_BARA/inUita
Ipswich_noun	ipsavica
Iran_noun	IrAna
Irani_noun	IrAnI
Iranian_noun	IrAnI_BARA/IrAnI/IrAna_vAsI
Iraq_noun	IrAka
Iraqi_noun	IrAka_vAsI/IrAkI_BARA
Ireland_noun	AyaralENda
Irish_noun	AyariSa/AyaralENdavAsI
Irishman_noun	AyaralENda_nivAsI_purURa
Irishwoman_noun	AyaralENda_nivAsI_mahilA
Irving_noun	arvifga
Islam_noun	islAma/musalamAna/isalAma
Israel_noun	ijarAila
Israeli_noun	ijarAila_vAsI
Italian_noun	iwAlavI_BARA/italI_vAsI
Ithaca_noun	iWAkA
Ithaki_noun	iWAkI
JP_noun	nyAyAXISa
Jacuzzi_noun	bahuwa_badA_snAnagqha/Kanija_jalIya_snAna-taba
Jahvey_noun	jAhve
Jahweh_noun	jAhve
Jan_noun	janavarI
January_noun	janavarI
Japan_noun	jApAna
Japanese_noun	jApAnI/jApAnavAsI
Jehovah_noun	bAIbala_meM_ISvara_kA_nAma/jihovA
Jersey_noun	eka_nasla_kI_gAya_jo_aXika_xUXa_xewI_hE
Jesuit_noun	IsA_masIha_kI_royala_keWolika_samAja_kA_saxasya/jejuita
Jesus_noun	IsA_masIha
Jew_noun	yahUxI
Jewess_noun	yahUxI_mahilA
Jewry_noun	yahUxI_samuxAya
Jiffy-bag_noun	pArasala_karane_hewu_bEga
Johnny-jump-up_noun	jafgalI_pEFjI
Jordan_noun	jardana
Judaism_noun	yahuxI_Xarma
Judas_noun	XoKebAja/viSvAsaGAwI/jUdasa
Juglandaceae_noun	kARTaPala_vaMSa
Jugoslavija_noun	yUgoslAviyA
Jul._noun	julAI
July_noun	julAI
Jun._noun	jUna
June_noun	jUna/jUna{sAla_kA_CatA_mahInA}
Juniper_noun	jUnipara
Jupiter_noun	bqhaspawi
KC_noun	rAjasaBA/rAj-aXivakwA
KO_noun	acewa_kara_xene_vAlA_prahAra/acewa_honA
KW_noun	kilovata
K_noun	kelvina/ke/eka_hajAra
Kellog_noun	kelOga
Kellogg_noun	kelOga
Kelvin_noun	kelvina
Kenya_noun	kenyA
Kitemark_noun	pawafga_cinha
Klaxon_noun	BompU
Kleenex_noun	kAgaja_kA_rumAla
Koran_noun	kurAna
Korea_noun	koriyA
Korean_noun	koriyA_vAsI/koriyAI_BARA
Kr_noun	kriptana
Kremlin_noun	rUsI_sarakAra_kA_kilA/kremlina
Kumbha_noun	kumBa
Kuwait_noun	kuvEwa
L-plate_noun	ela-pleta
LAN_noun	sWAnIya_kRewra_wanwra
LCD_noun	laGuwwama/ela_sI_dI
LC_noun	ela_sI
LIII_noun	wrepana
LII_noun	bAvana
LISP_noun	lispa
LI_noun	ifkyAvana
LP_noun	ela_pI
LSD_noun	ela_esa_dI
LTTE_noun	ela_tI_tI_I
LXXXVI_noun	CiyAsI
LXX_noun	sawwara
L_noun	pacAsa
Labor_noun	majaxUra_xala
Labour_noun	majaxUra_xala
Labrador_noun	lEbradara
Lancashire_noun	lafkASAyara
Lancaster_noun	lEfkAstara
Landrover_noun	lENdarovara
Latin_noun	lEtina_BARA/lEtina
Latino_noun	lAwIno
Laundromat_noun	maSiNI_XulAI_Gara
Laureate_noun	rAjakavi
Lebanese_noun	lebanAnavAsI
Lebanon_noun	lebanAna
Lego_noun	lego
Leicester_noun	lIsestara
Lent_noun	cAlIsA
Leo_noun	siMha_rASi
Lewis_noun	lUIsa
Li_noun	lIWiyama
Libra_noun	wulA/wulA_rASi_meM_janmA_vyakwi/wulA_rASi
Libritabs_noun	libritEbsa
Librium_noun	libriyama
Lidocaine_noun	lAidokena
Lietuva_noun	lItuvA
Lieut._noun	lePtineNta
Lilongwe_noun	lilOfgve
Lincoln_noun	lifkana
Lithuania_noun	liWUAniyA
Liverpool_noun	livarapUla
Loafer_noun	loPara_jUwA
Lohit_noun	lohiwa
London_noun	lanxana
Lot_noun	lata
Lothian_noun	loIana
Lowell_noun	lovela
Lowry_noun	lAurI
Loyalist_noun	layalista
Lt_noun	lePtineNta
Lucite_noun	lyUsAita
Lycra_noun	lAikrA
M.O._noun	cikiwsA_aXikArI
M.Sc._noun	ema_esa_sI
MA_noun	em_ee
MBA_noun	Ema_bI_e/ema.bI.e.{vANijya_praSAsana_meM_snAwakowwara}
MBE_noun	Ema_bI_I/britiSa_rAjya_kA_saxasya
MB_noun	megAbAita/cikiwsA_meM_snAwaka
MCC_noun	Ema_cI_cI/rARtrIya_pariRaxa_kA_saxasya
MC_noun	koYfgaresa_saxasya/senA_paxaka{britena_meM}
MD_noun	Ema_dI/snawakowwara_cikiwsaka/mahAprabanXaka
MFC_noun	MFC
MHz_noun	megAhartja
MOD_noun	surakRA_manwrAlaya
MOT_noun	vAhana_parIkRaNa/parivahana_manwrAlaya
MO_noun	cikiwsA_aXikArI
MP_noun	senA-pulisa_kA_sipAhI/ema_pI
MRW_noun	ema_Ara_dablyU
MSc_noun	ema_esa_sI
MV_noun	motara-powa
M_noun	eka_hajAra
Mach_noun	mEka
Madeira_noun	mediyarA_SarAba
Mademoiselle_noun	kumArI
Madonna_noun	kumArI_mariyA
Mafia_noun	mAPiyA
Magenta_noun	mEjeNtA_kA_yuxXa
Magyar_noun	mEgyAra
MahaBodhivriksha_noun	mahAboXivqkRa
Maharaja_noun	mahArAjA
Maj._noun	mejara
Major_noun	mejara
Maker_noun	ISvara
Malabo_noun	malAbo
Malawi_noun	malAvI
Malaya_noun	malaya
Malaysia_noun	maleSiyA
Mammon_noun	Xanasampawwi{ko_ISvara_mAnanA}
Manchester_noun	mEnacestara
Mandarin_noun	mENdarina
Manila_noun	manIlA
Manx_noun	mEfksa
Maori_noun	mAorI
Mar._noun	mArca
Marathon_noun	mErAWana
March_noun	mArca
Marine_noun	nOsEnika
Mars_noun	mafgala_graha
Martiann_noun	mafgalavAsI
Marx_noun	mArksa
Marxism_noun	mArksavAxa
Marxist_noun	mArksavAxI
Mary_noun	merI
Mason_noun	gupwa_saMsWA_kA_saxasya
Maugham_noun	mOma
May_noun	maI/maII/vasanwa
Mayday_noun	vipawwi-safkewa
Mazdaism_noun	mAjxA_Xarma
McCoy_noun	vAswavika_vaswu
McKinley_noun	mEkinalI
Mecca_noun	makkA/AkarRaNa_kA_kenxra-sWala
Med_noun	mEditereniyana_samuxra/BUmaXyasAgara
Medicaid_noun	cikiwsA_sahAyawA
Medicare_noun	cikiwsA_sahAyawA
Mediterranean_noun	BUmaXyasAgara
Mercury_noun	marakyurI/buXa_graha
Mesa_noun	mIsA
Messiah_noun	masIhA/IsA_masIha
Messrs._noun	sarvaSrI
Messrs_noun	sarvaSrI
Met_noun	mOsama_viBAga
Methedrine_noun	meWidrIna
Methodism_noun	niyamavAxa
Methodist_noun	niyamavAxI
Mexico_noun	mEksiko
Mick_noun	AiriSa_vyakwi
Mickey_noun	AiriSa_vyakwi
Microsoft_noun	Microsoft
Midas-touch_noun	hara_kAma_se_PAyaxA_honA
Midland_noun	midalENda
Midlands_noun	midlENdsa
Midway_noun	midave
Midwest_noun	maXyowwara_amarIkA
Milan_noun	milAna
Milquetoast_noun	pofgA
Miri_noun	mirI
Mirish_noun	mirISa
Miss_noun	kumArI
Mn_noun	mEfganIja
MoD_noun	rakRA_manwrAlaya
Mobile_noun	mobAila
Moghul_noun	mugala
Mohammed_noun	hajarawa_muhammaxa
Monday_noun	somavAra
Money-Lender_noun	sAhUkAra
Mongol_noun	mafgolI/mafgola
Mongolian_noun	mafgolI/mafgola
Monsieur_noun	SrImAna
Moor_noun	mUra
Morocco_noun	morakko
Moscow_noun	mAsko
Moslem_noun	musalamAna
Mr._noun	SrImAna
Mr_noun	srImAna
Mrs_noun	SrImawI
Ms._noun	suSrI
Ms_noun	suSrI
Mt._noun	parvawa
Mt_noun	parvawa
Muhammad_noun	hajarawa_muhammaxa
Muse_noun	myUja
Muslim_noun	musalamAna
Myanmar_noun	myAzmAra
NAAFI_noun	nAPI
NASA_noun	amarIkA_kA_anwarikRa_kAryAlaya/nAsA
NATO_noun	uwwarI_atalANtika_sanXi_safgaTana/nAto
NBC_noun	ena_bI_sI
NCO_noun	ena_sI_o
NE_noun	uwwara-pUrva
NFL_noun	ena_ePa_ela
NHS_noun	ena_eca_esa
NI_noun	ena_AI
NRA_noun	ena_Ara_e
NSPCC_noun	ena_esa_pI_sI_sI
NW_noun	uwwara-paScima
NYC_noun	nyU_yarka_sitI
NY_noun	nyU_yarka
NZ_noun	nyU_jIlENda
Naafi_noun	nAPI
Nabu_noun	nebU
Naga_noun	nAga
Namibia_noun	nAmIbiyA
Native-American_noun	amarIkI_mUla_prajAwi_saxasya
Nazi_noun	nAjI_pArtI/nAjI/jAwivAxI
Naziism_noun	nAjIvAxa
Nazism_noun	nAjIvAxa
Neandertal_noun	niyEndaraWala_mAnava
Neanderthal_noun	niyEndaraWala_mAnava
Nebo_noun	nebo
Negress_noun	nIgro_mahilA/nIgro_ladakI
Negro_noun	nIgro
Negroid_noun	nIgro
