-ial_UNDEFINED	-Iya
bilateral_UNDEFINED	xviupakRIya
bilateral_adjective	xvipakRIya
binomial_UNDEFINED	xvipaxIya
binomials_UNDEFINED	xvipaxIya
binominal_UNDEFINED	xvipaxIya
binominals_UNDEFINED	xvipaxIya
bipartisan_adjective	xvixalIya
bookable_UNDEFINED	AcArasaMihawA_ke_anusAra_xaNdanIya
bookable_adjective	ArakRaNa_yogya/AcArasaMhiwA_ke_anusAra_xaNdanIya
bovine_adjective	paSuvaw/manxabuxXi/gojAwIya
bribable_adjective	BraRtaNIya
caloric_adjective	URmIya
canine_adjective	kukkurIya/SvAnIya
caniner_UNDEFINED	kukkurIya
canines_UNDEFINED	kukkurIya
caninest_UNDEFINED	kukkurIya
cardiac_UNDEFINED	TaxIya
cardiac_adjective	hqxIya
celestial_adjective	KagolIya/svargIya/xivya/svargika/AkASIya
celestialer_UNDEFINED	AkASIya
celestialest_UNDEFINED	AkASIya
celestially_UNDEFINED	svargIya
center_adjective	kenxrIya
centraler_UNDEFINED	kenxrIya
centralest_UNDEFINED	kenxrIya
cerebral_UNDEFINED	pramaswiCakIya
chargeable_UNDEFINED	piravyayanIya
classified_adjective	vargIkqwa/gupwa/gopanIya
classifieder_UNDEFINED	gopanIya
classifiedest_UNDEFINED	gopanIya
closet_adjective	gupwa/gopanIya
coastal_adjective	watIya
coaxial_UNDEFINED	samAkRIya
collectable_adjective	safgraha_karane_yogya/safgrahaNIya
collectible_adjective	safgrahaNIya
commemorative_adjective	smArakIya
commendable_adjective	praSaMsanIya/sarAhanIya
commendabler_UNDEFINED	sarAhanIya
commendablest_UNDEFINED	sarAhanIya
comparable_adjective	wulanIya/wUlanIya
comparabler_UNDEFINED	wulanIya
comparablest_UNDEFINED	wulanIya
conceivable_adjective	kalpanIya
condemnable_adjective	ninxanIya
conductive_adjective	cAlakIya
confidential_adjective	gopanIya
confidentialer_UNDEFINED	gopanIya
confidentialest_UNDEFINED	gopanIya
confutable_adjective	KaNdanIya
confutative_adjective	KaNdanIya
consular_adjective	xUwAvAsa_sambanXI/vANijyaxUwIya
contempt_adjective	ninxanIya
continental_adjective	mahAxvIpIya/yUropIya
controllable_adjective	niyanwraNIya
controllabler_UNDEFINED	niyanwraNIya
controllablest_UNDEFINED	niyanwraNIya
convertible_adjective	parivarwanIya
convertibler_UNDEFINED	parivarwanIya
convertibles_UNDEFINED	parivarwanIya
convertiblest_UNDEFINED	parivarwanIya
corruptible_UNDEFINED	BraCataNIya
corruptible_adjective	BraRtaNIya
countable_UNDEFINED	gaNanIya
county_adjective	aBijAwa_vargIya
credibler_UNDEFINED	viSvasanIya
crediblest_UNDEFINED	viSvasanIya
cubic_noun	GanAkAra/wrivimIya
cubicer_UNDEFINED	wrivimIya
cubicest_UNDEFINED	wrivimIya
cubics_UNDEFINED	wrivimIya
cyclic_UNDEFINED	crakrIya
decomposable_adjective	viSleRaNIya
deductable_UNDEFINED	vyavakalanIya
defensible_adjective	sahaja_meM_rakRA_hone_yogya/uciwa/rakRaNIya
deification_noun	pUjanIya
deifications_UNDEFINED	pUjanIya
demographical_UNDEFINED	janasAfKyikIya
demographicaler_UNDEFINED	janasAfKyikIya
demographicalest_UNDEFINED	janasAfKyikIya
demographicer_UNDEFINED	janasAfKyikIya
demographicest_UNDEFINED	janasAfKyikIya
demonic_adjective	pESAcika/rAkRasIya
deniable_adjective	KaNdanIya
deniabler_UNDEFINED	KaNdanIya
deniablest_UNDEFINED	KaNdanIya
dental_adjective	xanwya/xanwa-cikiwsIya
departmental_adjective	viBAgIya
deplorable_adjective	SocanIya/ninxanIya/Kexajanaka/xayanIya
deplorabler_UNDEFINED	xayanIya
deplorablest_UNDEFINED	xayanIya
differential_adjective	anwara_sambanXI/anwarIya
dimensional_adjective	vimiwIya
diocesan_adjective	XarmapraxeSIya
directorial_UNDEFINED	nixeGakIya
directorial_adjective	nixeSkIya
distinguishable_adjective	viSeRaNIya
domestic_adjective	GarelU/svaxeSI/pArivArika/pAlawU/anwarrAjyIya
domiciliary_adjective	AvAsIya
dorsal_UNDEFINED	pqCaTIya
dramaticer_UNDEFINED	nAtakIya
dramaticest_UNDEFINED	nAtakIya
drinkable_adjective	pIne_yogya/pAnIya
dutch_UNDEFINED	hoYlENda_xeSIya
dynastic_adjective	rAjavaMSIya
economicer_UNDEFINED	arWaSAswrIya
economicest_UNDEFINED	arWaSAswrIya
editorial_adjective	sampAxakIya
electro-magnetic_UNDEFINED	vixyuwa-cumbakIya
electromagnetic_adjective	vixyuwa_cumbakIya/vixyuw-cumbakIya
electromagneticer_UNDEFINED	vixyuwa_cumbakIya
electromagneticest_UNDEFINED	vixyuwa_cumbakIya
electromagnetics_UNDEFINED	vixyuwa_cumbakIya
elevateder_UNDEFINED	uccaswarIya
elevatedest_UNDEFINED	uccaswarIya
eligible_adjective	yogya/vAFCanIya
elliptic_adjective	aNdAkAra_kA/xIrGavqwwIya
elliptical_UNDEFINED	xIrGavqwwIya
embryological_adjective	BrUNIya
embryonaler_UNDEFINED	BrUNIya
embryonalest_UNDEFINED	BrUNIya
embryonic_adjective	BrUNIya
embryonicer_UNDEFINED	BrUNIya
embryonicest_UNDEFINED	BrUNIya
employable_adjective	kAma_para_lagAne_yogya/niyojanIya
endurable_adjective	sahanIya
engaginger_UNDEFINED	ramaNIya
engagingest_UNDEFINED	ramaNIya
enviable_adjective	IrRA_ke_yogya/spqhaNIya
episcopaler_UNDEFINED	XarmAXyakRIya
episcopalest_UNDEFINED	XarmAXyakRIya
equine_adjective	aSvIya
equivocal_adjective	xvayArWI/aniSciwa/anekArWaka/aviSvasanIya
equivocaler_UNDEFINED	aviSvasanIya
equivocalest_UNDEFINED	aviSvasanIya
esoteric_adjective	gUDa/gopanIya
esteemed_adjective	mAnanIya
ethic_adjective	nIwiSAswrIya/AcAra_sambanXI/AcAraSAswrIya
ethicer_UNDEFINED	AcAraSAswrIya
ethicest_UNDEFINED	AcAraSAswrIya
ethnic_adjective	jAwIya/sajAwIya/rARtra-sambanXI/prajAwIya/naslI/mAnavajAwIya
ethnical_UNDEFINED	jAwIya
ethnicaler_UNDEFINED	jAwIya
ethnicalest_UNDEFINED	jAwIya
ethnicer_UNDEFINED	jAwIya
ethnicest_UNDEFINED	jAwIya
exemplarier_UNDEFINED	anukaraNIya
exemplariest_UNDEFINED	anukaraNIya
expendable_adjective	uwsarjanIya
fallibler_UNDEFINED	aviSvasanIya
falliblest_UNDEFINED	aviSvasanIya
family_adjective	parivAra/sahalakRaNIya
fastidious_adjective	wunuka_mijAja/xuswoRaNIya
finance_adjective	viwwIya
financial_adjective	ArWika/viwwIya
fluvial_adjective	naxI_sambanXI/naXIya
fly-by-night_adjective	aviSvasanIya
focal_adjective	Pokasa_meM_honA/nABIya/kenxrIya
four-year_adjective	cAra-varRIya
galvanic_adjective	rasAyanika_kriyA_xvArA_uwpanna_vixyuwa/preraka/gElvanI/acAnaka_Ora_nAtakIya
galvanical_UNDEFINED	acAnaka_Ora_nAtakIya
galvanicaler_UNDEFINED	acAnaka_Ora_nAtakIya
galvanicalest_UNDEFINED	acAnaka_Ora_nAtakIya
galvanicer_UNDEFINED	acAnaka_Ora_nAtakIya
galvanicest_UNDEFINED	acAnaka_Ora_nAtakIya
gaseous_adjective	gEsa_kA_sA/gEsIya
gastric_adjective	peta_kA/jaTarIya
geocentric_adjective	BUkenxrIya
geological_adjective	BUvijFAnI/BUgarBIya
geometric_adjective	jyAmiwIya
geometricalest_UNDEFINED	jyAmiwIya
geometricest_UNDEFINED	jyAmiwIya
geometricl_adjective	jyAmiwIya
geophysical_adjective	BUBOwikIya
geriatric_adjective	vqxXa-sambanXI/jarAcikiwsIya
glandular_adjective	granWIya
graphical_UNDEFINED	reKAciwrIya
graphicaler_UNDEFINED	reKAciwrIya
graphicalest_UNDEFINED	reKAciwrIya
graphicer_UNDEFINED	reKAciwrIya
graphicest_UNDEFINED	reKAciwrIya
gravitational_UNDEFINED	guruwvAkarRIya
halloweder_UNDEFINED	AxaraNIya
hallowedest_UNDEFINED	AxaraNIya
heavenly_adjective	xivya/suKaxa/KagolIya
hellish_adverb	nArakIya
hellisher_UNDEFINED	nArakIya
hellishest_UNDEFINED	nArakIya
heptagonal_adjective	sapwaBujIya/sapwakoNIya
heptagonaler_UNDEFINED	sapwaBujIya
heptagonalest_UNDEFINED	sapwaBujIya
heraldic_adjective	rAjakIya_GoRaNAoM_se_sambanXiwa/kulacihna-sambanXI/agraxUwIya
herbaceous_adjective	ORaXeya/SAkIya
heterogeneous_adjective	vijAwIya
heterogeneouser_UNDEFINED	vijAwIya
heterogeneousest_UNDEFINED	vijAwIya
hexagonal_adjective	RatkoNIya
hexagonaler_UNDEFINED	RatkoNIya
hexagonalest_UNDEFINED	RatkoNIya
hidings_UNDEFINED	gopanIya
hieroglyphic_adjective	ciwralipIya
high-class_adjective	ucca_jAwi_kA/uwkqRta/uccavargIya
hillier_UNDEFINED	parvawIya
hilliest_UNDEFINED	parvawIya
hilly_adjective	parvawIya
homogeneous_adjective	samarUpa/sajAwIya
homogeneouser_UNDEFINED	sajAwIya
homogeneousest_UNDEFINED	sajAwIya
honorabler_UNDEFINED	sammAnanIya
honorablest_UNDEFINED	sammAnanIya
honorary_adjective	avEwanika/sammAnArWa/sammAnanIya
honourable_adjective	mAnanIya/sammAnanIya
honourabler_UNDEFINED	sammAnanIya
honourablest_UNDEFINED	sammAnanIya
hybridizable_adjective	safkaraNIya
hydraulic_adjective	xravacAliwa/jalaxAba/calaxravIya
hydroelectric_adjective	jalavixyuwIya
idyllic_adjective	ramaNIya
imaginable_adjective	kalpanIya
immiscible_adjective	amiSraNIya
immutable_adjective	aparivarwanIya
immutabler_UNDEFINED	aparivarwanIya
immutablest_UNDEFINED	aparivarwanIya
impassable_adjective	agamya/xurgama/apAraNIya
implausible_adjective	aviSvAsya/aviSvasanIya
impossible_adjective	asamBava/nirASAjanaka/aSiRta/akaraNIya
inalienable_adjective	anapahArya/anapavarwiwa/ahaswAnwaraNIya
inalterable_adjective	aparivarwanIya
incommensurable_adjective	awulanIya
incommensurabler_UNDEFINED	awulanIya
incommensurables_UNDEFINED	awulanIya
incommensurablest_UNDEFINED	awulanIya
incomparable_adjective	axviwIya/awulanIya
incomparabler_UNDEFINED	axviwIya
incomparablest_UNDEFINED	axviwIya
inconsolable_adjective	asAnwvanIya
inconsolabler_UNDEFINED	asAnwvanIya
inconsolablest_UNDEFINED	asAnwvanIya
inconvertible_adjective	aparivarwanIya
incredible_noun	aviSvasanIya
incredibler_UNDEFINED	aviSvasanIya
incrediblest_UNDEFINED	aviSvasanIya
incumbent_UNDEFINED	avaSyakaraNIya
indecorous_adjective	aSiRta/aSoBanIya
indefensibler_UNDEFINED	asamarWanIya
indefensiblest_UNDEFINED	asamarWanIya
indefinabler_UNDEFINED	anirvacanIya
indefinablest_UNDEFINED	anirvacanIya
independent_noun	nirxalIya
indescribable_adjective	anirvacanIya/avarNanIya
indescribabler_UNDEFINED	anirvacanIya
indescribablest_UNDEFINED	anirvacanIya
indian_adjective	BArawIya
indictable_adjective	aByAropya/aByAropaNIya
indistinguishable_adjective	aviBexya/aviSeRaNIya/apraBexanIya
indocile_adjective	uxxaNda/aniyanwraNIya
ineffable_adjective	akaWanIya/avarNanIya/anirvacanIya
ineffabler_UNDEFINED	akaWanIya
ineffablest_UNDEFINED	akaWanIya
ineradicable_adjective	anunmUlanIya
ineradicabler_UNDEFINED	anunmUlanIya
ineradicablest_UNDEFINED	anunmUlanIya
inertial_adjective	jadawvIya
inertialer_UNDEFINED	jadawvIya
inertialest_UNDEFINED	jadawvIya
inertials_UNDEFINED	jadawvIya
inexplicable_UNDEFINED	anivarcanIya
inexpressible_adjective	avarNanIya/akaWanIya
inexpressibler_UNDEFINED	avarNanIya
inexpressiblest_UNDEFINED	avarNanIya
inimitable_adjective	anupama/anoKA/ananukaraNIya
inland_adjective	anwarxeSIya/anwaHsWalIya
insecticidaler_UNDEFINED	kItanASakIya
insecticidalest_UNDEFINED	kItanASakIya
insoluble_adjective	na_GulanevAlA/samAXAnahIna/aGulanaSIla/asamAXAnIya
insolubler_UNDEFINED	asamAXAnIya
insolublest_UNDEFINED	asamAXAnIya
installable_adjective	sWApya/sWApanIya/saMsWApanIya/prawiRTApanIya
insufferable_adjective	asahya/asahanIya
insurable_adjective	bImAkaraNIya
intelligibler_UNDEFINED	boXanIya
intelligiblest_UNDEFINED	boXanIya
intercollegiate_adjective	anwarmahAvixyAlaya/amwarvixyAlayIya
intercontinental_adjective	anwarmahAxvIpIya
interdepartmental_adjective	anwarviBAgIya/amwarviBAgIya
intergovernmental_adjective	anwarSAsakIya
international_adjective	anwarrARtrIya
interneciner_UNDEFINED	xvipakRaGAwakIya
internecinest_UNDEFINED	xvipakRaGAwakIya
interpretability_UNDEFINED	vivecanIya
interprovincial_UNDEFINED	anwara-prAnwIya
interstate_adjective	anwarrAjyIya
interstater_UNDEFINED	anwarrAjyIya
interstatest_UNDEFINED	anwarrAjyIya
interstellar_adjective	anwarwArakIya
intolerabler_UNDEFINED	asahanIya
intolerablest_UNDEFINED	asahanIya
invariant_UNDEFINED	aparivarwanIya
inviolable_adjective	alafGya/alafGanIya
inviolater_UNDEFINED	anullafGanIya
inviolatest_UNDEFINED	anullafGanIya
irreducible_adjective	alaGukaraNIya
irreducibler_UNDEFINED	alaGukaraNIya
irreduciblest_UNDEFINED	alaGukaraNIya
irreparable_adjective	jise_suXArA_na_jA_sake/apUraNIya
irrepressible_adjective	axamanIya
irrepressibler_UNDEFINED	axamanIya
irrepressiblest_UNDEFINED	axamanIya
irreproducible_adjective	apunaruwpAxanIya
irreversible_adjective	aparivarwanIya/anuwkramaNIya
irreversibler_UNDEFINED	aparivarwanIya
irreversiblest_UNDEFINED	aparivarwanIya
irrevocabler_UNDEFINED	aparivarwanIya
irrevocablest_UNDEFINED	aparivarwanIya
isometric_adjective	samamiwIya/GanIya
isometricer_UNDEFINED	samamiwIya
isometricest_UNDEFINED	samamiwIya
isometrics_UNDEFINED	samamiwIya
isotopic_adjective	samasWAnikIya
iterative_adjective	punarAvqwwIya
land-based_adjective	BUsWiwa/sWalIya
lateral_adjective	pArSvika/pArSvIya
laudable_adjective	praSaMsanIya/sarAhanIya
laudabler_UNDEFINED	praSaMsanIya
laudablest_UNDEFINED	praSaMsanIya
left-of-center_adjective	vAma-panWIya
left-of-centre_adjective	vAma-panWIya
leveled_UNDEFINED	samAna_swarIya
leveler_UNDEFINED	samAna_swarIya
levelest_UNDEFINED	samAna_swarIya
leveling_UNDEFINED	samAna_swarIya
levelled_UNDEFINED	samAna_swarIya
levelling_UNDEFINED	samAna_swarIya
levels_UNDEFINED	samAna_swarIya
likewise_adverb	vEse_hI/isI_waraha/wulanIya
lithographic_adjective	aSma-muxrIya/aSma_muxrIya
lithographical_UNDEFINED	aSma-muxrIya
lithographicaler_UNDEFINED	aSma-muxrIya
lithographicalest_UNDEFINED	aSma-muxrIya
lithographicer_UNDEFINED	aSma-muxrIya
lithographicest_UNDEFINED	aSma-muxrIya
littoral_adjective	watIya
lordlier_UNDEFINED	sAmanwIya
lordliest_UNDEFINED	sAmanwIya
lordly_adjective	uxXawa/Bavya/sAmanwIya
magnetic_adjective	cumbakIya
magneticer_UNDEFINED	cumbakIya
magneticest_UNDEFINED	cumbakIya
malleable_adjective	pitavAM/AsAnI_se_praBAviwa_hone_vAlA/AGAwa_varXanIya
mammarier_UNDEFINED	swanIya
mammariest_UNDEFINED	swanIya
manageabler_UNDEFINED	niyanwraNIya
manageablest_UNDEFINED	niyanwraNIya
managerial_adjective	prabanXakIya
marinest_UNDEFINED	samuxrIya
masculiner_UNDEFINED	puFjAwIya
masculines_UNDEFINED	puFjAwIya
masculinest_UNDEFINED	puFjAwIya
mayoraler_UNDEFINED	mahApOrIya
mayoralest_UNDEFINED	mahApOrIya
mechanisticer_UNDEFINED	yAnwrikIya
mechanisticest_UNDEFINED	yAnwrikIya
medical_adjective	AyurvijFAna_sambanXI/cikiwsIya
melodramatic_adjective	awinAtakIya
memorable_adjective	smaraNIya/avismaraNIya
memorabler_UNDEFINED	smaraNIya
memorablest_UNDEFINED	smaraNIya
mercantile_adjective	vANijyikIya/vANijyIya
mercantiler_UNDEFINED	vANijyikIya
mercantilest_UNDEFINED	vANijyikIya
meritorious_adjective	sarAhanIya
meritoriouser_UNDEFINED	sarAhanIya
meritoriousest_UNDEFINED	sarAhanIya
metric_adjective	mItara_kA/mAwrika/mApIya
metricalest_UNDEFINED	mApIya
metricest_UNDEFINED	mApIya
metropolitaner_UNDEFINED	mahAnagarIya
metropolitanest_UNDEFINED	mahAnagarIya
metropolitans_UNDEFINED	mahAnagarIya
middle-class_adjective	maXyama_vargIya
midland_adjective	maXya_xeSIya
ministerial_adjective	manwrAlaya_sambanXI/manwrIpaxIya
misfortunate_adjective	xayanIya
modular_adjective	vEkalpik/pramApIya
monastic_adjective	ASrama_sambanXI/wapasvI_ke_samAna/maTavAsIya
monetizable_UNDEFINED	muxrAnwaraNIya
monocratie_adjective	eka_SAsakIya
monosyllabicer_UNDEFINED	ekAkRarIya
monosyllabicest_UNDEFINED	ekAkRarIya
monotonicity_UNDEFINED	nirasIya
mountainous_adjective	pahAdI/viSAlakAya/parvawIya
mountainouser_UNDEFINED	parvawIya
mountainousest_UNDEFINED	parvawIya
multi-focal_adjective	bahukenxrIya
multi-lateral_adjective	bahu_pakRIya
multi-racial_adjective	bahu_jAwIya
multicast_UNDEFINED	bahurupIya
multilateral_adjective	bahupArSvika/bahupakRIya
multilingual_adjective	bahuBARI/bahuBARIya
multinational_adjective	bahurARtrIya
multiparty_adjective	bahuxalIya
municipaler_UNDEFINED	nagarIya
municipalest_UNDEFINED	nagarIya
muscularer_UNDEFINED	peSIya
muscularest_UNDEFINED	peSIya
mutable_adjective	parivarwanIya
neuclear_adjective	nABikIya
neural_adjective	snAyu_sambanXI/wanwrikIya
non-assessable_UNDEFINED	anirXAraNIya
non-compos-mentis_adjective	avicAraNIya
non-local_UNDEFINED	asWAnIya
non-miscible_adjective	amiSraNIya
non-prescription_adjective	anirXAriwa/anusKIya
non-refundable_adjective	apariSoXiwa_rakama/aprawyArpaNIya
non-transferable_UNDEFINED	asWAnAnwaraNIya
non-union_adjective	asafGa/asafGIya
nonagenarianer_UNDEFINED	nabbe_se_sO_varRIya
nonagenarianest_UNDEFINED	nabbe_se_sO_varRIya
nonagenarians_UNDEFINED	nabbe_se_sO_varRIya
noncellular_adjective	akoSikIya
nonmedicinal_adjective	cikiwsA_kI_xqRti_se_anirXAriwa/anORaXIya
nontransferable_adjective	ahaswAnwaraNIya
north-easterly_adjective	uwwara_pUrvIya
northeastern_adjective	uwwarapUrvIya
northwesterlier_UNDEFINED	paScimowwarIya
northwesterlies_UNDEFINED	paScimowwarIya
northwesterliest_UNDEFINED	paScimowwarIya
northwesterly_adjective	paScimowwarIya
noteworthier_UNDEFINED	ulleKanIya
noteworthiest_UNDEFINED	ulleKanIya
noteworthy_adjective	ulleKanIya/vicAraNIya
notifiable_adjective	rogoM_kI_sUcanA/sUcanIya
obliterable_adjective	pUrI_waraha_mitAne_yogya/nirAkaraNIya
ocean-goinger_UNDEFINED	mahAsAgarIya
ocean-goingest_UNDEFINED	mahAsAgarIya
oceanic_adjective	mahAsAgarIya
oceanicer_UNDEFINED	mahAsAgarIya
oceanicest_UNDEFINED	mahAsAgarIya
octagonaler_UNDEFINED	aNtakonIya
octagonalest_UNDEFINED	aNtakonIya
one-member_adjective	ekasaxasyIya
onesided_UNDEFINED	ekapakRIya
operaticer_UNDEFINED	sAfgIwIya
operaticest_UNDEFINED	sAfgIwIya
optic_adjective	xqRti/xqRti_sambanXI/xqk/prakASa_sambanXI/prakASIya
opticer_UNDEFINED	prakASIya
opticest_UNDEFINED	prakASIya
optimistical_UNDEFINED	ASAvAxIya
optoelectronics_UNDEFINED	AoYpto_ilektronikIya
orthogonal_adjective	AyawIya
overland_adjective	sWalIya
paramedical_adjective	parAcikiwsIya
parental_adjective	aBiBAvakIya
parliamentarier_UNDEFINED	saMsaxIya
parliamentariest_UNDEFINED	saMsaxIya
pectoral_adjective	CAwI_sambanXI/aMsIya
peerless_adjective	anupama/lAjavAba/bejoda/axviwIya
pelvicer_UNDEFINED	SroNIya
pelvicest_UNDEFINED	SroNIya
penetrable_adjective	CexanIya
penetrabler_UNDEFINED	CexanIya
penetrablest_UNDEFINED	CexanIya
peninsular_adjective	prAyaxvIpIya
peninsularer_UNDEFINED	prAyaxvIpIya
peninsularest_UNDEFINED	prAyaxvIpIya
pentagonal_adjective	paFcaBujIya
pentagonal_noun	paFcaBujIya
pentangular_adjective	paFcaBujIya
peremptorier_UNDEFINED	anawikramaNIya
peremptoriest_UNDEFINED	anawikramaNIya
pernicketier_UNDEFINED	xuRwoRaNIya
pernicketiest_UNDEFINED	xuRwoRaNIya
pernickety_adjective	xuRwoRaNIya
persnicketier_UNDEFINED	xuRwoRaNIya
persnicketiest_UNDEFINED	xuRwoRaNIya
persnickety_UNDEFINED	xuRwoRaNIya
pharmacal_UNDEFINED	ORaXIya
pharmacaler_UNDEFINED	ORaXIya
pharmacalest_UNDEFINED	ORaXIya
pharmaceutical_adjective	ORaXIya/BeRajIya
pharmaceuticaler_UNDEFINED	ORaXIya
pharmaceuticalest_UNDEFINED	ORaXIya
pharmaceuticer_UNDEFINED	ORaXIya
pharmaceuticest_UNDEFINED	ORaXIya
philological_adjective	BARASAswrIya
philologicaler_UNDEFINED	BARASAswrIya
philologicalest_UNDEFINED	BARASAswrIya
piteouser_UNDEFINED	xayanIya
piteousest_UNDEFINED	xayanIya
pitiabler_UNDEFINED	xayanIya
pitiablest_UNDEFINED	xayanIya
pitifuler_UNDEFINED	xayanIya
pitifulest_UNDEFINED	xayanIya
pituitarier_UNDEFINED	SleRmIya
pituitaries_UNDEFINED	SleRmIya
pituitariest_UNDEFINED	SleRmIya
planetal_adjective	grahIya/BUmaNdalIya
planktonic_adjective	plavakIya
plebian_adjective	nimnavargIya
pneumatic_adjective	vAyu_se_BarA_huA/vAyucAliwa/vAyavIya
pontificaler_UNDEFINED	XarmAXyakRIya
pontificalest_UNDEFINED	XarmAXyakRIya
pontificals_UNDEFINED	XarmAXyakRIya
positional_adjective	sWiwIya
positionaler_UNDEFINED	sWiwIya
positionalest_UNDEFINED	sWiwIya
postaler_UNDEFINED	dAkIya
postalest_UNDEFINED	dAkIya
praiseworthier_UNDEFINED	praSaMsanIya
praiseworthiest_UNDEFINED	praSaMsanIya
praiseworthy_adjective	praSaMsanIya/sarAhanIya
presidential_UNDEFINED	rARtrapawIya
presidential_adjective	rARtrapawi_paxa_kA/aXyakRIya
presidentialest_UNDEFINED	rARtrapawIya
printable_adjective	CApane_yogya/muxraNIya
professorialer_UNDEFINED	prAXyApakIya
professorialest_UNDEFINED	prAXyApakIya
programmable_adjective	progrAma_banAne_yogya/kampyUtara_progrAma_xvArA_niyanwraNIya
promontories_UNDEFINED	anwarIya
pronounceable_adjective	uccAraNIya
proverbial_adjective	prasixXa/mhAvare_meM_ulliKiwa/lokokwIya
provincialisms_UNDEFINED	prAnwIya
pseudonymouser_UNDEFINED	kqwakanAmIya
pseudonymousest_UNDEFINED	kqwakanAmIya
psychiatrical_UNDEFINED	manaScikiwsIya
psychiatricaler_UNDEFINED	manaScikiwsIya
psychiatricalest_UNDEFINED	manaScikiwsIya
