###	Following
#To	ward
#Today	one
101_Days	101_desa
Ahmed_khan	ahamaxa_KAna
Air-Conditioned_Express	eyara-kanadISana_eksapresa
Air_mosaic	vAyu_mojEka
Aisa_Kyun_Hota_Hai	EsA_kyUzhowAhE
Ajab_Prem_Ki_Ghazab_Kahani	ajaba_prema_kI_gajaba_kahAnI
Ajanta_Express	ajanwA_eksapresa
Ajay_Maken	ajaya_makeM
Ajay_devgan	ajaya_xevagana
Ajay_river	ajaya_naxI
Akal_College_of_Education_Gurusagar_Mastuana_Sahib	akAla_koYleja_oYPa_EjUkeSana_gurusAgara_maswuanA_sAhiba
Akal_College_of_Education_for_Women_Fatehgarh_Chhana_Village	akAla_koYleja_oYPa_EjUkeSana_PoYra_vomena_PawehagaDa_CAnA
Akal_College_of_Physical_Education	akAla_koYleja_oYPa_PIjikala_EjUkeSana
Akal_Degree_College	akAla_digrI_koYleja
Akal_Degree_College_for_Women	akAla_digrI_koYleja_PoYra_vomena
Akal_Polytechnic_College	akAla_polItEkanika_koYleja
Akal_Sahaye_College_Of_Education_Kotkapura	akAla_sahAe_koYleja_oYPa_EjUkeSana_kotakApurA
Akal_Takht_Express	akAla_waKwa_eksapresa
Akele_Hum_Akele_Tum	akele_hama_akele_wuma
Akeru_river	akerU_naxI
Akhil_Bhartiya_Janwadi_Mahila_Samiti	aKila_BArawIya_janavAxI_mahilA_samiwi
Akhilesh_Yadav	aKileSa_yAxava
Akhiyon_Ke_Jharokon_Se	aKiyoM_ke_JarokoM_se
Akhiyon_Se_Goli_Maare	aKiyoM_se_golI_mAre
Akhlaqur_Rahman_Kidwai	aKalAkura_rahamAna_kixavaI
Aklia_College_of_Education_Goniana	akaliyA_koYleja_oYPa_EjUkeSana
Aklia_Degree_College	akaliyA_digrI_koYleja
Al_Hilal	ala_hilAla
Ala_Hazrat_Express	ala_hajarAwa_eksapresa
Aladdin_&_The_Wonderful_Lamp	alAxxIna_eMda_xA_voMderaPula_leMpa
Alag_Alag	alaga_alaga
Alagappa_University,_Karaikudi	alagappA_viSvavixyAlaya,_karAikudI/alagappA_yunivarsitI,_karAikudI
Alaknanda_river	alakananxA_naxI
Alaska_cedar	alAskA_xevaxAra
Alaska_cod	alAskA_kAda
Albanian_capital	alabeniyA_kI_rAjaXAnI
Albert_Edward	alabarta_edavarda
Albert_Einstein	Albarta_AinastEna
Algerian_capital	alajIriyA_kI_rAjaXAnI
Algerian_dinar	aljIriyAI_xInAra
Aliah_University	aliyA_viSvavixyAlaya/aliyA_yunivarsitI
Alibaba_And_Forty_Thieves	alIbAbA_eMda_PortI_Wievesa
Alibaba_Aur_40_Chor	alIbAbA_Ora_40_cora
Aligarh_Muslim_University,_Aligarh	alIgaDa_muslima_viSvavixyAlaya,_alIgaDa/alIgaDa_muslima_yunivarsitI,_alIgaDa
Alka_yagini	alakA_yAginI
All_India_Institute_of_Medical_Sciences	Ala_iMdiyA_iMstityUta_oYPa_medikala_sAIsa
All_Rounder	Ala_rAuNdara
All_Saints_Institute_of_Medical_Sciences_and_Research	Ala_seMtsa_iMstityUta_oYPa_medikala_sAIsa_eMda_risarca
All_The_Best	Ala_xA_besta
Allah_Rakha	allAha_raKA
Allahabad_Agricultural_Institute,_Deemed_University,_Allahabad	ilAhAbAxa_EgrIkalacarala_iMstityUta,_ilAhAbAxa
Allahabad_Bank	ilAhAbAxa_bEMka
Allahabad_University,_Allahabad	ilAhAbAxa_viSvavixyAlaya,_ilAhAbAxa/ilAhAbAxa_yunivarsitI,_ilAhAbAxa
Alok_nath	aloka_nAWa
Aloo_Chaat	AlU_cAta
Aman_Bhalla_College_of_Education_Kotli_Village	amana_BallA_koYleja_oYPa_EjUkeSana_kotalI_vileja
Aman_Bhalla_Polytechnic_College	amana_BallA_polItEkanika_koYleja
Aman_varma	amana_varmA
Amar_Akbar_Anthony	amara_akabara_anWonI
Amar_Prem	amara_prema
Amar_Shahid_Baba_Ajit_Singh_Jujhar_Singh_Memorial_College	amara_SahIxa_bAbA_ajiwa_siMha_juJAra_siMha_memoriala_koYleja
Amar_Shakti	amara_Sakwi
Amaravati_Express	amarAvawI_eksapresa
Amaravati_river	amarAvawInaxI
Amardeep_Singh_Shergill_Memorial_College	amaraxIpa_siMha_Seragila_memoriala_koYleja
Amarinder_Singh	kEptena_amariMxara_siMha
Amarjeet_Singh	amarajIwa_siMha
Amarkantak_Express	amarakaNtaka_eksapresa
Amarnath_Express	amaranAWa_eksapresa
Ambala_cantt	ambAlA_CAvanI
Ambedkar_Institute_of_Technology	Ambedakara_iMstityUta_oYPa_tEkanolojI
Ambi_river	ambInaxI
Ambika_College_of_Education_,_Kharar	ambikA_koYleja_oYPa_EjUkeSana_,_Karada
Ambika_Soni	ambikA_sonI
Ameer_Aadmi_Gareeb_Aadmi	amIra_AxamI_garIba_AxamI
American_Blend	amerikena_bleMda
American_Daylight	amerikena_delAita
American_Desi	amerike_xesI
American_Dream	amerIkI_svapna
American_English	amarIkI_afgrejI
American_Express_Bank	amerikena_eksapresa_bEMka
American_antelope	amarIkI_hiraNa
American_badger	amarIkI_bijjU
American_barberry	amarIkana_JadaberI
American_beech	amarIkI_bIcavqkRa
American_bittersweet	eka_prakAra_kA_amarIkI_XawUrA
American_buffalo	amerikA_kI_BEMsa
American_capital	amarIkI_rAjaXAnI
American_chameleon	amarIkI_giragita
American_cheese	amarIkI_panIra
American_chestnut	amarIkI_cestanata
American_cockroach	amarIkI_wilacattA
American_coot	amarIkI_murgAbI_pakRI
American_dewberry	amerikI_dyUberI
American_dogwood	amerIkI_doYgavuda
American_eagle	amerikI_gixXa
American_egret	amarIkI_bagulA
American_elder	amarIkI_bujurga
American_elk	amarIkI_bArahasiMgA
American_elm	amarIkI_xevaxAru
Aminuddin_Ahmad_Khan	amInuxxIna_ahamaxa_KAna
Amir_Garib	Amira_garIba
Amisha_patel	amIRA_patela
Amit_Gupta	amiwa_gupwA
Amitab_bachan	amiwAba_baccana
Amity_University	amitI_viSvavixyAlaya/amitI_yunivarsitI
Amity_University_Rajasthan	amitI_viSvavixyAlaya_rAjasWAna/amitI_yunivarsitI_rAjasWAna
Amjad_khan	amajaxa_KAna
Amjed_khan	amjexa_KAna
Amol_palekar	amola_pAlekara
Amrapali_Express	AmrapAlI_eksapresa
Amravati_University	amarAvawI_yunivarsitI
Amrish_puri	amarISa_pUrI
Amrita_Express	amqwA_eksapresa
Amrita_Vishwa_Vidyapeetham,	amqwA_viSva_vixyApITaM
Amrita_Vishwa_Vidyapeetham,Kollam	amqwA_viSva_vixyApITaM
Amrita_Vishwa_Vidyapeetham,_Coimbatore	amqwA_viSva_vixyApITaM,_koiMbatora
Amrita_roi	amqwA_roMva
Amrita_singh	amqwA_siMha
Amritsar_College_of_Engineering_and_Technology	amqwasara_koYleja_oYPa_iMjIniriMga_eMda_tEkanolojI
An_Evening_In_Paris	ana_eveniMga_ina_pErisa
Anand_Ashram	Ananxa_ASrama
Anand_Aur_Anand	Ananxa_Ora_Ananxa
Anand_College_of_Education_for_Women_Jethuwal_Village	Ananxa_koYleja_oYPa_EjUkeSana_PoYra_vomena_jeTuvala_vileja
Anand_Math	Ananxa_mEWa
Anand_Sharma	Ananxa_SarmA
Anand_ji	Ananxa_jI
Anand_nagar	Ananxa_nagara
Anand_vihar	Ananxa_vihAra
Anant_Prasad_Sharma	ananwa_prasAxa_SarmA
Ananth_Kumar	ananwa_kumAra
Ananth_Nag	ananwa_nAga
Ananthapuri_Express	ananWApurI_eksapresa
Ananya_Express	ananyA_eksapresa
Anari_No.1	anArI_na._1
Andaaz_Apna_Apna	anxAja_apanA_apanA
Andaman_Expess	anxamAna_eksapesa
Andaman_and_Nicobar_Islands	anxamAna_eMda_nikobAra
Andar_Baahar	anxara_bAhara
Andhaa_Kaanoon	anXA_kAnUna
Andhra_Kesari_Express	AnXra_kesarI_eksapresa
Andhra_Pradesh_Express	AnXra_praxeSa_eksapresa
Andhra_Pradesh_Grameena_Vikas_Bank	AnXra_praxeSa_grAmINa_vikAsa_bEMka
Andhra_Pradesh_Open_University	AnXra_praxeSa_opana_yunivarsitI
Andhra_Pradesh_Open_Vishvidyalya	AnXra_praxeSa_opana_viSvavixyAlaya
Andhra_University,_Visakhapatnam	AnXra_yunivarsitI
Andhra_Vishvidyalya,_Visakhapatnam	AnXra_viSvavixyAlaya
Aner_river	anera_naxI
Anglican_Catholic	afgalIkana_kEWolika
Anglican_Church	Afgla_girajAGara
Anglican_Communion	Afglo_kamyUniyana
Angolan_capital	afgolana_rAjaXAnI
Angora_cat	afgorA_billI
Anil_kapoor	anila_kapUra
Anjaam_Khuda_Jaane	aFjAma_KuxA_jAne
Anjaane_Rishte	anajAne_riSwe
Anjane_Mein	anajAne_meM
Anju_mahindru	aFjU_mahiMxrU
Anmol_Ghadi	anamola_GadI
Anmol_Moti	anamola_mowI
Anmol_Ratan	anamola_rawana
Anmol_Sitarey	anamola_siwAre
Anna_University,_Chennai	annA_viSvavixyAlaya,_cennaI/annA_yunivarsitI,_cennaI
Anna_University,_Coimbatore	annA_viSvavixyAlaya,_koiMbatora/annA_yunivarsitI,_koiMbatora
Anna_University,_Tiruchirappalli	annA_viSvavixyAlaya,_wirucirappallI/annA_yunivarsitI,_wirucirappallI
Anna_University,_Tirunelveli	annA_viSvavixyAlaya,_wirunelavelYI/annA_yunivarsitI,_wirunelavelYI
Annamalai_University,_Annamalai_Nagar	annAmalAI_viSvavixyAlaya,_annAmalAI_nagara/annAmalAI_yunivarsitI,_annAmalAI_nagara
Anokha_Pyar	anoKA_pyAra
Anokha_Rista	anoKA_riSwA
Anokhe_Amar_Shaheed_Baba_Deep_Singh_Ji	anoKe_amara_SahIxa_bAbA_xIpa_siMha_jI
Anokhi_Ada	anoKI_axA
Anokhi_Raat	anoKI_rAwa
Antarctic_continent	xakRiNaXruvIya_mahAxvIpa
Anthony_Kaun_Hai	anWonI_kOna_hE
Antigua_and_Barbuda	aNtIguA_eMda_barabudA
Anu_Malik	anu_mAlika
Anu_kapoor	anu_kapUra
Anupam_kher	anupama_Kera
Anuradha_podwal	anurAXA_podavAla
Anushka_sharma	anuRkA_SarmA
Anyay_Hi_Anyay	anyAya_hI_anyAya
Apeejay_College_of_Fine_Arts	EpIje_koYleja_oYPa_PAIna_Artsa
Apeejay_Svran_Institute_of_Management	EpIje_svaraNa_iMstityUta_oYPa_mEnejameMta
Apna_Aasmaan	apanA_AsamAna
Apna_Bana_Lo	apanA_banA_lo
Apna_Desh	apanA_xeSa
Apna_Khoon	apanA_KUna
Apna_Sapna_Money_money	apanA_sapanA_monI_monI
Apne_Apne	apane_apane
Apne_Dam_Par	apane_xama_para
Apne_Paraye	apane_parAye
Appu_Raja	appU_rAjA
April_Fool	aprEla_PUla
Arab_Ka_Saudagar	araba_kA_sOxAgara
Arab_chief	araba_pramuKa
Arabian_camel	arabI_Uzta
Arabian_coffee	arabI_kAPI
Arabic_alphabet	arabI_akRara
Aradhana_Express	arAXanA_eksapresa
Aranyak_Express	araNyaka_eksapresa
Aravalli_Express	arAvalI_eksapresa
Arbaj_khan	arabAja_KAna
Archa_puran_singh	arcanA_pUraNa_siMha
Archana_Express	arcanA_eksapresa
Arizona_ash	ErijonA_meM_pAyA_jAne_vAlA_afgU_vqkRa
Arjan_Dass_College	arjana_xas_koYleja
Arjun_Pandit	arjuna_paNdiwa
Arjun_Singh	arjuna_siMha
Arkavathy_river	arakavaWya_naxI
Army_College_of_Nursing	ArmI_koYleja_oYPa_nursiMga
Army_College_of_Nursing_Military_Hospital	ArmI_koYleja_oYPa_nursiMga_militarI_hospItala
Army_Institute_of_Higher_Education_Pathankot	ArmI_iMstityUta_oYPa_hAira_EjUkeSana_paTAnakota
Army_Institute_of_Law	ArmI_iMstityUta_oYPa_lA
Around_The_World	arAuNda_xA_varlda
Arshad_warsi	araSaxa_vArasI
Arun_goyal	aruNa_goyala
Aruna_irani	aruNA_IrAnI
Arunachal_Express	aruNAcala_eksapresa
Arunachal_Pradesh_Rural_Bank	aruNAcala_praxeSa_rurala_bEMka
Arunavati_river	arunAvawI_naxI
Arvind_Gaur	araviMxa_gOra
Arya_College	Arya_koYleja
Aryabhatta_College_of_Engineering	AryaBattA_koYleja_oYPa_iMjIniriMga
Aryabhatta_Insitute_of_Management_and_Technology	AryaBattA_iMstityUta_oYPa_mEnejameMta_eMda_tEkanolojI
Aryans_Business_School	Aryansa_bijanasa_skUla
Aryavart_Gramin_Bank	AryAvarwa_grAmINa_bEMka
Asa_Nu_Maan_Watan_Da	asA_nu_mAna_vawanA_xA
Asghar_Wajahat	asagara_vajAhawa
Asha_Bhosle	ASA_Bosale
Asha_Julka	ASA_julkA
Asha_Jyoti	ASA_jyowi
Asha_parekh	ASA_pAreKa
Ashok_Nagar	aSoka_nagara
Ashram_Express	ASrama_eksapresa
Ashwani_Kumar	aSvanI_kumAra
Ashwini_dhir	aSvinI_XIra
Asiatic_buffalo	eSiyA_kI_BEMsa
Asiatic_cholera	eSiyAI_kAlarA
Asif_Currimbhoy	AsiPa_kariMBoya
Asiwarya_rai_bachan	ESvaryA_rAya_baccana
Asli_Naqli	asalI_nakalI
Asra_College_of_Engineering_and_Technology	asarA_koYleja_oYPa_iMjIniriMga_eMda_tEkanolojI
Asra_Institute_of_Advanced_Studies	asarA_iMstityUta_oYPa_EdavAnasada_stadisa
Assam_Agricultural_University,_Jorhat	asama_EgarIkalacarala_yunivarsitI
Assam_Agricultural_Vishvidyalya,_Jorhat	asama_EgarIkalacarala_viSvavixyAlaya
Assam_Gramin_Vikash_Bank	asama_grAmINa_vikASa_bEMka
Assam_Mail	asAma_mela
Assam_University,_Silchar	asAma_yunivarsitI
Assam_Vishvidyalya,_Silchar	asAma_viSvavixyAlaya
Atal_Bihari_Vajpayee	atala_bihArI_vAjapeyI
Atlas_cedar	atalesa_xevaxAra
Attri_College_of_Education_for_Girls	awwarI_koYleja_oYPa_EjUkeSana_PoYra_garlsa
Audh_Tirhut_Mail	OXa_wIrWa_mela
August_Kranti_Rajdhani_Express	agaswa_krAnwi_rAjaXAnI_eksapresa
Aulad_Ke_Dushman	OlAxakexuSmana
Aunty_No.1	ANtI_na._1
Aur_Ek_Prem_Kahani	OraekapremakahAnI
Aur_Kaun	OrakOna
Aur_Pyaar_Ho_Gaya	Ora_pyArahogayA
Aurangabad_Jalna_Gramin_Bank	OrafgAbAxa_jalanA_grAmINa_bEMka
Aurat_Teri_Yehi_Kahani	OrawawerIyehIkahAnI
Australia_chestnut	AstreliyAI_cestanata
Australian_Aborigine	oYstreliyA_kA_prAcInaxeSavAsI
Australian_blacksnake	oYstreliyA_kA_kAlA_sAzpa
Australian_capital	AstreliyAI_rAjaXAnI
Australian_dollar	AstreliyAI_doYlara
Austrian_capital	Astriyana_rAjaXAnI
Avantika_Express	avanwikA_eksapresa
Avathi_river	avaWI_naxI
Avinashilingam_University,_Coimbatore	avinASiliMgama_viSvavixyAlaya,_koiMbatora/avinASiliMgama_yunivarsitI,_koiMbatora
Awadh_Assam_Express	avaXa_asAma_eksapresa
Awadh_Express	avaXa_eksapresa
Awadh_Tirhut_Mail	avaXa_wIrWa_mela
Awara_Baap	avArA_bApa
Awara_Pagal_Deewana	avArA_pAgala_xIvAnA
Awdhesh_Pratap_Singh_University,_Rewa	avaXeSa_prawApa_siMha_yunivarsitI,_revA
Awdhesh_Pratap_Singh_Vishvidyalya,_Rewa	avaXeSa_prawApa_siMha_viSvavixyAlaya,_revA
Awwal_Number	avvala_nambara
Aye_Meri_Bekhudi	Aye_merI_beKuxI
Aysha_takia	AyaSA_tAkiyA
Ayurvedic_Colleges_in_Punjab	Ayurvexika_koYlejasa_ina_paFjAba
Azad_Express	AjAxa_eksapresa
Azad_Hind_Express	AjAxa_hiMxa_eksapresa
B.K.N._Chhibber	bI._ke._ena._Cibbara
B.K._Handique	bI._ke._hanxiku
B.M._Shah	bI.ema._SAha
B.V._Karanth	bI.vI._kAranWa
B._C._Khanduri	bI._sI._KaNdUrI
B._R._Ambedkar_Bihar_University,_Muzzafarpur	bI._Ara._Ambedakara_bihAra_yunivarsitI/bI_Ara_Ambedakara_bihAra_yunivarsitI
B._R._Ambedkar_Bihar_Vishvidyalya,_Muzzafarpur	bI._Ara._Ambedakara_bihAra_viSvavixyAlaya/bI_Ara_Ambedakara_bihAra_viSvavixyAlaya
B4U_MUSIC	bI4_yU_myUjika
BBK_DAV_College_for_Women	bIbIke_dIEvI_koYleja_PoYra_vumena
BCET_Gurdaspur	bIsIItI_guraxAsapura
BCM_College_of_Education	bIsIema_koYleja_oYPa_EjUkeSana
BD_Arya_Girls_College	bIdI_Arya_garlsa_koYleja
BIG._B.	biga._bI.
BIG_B	biga_bI
BIS_College_of_Engineering_&_Technology	bI_AI_esa_koYleja_oYPa_iMjIniriMga_eMda_tEkanolojI
BIS_Polytechnic	bI_AI_esa_polItEkanika
BKM_College_of_Education	bI_ke_ema_koYleja_oYPa_EjUkeSana
BLM_Girls_College	bI_ela_ema_garlsa_koYleja
BNP_Paribas_Bank	bI._ena._pI._paribAsa_bEMka/bIenapI_paribAsa_bEMka
BSSG_Government_College	bI_esa_esa_jI_gavarnameMta_koYleja
B_R_Ambedkar_National_Institute_of_Technology,_Jalandhar	bI_Ara_Ambedakara_neSanala_iMstityUta_oYPa_tEkanolojI,_jAlanXara
Baali_Umar_Ko_Salaam	bAlI_umra_ko_salAma
Baap_Numbari_Beta_Dus_Numbari	bApa_nambarI_betA_xasa_nambarI
Baap_Re_Baap	bApa_re_bApa
Baat_Ek_Raat_Ki	bAwa_eka_rAwa_kI
Baaton_Baaton_Mein	bAwoM_bAwoM_meM
Baayen_Hath_Ka_Khel	bAeM_hAWa_kA_Kela
Baba_Banda_Singh_Bahadur_College_of_Education	bAbA_banxA_siMha_bahAxura_koYleja_oYPa_EjUkeSana
