#Eng_Wrds	
#Structure_of_the_file	
#This	file
ABO_antibodies	rakwavargIya_roga-prawikAraka
Anthemis_tinctoria	EMWemisa_tiMktoriyA
Antheraea_mylitta	eMWIriyA_mAilitA
Antidorcas_euchore	spriMgabEka_bArahasiMgA
Antidorcas_marsupialis	spriMgabEka_bArahasiMgA
Antirrhinum_coulterianum	Entirinama_kolteriyAnamaa
Antonio_Lucio_Vivaldi	EMtoniyo_lUciyo_vivAldI
Antonio_Vivaldi	EMtoniyo_vivAldI
April_Fool	aprEla-PUla
Aquarius_the_Water_Bearer	kumBa_rASi/kumBa_rASi_meM_janmA_vyakwi
Arab_Republic_of_Egypt	ijipta_kA_araba_gaNawanwra/misra_kA_araba_gaNawanwra
Arab_Revolutionary_Brigades	araba_iMkalAbI_paltana
Arab_chief	kabIle_kA_muKiyA
Arachis_hypogaea	mUzgaPal
Arctic_wolf	uwwaraXruvI_BediyA
Arctostaphylos_uva-ursi	ArktostePAilasa_uvA-ursI
Arizona_wild_cotton	ErijonA_jafgalI_kapAsa
Artemisia_absinthium	ArtimIjiyA_ebasiMWiyama
Artemisia_dracunculus	terAgana
Artemisia_gnaphalodes	ArtimisiyA_naPElodIja
Artemisia_ludoviciana	ArtimisiyA_lyUdovisiyAnA
Artium_Baccalaurens	kalA_snAwaka
Ascension_Day	pavitra_bqhaspawivAra
Ash_Wednesday	IsAiyoM_ke_cAlIsa_xina_ke_vrawa_kA_praWama_xivasa
Ashoka_Tree	SiMSupA/aSoka_vqkRa
Ashoka_tree	SiMSapA
Asiatic_buffalo	BEMsa
Associate_in_Arts	kalA_sahayogI
Association_football	Putabala
Aster_acuminatus	Estara_ekyuminetasa
Atlantic_Ocean	etalANtika_mahAsAgara
Australian_Aborigine	mUla_oYstreliyAI/oYstreliyAI_AxivAsI
Australian_Rules	oYstreliyAI_rUlsa
Avinguda_Diagonal	aviMgudA_dAigonala
B_and_B	bI_eMda_bI/bI_enda_bI
B_complex	bI-kampleksa
B_vitamin	bI_vitAmina
Babylonian_weeping_willow	bexamajanUz
Bachelor_of_Arts	kalA_snAwaka
Bachelor_of_Arts_in_Library_Science	kalA-snAwaka_puswakAlaya_vijFAna
Balaclava_helmet	bElaclAva_hElmeta
Band_Aid	bEMda-eda
Barcelona_2004	bArsilonA_уссх
Bath_chair	rogIkursI
Battle_of_Midway	midave_kA_yuxXa
Battle_of_Waterloo	vAtaralU_kA_yuxXa
Beaufort_scale	boParta_mApakram
Belisha_beacon	xIpaswamBa
Best_Travel_Book	Best_Travel_Book
Betula_pendula	silvara_barca_vqkRa
Big_Brother	newA
Big_Dipper	sapwarRi
Bill_Clinton	bila_kliMtana
Bill_Gates	bila_getsa
Bison_bonasus	bAisana_bonAsasa
Black_American	amarIkI_kAlA_AxamI
Black_English	kAle_loMgo_xvArA_bolI_jAne_vAlI_afgrejI
Black_Monday	kAlA_somavAra
Black_Muslim	blEka_muslima
Black_September	blEka_septeMbara/kAlA_siwambara
Black_power	blEka_pAvara
Blessed_Trinity	paviwra_wrixeva
Bloody_Mary	bladI_merI
Blue_Peter	powa_sanwaraNa_Xvaja
Bob_Woodward	bOba_vudavarda
Bodhi_Vriksha	boXi_vqkRa
Bonfire_Night	banPAyara_nAita
Book_of_Obadiah	obadAyA_XarmagranWa
Booker_T._Washington	bukara_tI._vASiMgtana
Booker_Taliaferro_Washington	bukara_tAliyAPero_vASiMgtana
Bos_grunniens	bOjEYa_grUniyansa
Boxing_Day	baksiMga_de
Bram_Stoker	brEma_stokara
Brassica_hirta	brAsikA_hirwA
Brassica_kaber	brAsikA_kabera
Brassica_napus_napobrassica	svIda
Brassica_oleracea	brAsikA_olareSiyA
British_English	britISa-afgrejI
British_shilling	britiSa_SiliMga
Bromus_secalinus	cIta_GAsa
Bronx_cheer	rasaBarI
Bronze_medal	kAzsya_paxaka
Brussel_sprout	banxagoBI/brUsela_sprAuta
Brussels_sprout	banxagoBI/brUselsa_sprAuta
Bubalus_bubalis	BEMsa
Bunsen_burner	bansena_barnara
CAT_scan	kEta_skEna
CH_1211_Geneva_20	sI_eca_тутт_jinIvA_ус
Caladenia_cairnsiana	kEladIniyA_kErnasiyAnA
California_buckwheat	kEliPorniyA_kUtU
California_fern	kEliPorniyA_Parna
California_white_oak	kEliPorniyA_Svewa_SAhabalUwa
Callisaurus_draconoides	kElisOrasa_drekonOidsa
Calosoma_scrutator	KojI_Bqfga
Campanula_persicifolia	kEMpEnulA_parsisiPoliyA
Canada_balsam	kanAdA_gulameMhaxI/kanAdA_moKA
Canella_winterana	kEnelA_viMtarAnA
Canis_lupus_tundrarum	kEnisa_lyUpasa_tUNdrArama
Canna_edulis	kEnA_edulisa
Canna_indica	kEnA_indikA
Canton_de_Geneve	kEntana_dI_jinIva
Cape_coloured	kepa_praxeSIya/kepa_praxeSIya_vyakwi
Capreolus_capreolus	CotI_nasla_kA_hiraNa
Capsicum_annuum_grossum	SimalA_mirca
Captain_Bligh	kEptana_blAI
Carcharinus_longimanus	kArakErinasa_lOMjimEnasa
Carcharodon_carcharias	kErakarodOna_kErakariyAsa
Carica_papaya	papIwA
Carl_Lewis	kArla_lUisa
Carum_carvi	kErama_karvI
Caryota_urens	kEryotA_yUrensaa
Caterpillar_tractor	kEtarapilara_trEktara
Catherine_wheel	carKI
Caucasian_race	Svewa_jAwi
Caucasoid_race	Svewa_jAwi
Central_Africa	maXya_aPrIkA
Central_African_Republic	maXya_aPrIkI_gaNawanwra
Central_Thai	seMtrala_WAI
Cephalopterus_ornatus	siPEloterasa_oYrnetasa
Cercopithecus_aethiops_pygerythrus	varvata_vAnara
Cestrum_nocturnum	sestrama_nOktarnama
Chamaecyparis_nootkatensis	kEmIsAipErisa_nUtkAtensisa
Chamaecyparis_thyoides	kEmesAiperisa_WIyOidsa
Chamber_of_Commerce	vyApAra_maNdala
Chancellor_of_the_Exchequer	viwwamantrI
Chang_Jiang	cAfga_jyAfga
Charles_Darwin	cArlsa_dArvina
Charles_Robert_Darwin	cArlsa_rObarta_dArvina
Charles_Wilkes	cArlsa_vilksa
Cheddar_cheese	cedara_panIra
Chenopodium_album	kInopodiyama_Elbama
Chief_Constable	muKya_kanstebila
Chief_of_Staff	saSastra_senA_kA_ucca_aXikArI
Chilean_peso	peso
Chinese_water_chestnut	cInI_siMGAdA
Chinese_wistaria	cInI_visteriyA
Christian_Bible	bAibila
Christian_name	nAma
Christmas_Day	krisamasa_xivasa
Christmas_Eve	krisamasa_kI_pUrva-sanXyA
Christmas_box	bade_xina_kI_upahAra-petI
Christmas_cake	krisamasa_keka
Christmas_card	bade_xina_kA_SuBakAmanA_pawra
Christmas_cracker	krisamasa_patAKA
Christmas_pudding	krisamasa_pudiMga
Christmas_tree	krisamasa_vqkRa
Ciconia_ciconia	sikoniyA_sikoniyA
Cicuta_verosa	xalaxalI_hemalaka
Citrus_limon	nIMbU
Citta_del_Vaticano	sitA_dela_vEtikAno
City_of_Westminster	vestaminstara_Sahara
Civvy_street	asEnya_jIvana
Clematis_vitalba	pAWalawA
Clinopodium_vulgare	jafgalI_wulasI
Clive_Staples_Lewis	klAiva_steplsa_lUIsa
Codariocalyx_motorius	sarivana
Colaptes_auratus	kolEptIja_oYretasa
Colombian_peso	peso
Colonel_Blimp	rUDivAxI_vqxXa
Columba_palumbus	kolambA_pElambasa
Commission_for_Social_Development	sAmAjika_vikAsa_Ayogaa
Commission_on_Human_Rights	mAnavAdhikAra_Ayogaa
Commission_on_Narcotic_Drugs	svApaka_Oshadhi_Ayogaa
Commission_on_Population_and_Development	janasafkhyA_Ora_vikAsa_Ayogaa
Commission_on_Science_and_Technology_for_Development	vigyAna_Ora_takanIkI_vikAsa_Ayogaa
Commission_on_Sustainable_Development	dhAraNIya_vikAsa_Ayogaa
Commission_on_the_Status_of_Women	nArI_sthiti_Ayogaa
Commonwealth_of_Australia	oYstreliyAI_rARtramaNdala
Conference_Preparatory_committees	prArambhika_sabhA_sammelanaa
Conference_of_Directors	nideshaka_sammelana
Conium_maculatum	koriyama_mEkyuletama
Coordination_Committee_for_Vocabulary	SabxAvalI_samanvayana_samiwi
Cornish_pasty	karniSa_pestI
Cortaderia_selloana	pEMpAsa_GAsa
Corvus_corax	doma_kOA/kAlA_kOA
Corvus_frugilegus	yUWacArI_kAka
Count_Alessandro_Volta	kAuNta_alesEMxro_voltA
Count_Nikolaus_Ludwig_von_Zinzendorf	kAuNta_nikolasa_ludviga_vOna_jinjanadOrPa
Crimean_War	krImiyAI_yuxXa
Crocus_sativus	jAParAna/kesara
Croton_bug	krotana_baga
Crown_Court	POjaxArI_nyAyAlaya
Crown_prince	yuvarAja
Crown_princess	rajakumArI/yuvarAnI
Cub_Scout	kaba_skAuta
Cub_Scouts	kaba_skAutsa
Cuban_itch	laGu_masUrikA
Cuban_peso	peso
Cuban_sandwich	kyUbAI_sEMdavica
Cucumis_melo_inodorus	kyukumisa_melo_inodirasa
Cucurbita_foetidissima	kyUkarbitA_PItidisimA
Curcuma_domestica	halxI
Curcuma_longa	halxI
Cydonia_oblonga	kviMsa_vqkRa
Cygnus_columbianus_columbianus	saignasa_kolambiyAnasa_kolambiyAnasa
Cygnus_cygnus	signasa_signasa
Cynodon_dactylon	jayA/xUba/xUrvA
Cyperus_papyrus	patera
Damaliscus_lunatus	top
Dame_Rebecca_West	dema_rebekA_vesta
Danaus_plexippus	dEnasa_plEksipasa
Danish_blue	dEniSa_cIja
Danish_pastry	deniSa_pestrI
Darby_and_Joan	AxarSa_vqxXa_xampawwi
Day_of_Atonement	kRamAxAna_xivasa
Day_of_the_Book	puswaka_xivasa
Dean_Acheson	dIna_Ekisana
Dear_Sir	mAnanIya_mahoxaya
Delphinapterus_leucas	delPinepterasa_lyUkAsa
Department_of_Agriculture	kqRi_viBAga
Department_of_Transportation	parivahana_viBAga
Deputy_Secretary-General	upamahAsacivaa
Dermacentor_variabilis	drmAseMtara_veriyAbilIsa
Desmodium_gyrans	sarivana
Desmodium_motorium	sarivana
Dewar_flask	dyUara_PlAska
Dipsacus_sylvestris	dipsekasa_silvestrisa
Dominican_peso	peso
Don_Juan	vyaBicArI
Downing_Street	dAuniMga_strIta
Dutch_barn	daca_baKAra
Dutch_cap	garBaniroXaka_topI
Dutch_courage	naSe_kA_sAhasa
Dutch_treat	apanA-apanA_pEse_xekara_KAnA-pInA
East_Africa	pUrvI_aPrIkA
Easter_egg	IstarI_aNdA
Economic_Commission_for_Africa	aPrIkana_Arthika_Ayogaa
Economic_Commission_for_Europe	yUropIya_Arthika_Ayogaa
Economic_Commission_for_Latin_America_and_the_Caribbean	lEtina_amarIkI_Ora_kEribiyana_Arthika_Ayogaa
Economic_and_Social_Commission_for_Asia_and_the_Pacific	eshiyA_Ora_pEsiPika_Arthika_Ora_sAmAjika_Ayogaa
Economic_and_Social_Commission_for_Western_Asia	paScimI_eSiyA_ArWika_Ora_sAmAjika_Ayoga
Economic_and_Social_Council	Arthika_Ora_sAmAjika_parishaxa
Edith_Wharton	ediWa_vArtana
Edward_Young	edavarda_yafga
Egyptian_paper_reed	patera
Egyptian_paper_rush	patera
El_Giza	ala_gIjA
Elaeagnus_latifolia	eliyAgnasa_lEtiPoliyA
Eleocharis_dulcis	cInI_siMGAdA
Elihu_Yale	alIhu_yela
Ellen_Price_Wood	Elena_prAisa_vuda
Emberiza_citrinella	eMbarIjA_sitrInelA
Emile_Zola	emila_jolA
English_Civil_War	iMglEMda_kA_gqha_yuxXa
English_breakfast	halkA_nASwA
Enrolled_Nurse	ullaKiwa_paricAraka/ullaKiwa_paricArikA
Equatorial_Guinea	BUmaXyavarwI_ginI/ikvetoriyala_ginI
Erigonum_fasciculatum	Erigonama_PEsikyuletama
Erithacus_rubecola	rabina
Erolia_minutilla	titaharI
Eudora_Welty	yUdorA_veltI
Eugene_Wigner	yUjIna_vignara
European_Union	yUropIya_safGa
European_mountain_ash	rakwa_kola/rovana_vqkRa
European_nut_pine	yUropIya_nata_pAina
European_silver_fir	yUropIya_rajawa_xevaxAra
European_white_birch	yUropIya_Svewa_barca_vqkRa
Evelyn_Waugh	Ivalina_vA
Evergreen_State	EvaragrIna_steta
Falco_peregrinus	baharI
Fallopian_tube	diMbavAhI_nalI
Fatah_Revolutionary_Council	Pawaha_iMkalAbI_kAuMsila
Father_Christmas	sAnwA_klaja
Feast_of_Weeks	peMtikosta
Federal_Republic_of_Germany	jarmanI_kA_safGIya_gaNawanwra
Federal_Republic_of_Yugoslavia	yUgoslAviyA_safGIya_gaNawanwra
Federative_Republic_of_Brazil	brAjIla_kA_safGIya_gaNawamwra
Felis_concolor	weMxuA
Felis_onca	weMxuA
Ferris_wheel	Perisa_JUlA
Festival_del_Grec	dela_greka_samAroha
Ficus_aurea	Pikasa_oYriyAa
Field_Marshal	PIlda_mArSala
First_World_War	praWama_viSvayuxXa
Flag_Day	JaNdA-xivasa
Flammulina_velutipes	PlEmyulinA_velutAipisa
Fleet_Street	PlIta_strIta
Florida_strangler_fig	jafgalI_aFjIra
Food_and_Agriculture_Organization	khAdya_Ora_kqshi_sangaTanaa
Formica_rufa	POrmAikA_rUPA
Founding_Father	PAundiMga_PAxara
Frederick_Carleton_Lewis	Predarika_kArlatana_lUisa
Free_Church	rAjya_se_asambanXa_girijAGara
French_bean	PreMca_bIna
French_bread	PreMca_rotI
French_door	tutavAz_xaravAjA
French_dressing	PreMca_dresiMga
French_fries	cipsa
French_kiss	PreMca_cumbana
French_letter	PreMca_letara
French_loaf	PreMca_pAvarotI
French_polish	PreMca_pAliSa
French_stick	PreMca_pAvarotI
French_toast	PreMca_tosta
French_window	tutavAz_xaravAjA
Frenh_horn	Prenca_harna
Freudian_slip	sahaja_tippaNI
Friday_week	agale_haPwe_SukravAra
Friendly_Society	mitra-safGa
Fucus_serratus	xAzwexAra_samuxrI_SEvAla
Fucus_vesiculosus	cattAnI_SEvAla
Galleria_mellonella	SalaBa/pawafgA
Gallup_Poll	jana-nirvAcana_kI_jAzca
Gautama_Buddha	gOwama_buxXa
Gautama_Siddhartha	gOwama_sixXArWa
Gazania_rigens	trejara_PlAvara
Geiger_counter	gAiga_kAuntara
General_Assembly	Ama_sabhA/mahAsaBA
General_Certificate_of_Education	SikRA_sAmAnya_pramANapatra_parIkRA
General_Conference	mahA_sammelana
General_Secretariat	mahAsachivaa/mahAsacivAlaya
George_Washington	jarja_vASiMgtana
George_Westinghouse	jarja_vestiMgahAusa
Geranium_maculatum	jareniyama_mEkyuletama
German_cockroach	jarmana_wilacittA
German_measles	halkA_KasarA/jarmana_KasarAA/jarmana_romAnwikA
German_shepherd	jarmana_SeParda
Gernearl_Certificate_of_Secondary_Education	mAXyamika_SikRA_sAmAnya_pramANapatra_parIkRA
Gibraltar_fever	jibarAltara_jvara
Girl_Guide	bAlacArikA
Girl_Scout	bAlacArikA
Gladstone_bag	glEdastanaa
Glycyrrhiza_lepidota	glAisirijA_lepidotA
God_almighty	sarvaSakwimAna_BagavAna
God_forbid	ISvara_na_kareM!_EsA_na_ho!
God_forbid_that	ISvara_na_kareM!_EsA_na_ho!
God_in_heaven	svarga_ke_BagavAna
God_knows	BagavAna_jAnawA_hE
God_willing	BagavAna_ne_cAhA_wo
Golden_State	kEliPorniyA
Good_Book	bAibila
Good_Friday	guda_Praide
Good_Heavens!	vAha!
Good_Shepherd	mukwixAwA/uxXArakarwA
Gordian_knot	awyanwa_kaTina_samasyA
Gossypium_thurberi	gOsIpiyama_WaraberI
Graf_Zeppelin	grAPa_jepalina
Grand_Master	sabase_badA_nAita
Grand_Prix	grEMda_priksa
Great_Britain	greta_britena
Great_Dane	lambA_kuwwA
Great_War	praWama_viSvayuxXa
Green_Paper	prAWamika_leKa
Greenland_caribou	grInalEMda_kErIbU
Greenwich_Mean_Time	grInica_maXyamAna_samaya
Gregorian_chant	gregoriana_cAnta
Grewia_asiatica	greviyA_eSiyAtikA
Grim_Reaper	mqwyu
Grus_americana	grasa_amerikAnA
Guilty_conscience_pricks_the_mind	cora_kI_xADI_meM_winakA
Hans_Zinsser	hEMja_jinsara
Head_of_State	rARtrAXyakRa
Heath_Robinson	bahuwa_hI_jatila
Heaven_forbid	ISvara_na_kareM!_EsA_na_ho!
Heaven_forbid_that	ISvara_na_kareM!_EsA_na_ho!
Heaven_knows	BagavAna_jAnawA_hE
Heavens_above!	vAha!
Herbert_Marx	harbarta_mArksa
Herman_Wouk	harmana_voka
Hernaria_glabra	rapcaravorta
Hessian_boot	heSana_jUwA
Hg	pArA
Hibiscus_moschatus	hAibiskasa_mOsketasa
High_Church	Xarmika_saMskAra_ko_pramuKa_mAnyawA_xene_vAl
High_Commissioner	uccAyukwa
High_Commisssion	uccAyoga
High_Sheriff	hAi_SeriPa
Highland_fling	skatalEMda_kA_parvawa_praxeSIya_nqwya
Himalaya_Mountains	himAlaya_parvawa
His_Holiness	popa
Holy_Communion	komunyo
Holy_Joe	pAxarI
Holy_Scripture	paviwra_bAibala
Holy_Trinity	paviwra_wrixeva
Holy_Week	puNya_sapwAha
Holy_Writ	XarmagranWa/paviwra_bAibala
Home_Secretary	gqha_saciva
Homo_sapiens	mAnava-jAwi
Homo_sapiens_neanderthalensis	niyEndaraWala_mAnava
Horace_Walpole	horesa_vAlapola
Horn_of_Africa	hArna_oYPEYa_aPrIkA
House_of_Commons	lokasaBA
House_of_God	girajAGara/pUjAsWala
House_of_Worship	girajAGara/pUjAsWala
House_of_York	yOrka_vaMSa
Houses_of_parliament	saMsaxa
Hudsonian_godwit	hadasanI_ArAmuKI
Huntingdon_willow	haNtiMgdana_namrA
Hyacinthoides_nonscripta	hAyasiMWOidIja_nOnaskriptA
Hydrangea_arborescens	hAidrEnjiyA_ArborisInsa
Hydrastis_Canadensis	pIwa_kanxa
Hyemoschus_aquaticus	aPrIkI_xalaxalI_hiraNa
Hylocichla_fuscescens	sArikA
ID_card	paricaya_patra
I_ask_you	mEM_wumhe_pUCawA_hUM
I_beg_to_differ	merI_rAya_kuCa_Ora_hE
I_beg_your_pardon	mAPa_kIjie
I_bet	mEM_Sarwa_lagA_sakawA_hUz
I_bet_that	mEM_Sarwa_lagA_sakawA_hUz_ki
I_can_promise_you	mEM_wumhe_viSvaswa_kara_sakawA_hUz
I_dare_say	mEMne_mAnA_ki
I_don't_mind_if_I_do	hAz,_calegA
I_like_that!	mEM_xeKa_lUzgA/muJe_pasanxa_hE
I_must_say	mEM_kuCa_kahana_cAhawA_hUz
I_never!	vAh!
I_promise_you	mEM_wumhe_viSvaswa_karawA_hUz
I_say	are!/vAha!_kyA_bAwa_hE!
I_shouldn't_wonder	muJe_koI_AScarya_nahI_hogA
I_thought_as_much	muJe_isI_kA_anxeSA_WA
I_told_you	mEne_pahale_hI_kahA_WA
I_warrant_you	mEM_isake_bAre_meM_Apako_BarosA_xe_sakawA_hUz
I_wouldn't_say_no	hAz,_mEM_na_nahIM_kahUzgA
Ian_Wilmut	Ayana_vilmata
Ice_pack	pravAhI_himapuFja
If_in_doubt	aniSciwawA_kI_sWiwi_meM
Ikko_Tanaka	iko_tanakA
Ilex_decidua	Aileksa_desiduA
Independent_Television	iMdipendenta_telivijana
Indian_corn	makaI
Indian_file	eka_pafkwi
Indian_rupee	BArawIya_rupayA
Indian_shot	sarvajayA/xevakalI
Indian_summer	pawaJada_ke_anwa_kA_SAnwa_mOsama/suKaxa_samaya
Indian_tobacco	jafgalI_wambAkU
Infantile_spinal_muscular_atrophy	SESavakAlIna_meruxaNdIya_mAMsala_apakRaya
Inhabiting_the_World	viSva_meM_nivAsa
Inn_of_Court	viXi_saMsWAna
International_Atomic_Energy_Agency	anwarrARtrIya_paramANavika_UrjA_aBikaraNa
International_Bank_for_Reconstruction_and_Development	punarnirmANa_evaM_vikAsa_anwarrARtrIya_bEMka
International_Civil_Aviation_Organization	antarrAshtrIya_nAgarika_uddayana_sangathanaa
International_Court_of_Justice	anwarrARtrIya_nyAyAlaya
International_Fund_for_Agiricultural_Development	antarrAshtrIya_kqshIya_vikAsa_nidhi
International_Labour_Organization	antarrAshtrIya_majadUra_sangathana
International_Maritime_Organization	antarrAshtrIya_samudrI_sangathana
International_Research_and_Training_Institute_for_the_Advancement_of_Women	antarrAshtrIya_nArI_shodha_evam_prashikshaNa_sansthAna
International_System	anwarrARtrIya_paxXawi
International_System_of_Units	anwarrARtrIya_ikAI_paxXawi
International_Telecommunication_Union	antarrAshtrIya_dUrasanchAra_sangha
International_Trade_Center	antarrAshtrIya_vyApAra_kendraa
Internet_Society	intaraneta_sosAitI
Ipomoea_batatas	Sakarakanxa_kI_bela
Iridoprocne_bicolor	AiridoproknI_bAikalara
Iris_pseudacorus	Airisa_syUdEkorasa
Irish_bull	anuciwa_vyavahAra
Irish_coffee	AyariSa_kaPI
Irish_potato	saPexa_AlU
Irish_pound	AyariSa_pAuNda
Irish_punt	AyariSa_paNta
Irish_setter	AyariSa_setara
Irish_stew	AyariSa_xamapuKwa_pulAva
Iron_age	lOha_yugaa
Irvingia_gabonensis	irvingiyA_gEbonensisa
Isaac_Watts	Aijaka_vAtsa
Islamic_Republic_of_Pakistan	pAkiswAnI_islAmI_gaNawanwra
Islamic_law	islAmI_kAyaxA
Israel_Zangwill	ijarAila_jEMgvila
Italian_rice	iwAlavI_pulAva
Italian_sandwich	iwAlavI_sEMdavica
Jack_Frost	mUrwimAna_koharA
Jakob_Grimm	jEkaba_grima
Jakob_Ludwig_Karl_Grimm	jEkaba_ludviga_kArla_grima
Jamaica_honeysuckle	jamEkana_hanIsakala
James_Arthur_Baldwin	jemsa_ArWara_bAldavina
James_Baldwin	jemsa_bAldavina
James_Watt	jemsa_vAta
James_William_Fulbright	jemsa_viliyama_PulabrAita
Japanese_wistaria	jApAnI_visteriyA
Jasminum_nudiflorum	jEsmina_nyUdiPlorama
Jekyll_and_Hyde	jEkyla_Ora_hAida/xo_vyakwiwva_vAlA_eka_vyakwi
Jerusalem_artichoke	sUrajamUKI_pOXA
Jesus_Christ	IsA_masIha
Jiffy_bag	motA_surakRiwa_liPAPA
Johann_Winckelmann	johAna_viMkalamEna
John_Bull	TeTa_afgreja/afgreja_jAwi
John_Wain	jOna_vena
John_Wickliffe	jana_vAikliPa
John_Wilkes	jana_vilksa
John_Witherspoon	jOna_vixaraspUna
John_Wycliffe	jana_vAikliPa
Joint_Chiefs_of_Staff	saha_muKya_senAXikArI
Jolly_Roger	jalI_rojara
Jonesia_asoka	aSoka_vqkRa/jonesiyA_aSoka
Joseph_Emerson_Worcester	jojePa_emarsana_vUstara
Judgement_Day	kayAmawa_kA_xina
Juglans_cinerea	jagalAMsa_sineriyA
Justice_of_the_Peace	SAnwi_banAye_raKane_ke_lie_niyukwa_majistreta/nyAyAXISa
Kaffir_pox	laGu_masUrikA
Kaiser_Bill	kAijara_bila
Kaiser_Wilhelm	kAijara_vilhelma
Karl_Wernicke	kArla_varnika
Kelvin_scale	kelvina_mApa
Kenyan_shilling	kenyAI_SiliMga
Kiggelaria_africana	kigaleriyA_aPrikAnA
Kingdom_of_Spain	spena
Koichiro_Matsuura	koiciro_mawsurA
Komodo_dragon	komodo_drEgana
