#	/Amidst/Bilberry/Fine,/I/It/It/Kaladhungi/On/Ratna/The
###########################################################################################################	The
#-----------	The
#------------------	The
#-------------------	The
#==================	The
#===================	The
#A	descendant
#All	salesmen/the
#As	a/the
#Besides,	Aptech,
#But	do/this/when/you
#By	Alpana/Anita/Krithika/Nandini/Preeti/Sarita/drinking
#Chew	the
#Children	are
#Discounting	Bills
#Do	not/not
#Drink	plenty
#English-compound-word	Hindi-meaning
#Following	entries
#Fruits	and
#GITMO	was
#He	came
#I	am/want/will
#In	comparison/this,
#India	has
#It	was
#Kalajar	is
#Keep	taking
#Look,	I
#Lord	Caitanya
#New	Entries
#Not	only
#One	does
#Researches	have
#Structure_of_the_file:	have
#Suggested	by/by
#The	citizens/danger/use
#There	are
#Therefore	everybody
#Therefore,	the/the
#This	is/palace
#Unplugging	the
#We	saw
#What	is/is
#When	Arjun/these
#Yes	of
#Yes,	Yes.
#You	keep/keep
#based_on	para_AXAriwa
#powered	wheelchair
#station	master
,_in_short_,	safkRipwa_meM
Alt_hierarchy	Alta_paxAnukrama
Alt_key	Alta_kuFjI
Alter_mode	parivarwana_viXA
An_introduction_to_data_structured_with_application	AfkadA_saFcariwa_buxvi
Analog_integration	anurUpa_samAkalana
Analog_line_monitor	anurUpa_lAina_moYnitara
Analog_modem	anurUpa_moYdema
Analog_monitor	anurUpa_moYnitara
Analog_multiplier	anurUpa_guNaka
Analog_programming	anurUpa_kramAxeSana
Analog_scaling	anurUpa_mApana
Analog_signal	anurUpa_safkewa
Analog_simulation	anurUpa_anukaraNa
Analog_switch	anurUpa_svica
Analog_system	anurUpa_wanwra
Analog_to_digital_converter	anurUpa_se_afkIya_rUpAMnwaraka
Analog_to_digital_encoder	anurUpa_afkIya_kUta_leKana
Analog_transmission	anurUpa_saFcaraNa
Analog_type	anurUpa_prakAra
Analytic_specification	viSleRaNAwmaka_viSeRIkaraNa
Anchor_record	lafgara
Answer_lamp	uwwara_xIpa
Answer_list	uwwara_sUcI
Answer_mode	uwwara_viXA
Answer_only	uwwalAwra
Answer_originate	uwwara_uxBava
April_fool	pahalI_aprEla_ko_banAyA_gayA_mUrKa
April_fool's_jokes	aprEla_PUlsa_joka
Are_you_on_the_net	kyA_Apa_neta_para_hEM
Areca_catechu	sAmAnya_babUla
Arithmetic_IF_statement	afkagaNiwIya_iPa_kaWana
Arithmetic_and_logic_unit	afkagaNiwIya_evaM_warka_ekaka
Arithmetic_check	afkagaNiwIya_jAMEYca
Arithmetic_constant	afkagaNiwIya_acara
Arithmetic_conversion	afkagaNiwIya_rUpAnwara
Arithmetic_data	afkagaNiwIya_aMAkadA
Arithmetic_exception	afkagaNiwIya_apavAxa
Arithmetic_expression	afkagaNiwIya_vyaFjaka
Arithmetic_fixed_point	afkagaNiwIya_niyawa_biMxu
Arithmetic_hierarchy	afkagaNiwIya_paxAnukrama
Arithmetic_logic	afkagaNiwIya_warka
Arithmetic_operation	afkagaNiwIya_safkriyA
Arithmetic_operator	afkagaNiwIya_safkAraka
Arithmetic_overflow	afkagaNiwIya_aXipravAha
Arithmetic_picture_data	afkagaNiwIya_ciwra_aMAkadA
Arithmetic_precedence	afkagaNiwIya_pUrvavarwiwA
Arithmetic_primary_element	afkagaNiwIya_prAWamika_avayava
Arithmetic_register	afkagaNiwIya_paFjI
Arithmetic_relation	afkagaNiwIya_sambanXa
Arithmetic_scan	afkagaNiwIya_kramavIkRaNa
Arithmetic_section	afkIya_anuBAga
Arithmetic_shift	afkagaNiwIya_visWApana
Arithmetic_shifting	afkagaNiwIya_visWApana
Arithmetic_statement	afkagaNiwIya_kaWana
Arithmetic_term	afkagaNiwIya_paxa
Arithmetic_underflow	afkagaNiwIya_axyopravAha
Arithmetic_unit	afkIya_ekaka
Assemble_duration	kodAnwaraNa_avaXi
Assembly_Language	smarAnwaraNa_BARA
Assembly_language_programming	kodAnwaraNa_BARA_progrAmana
Assembly_language_software_flexibility	kodAnwaraNa_BARA_soYPtaveyara_namyawA
At-least-once_semantics	nyUnawama_eka_bAra_simeMtika
At-most-once_semantics	aXikawama_eka_bAra_simeMtikI
Attached_document	saMlagna_praleKa
Audio_telecommunication_line	Sravya_xUrasaFcAra_lAina
Audio_terminal	Sravya_tarminala
Audio_trail	Sravya_sawyApana
Authorised_Dealer	prAXikqwa_vyApArI
Auto-dial_mode	svawaH_dAyala_viXA
Auto_-answer_modem	svawaH_uwwara_moYdema
Auto_index	svawaH_sUcakAfka
Auto_indexed	svawaH_sUcakiwa
Auto_logon	svawaH_loYgoYna
Auto_sizing	svawaH_AmApana
Auto_start_routine	svawaH_cAliwa_nemakA
Automate_type	svacala_prarUpa
Automatic_answering_machine	svawaH_uwwara_maSIna
Automatic_backup	svawaH_bEkaCaapa
Automatic_call_distributor	svawaH_AhvAna_viwaraka
Automatic_calling	svawaH_AhvAna
Automatic_check	svawaH_joYFca
Automatic_coding	svawaH_kodana
Automatic_computing	svawaH_aBikalana
Automatic_constant	svawaH_acara
Automatic_control_engineering	svawaH_niyanwraNa_iMjIniyarI
Automatic_data_processing	svawaH_AfkadA_prakramaNa
Automatic_data_processing_system	svawaH_AfkadA_prakramaNa_wanwra
Automatic_decimal_alignment	svawaH_xaSamalava_sareKaNa
Automatic_dialing_unit	svawaH_dAyalana_ekaka
Automatic_dictionary	svawaH_raciwa_koSa
Automatic_emulation_switching	svawaH_samAnukaraNa_svIcana
Automatic_equalization	svawaH__wulyIkaraNa
Automatic_error_correction	svawaH_wruti_saMSoXana
Automatic_feed_punch	svawaH_BaraNa_paFca
Automatic_font_down_loading	svawaH_PoYta_AvaBAraNa
Automatic_function	svawaH_Palana
Automatic_gain_control	svawaH_labXi_niyanwraNa
Automatic_head_parking	svawaH_SIrRa
Automatic_hyphenation	svawaH_netavarka_svican
Automatic_indexing	svawaH_sUcakIkaraNa
Automatic_library_call	svawaH_safgraha_AhvAna
Automatic_message_accounting	svawaH_sanxeSa_leKAfkana
Automatic_message_routing	svawaH_sanxeSa_anumArgaNa
Automatic_mode_switching	svawaH_viXA_svicana
Automatic_network_switching	svawaH_netavarka_svicana
Automatic_number_identification	svawaH_safKyA_aBijFAna
Automatic_pagination	svawaH_pqRTana
Automatic_priority_grouping	svawaHpqRtana_svawaH_varIyawA_samUhana
Automatic_punch	svawaH_CixraNa
Automatic_recalculation	svawaH_punaH_kalana
Automatic_repeat_request	svawaH_punarAvarwana_nivexana
Automatic_revision_tracking	svawaH_punaH_anupaWana
Automatic_routine	svawaH_nemakA
Automatic_sequencing	svawaH_anukramaNa
Automatic_sequential_operation	svawaH_anukramI_safkriyA
Automatic_server_recovery	svawaH_parisevaka
Automatic_speed_sensing	svawaH_cAla_saMvexana
Automatic_stop	svawaH_virAma
Automatic_variable	svacara
Automatic_volume_recognition	svawaH_prabalawA_aBijFAna
Automatic_volume_switching	svawaH_prabalawA_svicana
Back-end_processor	paSca_sirA_prakramaka
Back_bone_network	merUxaNda_rIDa_netavarka
Back_door	paSca_xvAra
Back_edge	paSca_Cora
Back_end	paSca_sirA
Back_face_deletion	paSca_Palana_vilopana
Back_ground	pqRTa_BUmi
Back_ground_light	pqRTaBUmiM_prakASa
Back_patching	paSca_pEbanxa
Back_plane	paSca_wala
Back_propagation	paSca_prasAraNa
Back_tracking	paSca_paWana
Back_ward_error_recovery	paSca_wruti_prApwi
Bad_&_doubtful_debts	nikqRta_waWA_sanxehAspaxa_qNa
Balance_sheet	wulana_pawra
Balance_sheet_as_snapshot	wulana_pawra_kA_ASuciwra
Band-stepper_actuator	baMEda_stepara_safkriyaka
Band_Aid	xavA_yukwa_pattI
Band_printer	baMEda_muxraka
Band_stop_filter	bEMda_virAma_nisyanxaka
Band_width	bEMda_cOdAI
Bank_account	bEMka_kA_KAwA
Bank_for_International_Settlement	anwarrARRtrIya_nipatAna_bEMka
Bank_machine	bEMka_maSIna
Bank_overdraft	bEMka_ovaradrAPta
Bank_switching	bEMka_svIciMga
Banker's_algorithm	bEMkarsa_elgoriWma
Base_address_register	AXAra_pawA_paFjI
Base_addressing	AXAra_pawABigamana
Base_notation	AXAra_safkewana
Base_number	AXAra_safKyA
Base_register	AXAra_rajistara
Base_storage_allocation	AXAra_BaNdAraNa_niyAwana
Base_table	AXAra_sAraNI
Base_volume	mUla_KaNda
Basic_English	mUla_afgrejI
Basic_Statistical_Return	mUlaBUwa_sAfKyikIya_vivaraNI
Batch_file	bEca_PAIla
Batch_operating_system	bEca_pracAlana_wanwra
Batch_partition	bEca_viBAjana
Batch_position	bEca_sWiwi
Batch_processing	bEca_prakramana
Batch_region	bEca
Batch_session	bEca
Batch_system	bEca
Batch_terminal	bEca
Be_quick	jalxI_kara
Big_Brother	badA_BAI
Big_o-notation	xIrGaCa0Casafkewana
Birds_of_a_feather	eka_samAna
Bite_the_hand_that_feeds	viSvAsaGAwa_karanA
Block_multiplexer	avaroXa_bahusafkewaka
Block_multiplexor_channel	KaNda_bahusafkewaka_cEnala
Block_size	KaNdaka_AmApa
Block_transfer	KaNda_anwaraNa
Block_transmission	KaNdaka_saFcaraNa
Book_of_Instructions	anuxeSa_puswaka
Budget_estimation	bajata_Akalana
Buffer_register	baPara_rajistara
Buffer_storage	baPara_BaNdAraNa
Built-in_function	anwanirmiwa_Palana
Built-in_procedure	anwanirmiwa_prakriyA
Bus_internet	basa_jAla
By_this_time	abawaka
Canonic_system	vixxiwa_wanwra
Cantonese_dialect	prAnwIya_bolI
Cape_buffalo	BEMsa_vAlA_labAxA
Carrier-to-noise_ratio	vAhaka_rava_anupAwa
Carrier_wave	vAhaka_warafga
Cash_on_Delivery	supurxagI_para_nakaxa_axAyagI
Central_memory	keMxrIya_smqwi
Central_office	keMxrIya_kAryAlaya
Central_operator	keMxrIya_pracAlaka
Certificate_of_incorporation	nigamana_praNANapawra
Chain_link	SrqfKalA_kadI
Chain_printer	SrqfKalA_muxraka
Channel-attached_station	praNAla_saMlagna_keMxra
Character_oriented	samprawIka_unmuKI
Character_position	samprawIka_sWiwi
Character_printer	samprawIka_muxraka
Character_reader	samprawIka_pATaka
Character_set	samprawIka_samuccaya
Character_size	samprawIka_sAija
Character_string	samprawIka_rajju
Character_string_constant	samprawIka_rajju_acara
Characteristic_root	aBilAkRaNika_mUla
Christian_church	kriSciyana_carca
Christmas_bells	krisamasa_GaNtiyAz
Christmas_bush	krisamasa_para_raKI_jAne_vAlI_JAdI
Christmas_cactus	krisamasa_nAgaPaznI
Christmas_card	krismasa_kArda
Christmas_carol	krisamasa_ke_gIwa
Church_Service	carca_kI_pUjA
Church_father	pAxarI
Circular_queue	varwula_pafkwi
Class_C_network	varga_sI_netavarka
Class_operation	varga_safkriyA
Class_structure	varga_saMracanA
Class_utility	varga_upayogiwA
Class_variable	varga_cara
Co-axial_cable	samAkRIya_kebala
Code_division_multiple_access	kUta_viBAjana_bahu_aBigama
Code_frame	kUta_Prema
Code_generation	koda_janana
Code_generator	kUta_janaka
Code_hoisting	koda_uwWApana
Code_independence	kUta_anASriwa
Code_independent_system	kUta_svawanwra_wanwra
Code_link	kUta_kadI
Code_optimization	kUta_IRwamIkaraNa
Code_page	kUta_pqRTa
Code_page_file	kUta_pqRTa_saFcikA
Code_segment	kUta_KaNda
Code_set	kUta_samuccaya
Code_snippet	kqta_snipeta
Code_word	kUta_Sabxa
Collate_to	parimilana_samAnukramiwa_karanA
Come_down_on_one_side_of_the_fence_or_other	sAWa_xenA_yA_na_xenA
Comm_Port	saFcAra_xvAraca_kAma_xvArakaca_kAma-porta
Command_drive_program	AxeSa_cAliwa_progrAma
Command_drive_system	AxeSa_cAliwa_wanwra
Common_business-oriented_language	sAmAnya_vyavasAya_unmuKI_BARA
Communication_controller	saFcAra_niyanwraka
Compilation_error	safkalana_wruti
Compile_time	safkalana_kAla
Compile_time_diagnostic	safkalana_kAla_nExAnika
Compile_time_macro	safkalana_kAla_mEkro
Compile_time_statement	safkalana_kAla_kaWana
Compile_tomography	safkalana_tomogrAPI
Complement_base	pUraka_AXAra
Complementary_co-operation	pUraka_safkriyA
Complex_number	sammiSra_safKyA
Computational_complexity	aBikalanAwmaka_jatilawA
Computing_machinery	aBikalana_maSInarI
Condition_code	prawibanXa_koda
Condition_variable	prawibanXa_cara
Connect_function	sambanXa_Palana
Connect_speed	sambanXa_gawi
Connect_time	sambanXa_kAla
Connection_oriented_communication	sambanXa_mUlaka_saFcAra
Connection_oriented_protocol	sambanXa_mUlaka_protokEYAla
Connection_oriented_service	sambanXa_mUlaka_sevA
Connection_release	sambanXa_mukwi
Connection_termination	sambanXa_samApwi
Constellation_of_Network	netavarka_maNdala
Contra_aid	sahAyawA_ke_viruxXa
Contra_effort	viroXi_prayAsa
Control-message_display	niyanwraNaCasanxeSa_praxarSa
Control_line	niyanwraNa_lAina
Control_logic	niyanwraNa_warka
Control_loop	niyanwraNa_pASa
Control_mark	niyanwraNa_cinha
Control_microprogramming	niyanwraNa_sUkRmakramAxeSana
Control_mode	niyanwraNa_viXA
Control_number	niyanwraNa_safKyA
Control_objective	niyanwraNa_uxxeSya
Control_operation	niyanwraNa_safkriyA
Control_operator	niyanwraNa_safkAraka
Control_panel	niyanwraNa_pEnala
Control_panel_device	niyanwraNa_pEnala_yukwi
Control_program	niyanwraNa_kramAxeSa
Control_register	niyanwraka_paFjI
Control_signal	niyanwraka_safkewa
Control_stack	niyanwraNa_ciwi
Control_standard	niyanwraNa_mAnaka
Control_statement	niyanwraNa_kaWana
Control_storage	niyanwraNa_BaNdAraNa
Control_structure	niyanwraNa_saMracanA
Control_switch	niyanwraNa_svica
Control_tape	niyanwraka_tepa
Control_terminal	niyanwraNa_tarminala
Control_unit	niyanwraNa_ekaka
Convertible_Debenture	parivarwanIya_dibEMcara
Cook's_theorem	kuka_prameya
Cost-center_accounting	lAgawa_keMxra_leKAkaMna
Cost_Freight_Price	lAgawa_Ora_BAdA_mUlya
Cost_of_sales	vikraya_lAgawa
Cost_per_page	prawi_pqRTa_lAgawa
Cost_strategy	lAgawa_nIwi
Count-key-data_device	gaNana_kuFjI_AfkadA_yukwi
Crown_prince	yuvarAja
Crown_princess	yuvarAjFI
Data_bus	AfkadA_basa
Data_capture	AfkadA_pragrahaNa
Data_carrier	AfkadA_vAhaka
Data_cell	AfkadA_koRTikA
Data_chain	AfkadA_SrrqfKalA
Data_channel	AfkadA_praNAla
Data_channel_multiplexer	AfkadA_praNAla_bahusafkewaka
Data_circuit	AfkadA_paripaWa
Data_circuit_transparency	AfkadA_paripaWa_pAraxarSiwA
Data_collection	AfkadA_safgraha
Data_communication	AfkadA_saFcAra
Data_communication_channel	AfkadA_saFcAra_praNAla
Data_communication_equipment	AfkadA_saFcAra_upakaraNa
Data_communication_interface	AfkadA_saFcAra_anwarApqRTa
Data_communication_network	AfkadA_saFcAra_netavarka
Data_communication_service	AfkadA_saFcAra_sevA
Data_compaction	AfkadA_safGanana
Data_compression	AfkadA_sampIdana
Data_connection	AfkadA_sambanXana
Data_consistency	AfkadA_susafgawawA
Data_constant	acara_AfkadA
Data_contamination	AfkadA_sanxURaNa
Data_contol_block	AfkadA_niyanwraNa_KaNda
Data_control	AfkadA_niyanwraNa
Data_converter	AfkadA_parivarwaka
Data_crash	AkadA_XvaMsa
Data_declaration	AfkadA_GoRaNA
Data_declaration_statement	AfkadA_GoRaNA_kaWana
Data_definition	AfkadA_pariBARA
Data_definition_language	detA_AfkadA_pariBARA_BARA
Data_definition_name	detA_AfkadA_pariBARA_nAma
Data_definition_statement	detA_AfkadA_pariBARA_kaWana
Data_delay	AfkadA_vilamba
Data_delimiter	AfkadA_parisImaka
Data_density	AfkadA_Ganawva
Data_dependency	AfkadA_nirBarawA
Data_description_entry	AfkadA_vivaraNa_praviRti
Data_description_language	AfkadA_vivaraNa_BARA
Data_design	AfkadA_aBikalpanA
Data_dictionary	AfkadA_koSa
Data_directed_transmission	AfkadA_xiRta_saFcAraNa
Data_encryption	AfkadA_gUDaleKana
Data_encryption_key	AfkadA_gUDaleKana_kuFjI
Data_encryption_standard	AfkadA_gUDaleKana__mAnaka
Data_entry	AfkadA_praviRti
Data_entry_device	AfkadA_praviRti_yukwi
Data_error	AfkadA_wruti
Data_examination	AfkadA_parIkRaNa
Data_exchange	AfkadA_vinimaya
Data_field	AfkadA_kRewra
Data_file	AfkadA_saFcikA
Data_flow	AfkadA_pravAha
Data_flow_chart	AfkadA_pravAha_saFciwra
Data_flow_diagram	AfkadA_pravAha_AreKa
Data_fragmentation	AfkadA_KaNdana
Data_graphics	AfkadA_grAPiksa
Data_hierarchy	AfkadA_paxAnukrama
Data_in_voice	samavAka_Afkade
Data_independence	AfkadA_mukwawA
Data_integrity	AfkadA_samAgrawA
Data_interchange	AfkadA_vinimaya
Data_item	AfkadA_maxa
Data_level	AfkadA_swara
Data_library	AfkadA_safgraha
Data_link	AfkadA_kadI
Data_link_control_character	AfkadA_kadI_niyanwraka_samprawIka
Data_link_control_layer	AfkadA_kadI_niyanwraka_parawa
Data_link_layer	AfkadA_kadI_parawa
Data_link_protocol	AfkadA_kadI_protokoYla
Data_logging	AfkadA_saMleKana
Data_management	AfkadA_prabanXana
Data_management_program	AfkadA_prabanXana_progrAma
Data_management_system	AfkadA_prabanXana_wanwra
Data_manipulation	AfkadA_prakalana
Data_manipulation_language	AfkadA_prakalana_BARA
Data_mask	AfkadA_mAska
Data_masking	AfkadA_AcCAxana
Data_migration	AfkadA_pravAsa
Data_mining	AfkadA_Kanana
Data_mode	AfkadA_viXA
Data_modeling	AfkadA_prawirUpaNa
Data_models	AfkadA_nixarSa
Data_modem	AfkadA_moYdema
Data_modification	AfkadA_Aparivarwana
Data_move_instruction	detA_AfkadA_cAla_anuxeSa
Data_multiplexer	AfkadA_bahusafkewaka
Data_name	AfkadA_nAma
Data_navigation	AfkadA_nevigeSana
Data_network	AfkadA_netavarka
Data_operation	AfkadA_pracAlana
Data_organisation	AfkadA_safgaTana
Data_origination	AfkadA_uxgamIkaraNa
Data_output	detA_AfkadA_nirgama
Data_path	AfkadA_paWa
Data_phase	AfkadA_prAvasWA
Data_plotter	AfkadA_afkaka
Data_pointer	AfkadA_safkewaka
Data_preparation	AfkadA_wEyArI
Data_preparation_device	AfkadA_wEyArI_yukwi
Data_preprocessing	pUrvaprakramana
Data_privacy	gopanIya_AfkadA
Data_processing	AfkadA_prakramana
Data_processing_cycle	AfkadA_saMsAXana_cakra
Data_processing_machine	AfkadA_saMsAXana_yanwra
Data_processing_node	AfkadA_saMsAXana_AsanWi
Data_processing_station	AfkadA_prakramana_steSana
Data_processing_system	AfkadA_prakramana_wanwra
Data_processor	AfkadA_saMsAXiwra
Data_protection	AfkadA_rakRaNa
Data_purification	AfkadA_SoXana
Data_receiver	AfkadA_aBigrAhI
Data_record	AfkadA_aBileKa
Data_reduction	AfkadA_laGukaraNa
Data_register	AfkadA_paFjI
Data_reproduction	AfkadA_punarUwpAxana
Data_retrieval	AfkadA_prawinayana
Data_review_control	AfkadA_samIkRA_niyanwraNa
Data_routine	AfkadA_nemakA
Data_security	AfkadA_surakRA
Data_separator	AfkadA_pqWakkArI
Data_set	AfkadA_samuccaya
Data_set_clocking	AfkadA_samuccya_kAla_samAyojana
Data_set_definition_table	AfkadA_samuccya_pariBARA_sAraNI
Data_set_label	AfkadA_samuccaya_lebala
Data_set_name	AfkadA_samuccya_nAma
Data_set_organisation	AfkadA_samuccaya_safgaTana
Data_set_reference_number	AfkadA_samuccya_sanxarBa_safKyA
Data_set_security	AfkadA_samuccya_surakRA
Data_set_utility_program	AfkadA_samuccaya_upayogiwA_kramAxeSa
Data_signal	AfkadA_safkewa
Data_signaling_rate	AfkadA_safkewana_xara
Data_sink	AfkadA_aBigama
Data_source	AfkadA_srowa
Data_specification	AfkadA_viSiRta
Data_station	AfkadA_keMxra
Data_storage	AfkadA_BaNdAraNa
Data_storage_structure	AfkadA_BaNdAraNa_saMracanA
Data_stream	AfkadA_pravAha
Data_structure	AfkadA_saMracanA
Data_structure_algorithm	AfkadA_saMracanA_prameya
Data_structure_diagram	AfkadA_saMracanA_AreKa
Data_switch	AfkadA_svica
Data_switching_centre	AfkadA_svicana_keMxra
Data_switching_exchange	AfkadA_svicana_vinimaya
Data_tablet	AfkadA_sAraNikA
Data_terminal	AfkadA_anwaka
Data_time	AfkadA_kAla
Data_transcription	AfkadA_anuleKana
Data_transcription_device	AfkadA_anuleKana_yukwi
Data_transfer	AfkadA_anwaraNa
Data_transfer_phase	AfkadA_anwaraNa_pravAsWA
Data_transfer_rate	AfkadA_anwaraNa_xara
Data_transfer_register	AfkadA_anwaraNa_paFjI
Data_transmission	AfkadA_saFcaraNa
Data_transmission_channel	AfkadA_saFcaraNa_praNAlI
Data_transmission_facility	AfkadA_saFcaraNa_suviXA
Data_transmission_interface	AfkadA_saFcaraNa_anwarApqRTa
Data_transmission_line	AfkadA_saFcaraNa_lAina
Data_transmission_service	AfkadA_saFcaraNa_sevA
Data_transmission_trap	AfkadA_saFcaraNa_prapASa
Data_types	AfkadA_prarUpa
Data_under_voice	aXovAk_AfkadA
Data_unit	AfkadA_ekaka
Data_validation	AfkadA_mAnyIkaraNa
Dear_me	diyara_mI
Dedicated_line	samarpiwa_lAina
Deed_of_lease	pattA
Deed_of_partnership	sAJexArI_vileKa
Degree_of_multi-programming	bahuprogrAmana__kotica_bahukramAxeSana_koti
Delay_line_memory	vilamba_lAina_smqwi
Delay_line_register	vilamba_lAina_paFjI
Delay_line_storage	vilamba_lAina_BaNdAra
Delay_loop_store	vilamba_pASa_BaNdAra
Delay_programming	vilamba_kramAxeSana
Delay_time	vilamba_kAla
Demand_and_Time_Liabilities	mAzga_Ora_mIyAxI_xeyawAez
Depreciation_by_revaluation	punarmUlyana_xvArA_mUlyahqAsa
Design_automation	prArUpa_svacAlana
Design_modem	aBikalpa_moYdema
Design_secrecy	aBikalpa_gopanIyawA
Design_technique	aBikalpa_wakanIka
Desk_top_computer	deskaCatoYpa_kampyUtara
Desk_top_computing	deska_toYpa_aBikalana
Desktop_publishing_package	deskatoYpa_prakASana_safkula
Desktop_publishing_system	deskatoYpa_prakASana_wanwra
Develop_oriented_measures	vikAsonmuKI_upAya
Device_co_ordinates	yukwi_nirxeSAfka
Device_control_unit	yukwi_niyanwraNa_ekaka
Di_bit	xvixvayafka
Diagnostic_technique	nixAna_wakanIka
Diagnostic_test	nixAnArWa_parIkRaNa
Dial-up_line	dAyala_apa_lAina
Dial-up_terminal	dAyalana_anwaka
Dial_exchange	dAyala_keMxra
Dial_line	dAyala_lAina
Dial_pulse	dAyala_spanxa
Dial_repeating_trunk	dAyala_punarAvqwi_trafka
Dial_tone	dAyala_tona
Dial_tone_delay	dAyala_tona_vilamba
