Additional_Resource_Mobilisation	awirikwa_saMsAXana_jutAnA
Association_of_South_East_Asian_Nations	xakRiNa_pUrva_eSiyAI_rARtroM_kA_safGa
Association_of_Voluntary_Agencies_for_Rural_Development	grAmINa_vikAsa_svEcCika_ejeMsI_safGa
Backward_Classes_Commission	piCadI_jAwi_Ayoga
Bankers_Training_College	bEMkara_praSikRaNa_mahAvixyAlaya
Banking_Regulation_Act	bEMkakArI_vinimaya_aXiniyama
Banking_Services_Recruitment_Board	bEMkiMga_sevA_BarwI_borda
Belgian_Congo	bEljiyama_kAfgo
Bills_Rediscounting_Scheme	bila_punarBunAI_yojanA
Block_Development_Officer	KaNda_vikAsa_aXikArI
Board_for_Industrial_and_Financial_Reconstruction	Oxyogika_Ora_viwwIya_punarnirmANa_borda
British_Cabinet	britiSa_manwrimaNdala
Bureau_of_Public_Enterprises	loka_uxyama_kAryAlaya
Canadian_International_Development_Association	kanAdA_anwarrARtrIya_vikAsa_safGa
Cash_Compensatory_Scheme	nakaxI_prawipUrwi_yojanA
Cash_Compensatory_Support	nakaxI_prawipUrwi_sahAyawA
Cash_Reserve_Ratio	prArakRiwa_nakaxI_niXi_anupAwa
Cashew_Corporation_of_India	BArawIya_kAjU_nigama
Census_Bureau	niMxA_kakRa
Central_Board_of_Direct_Taxes	keMxrIya_prawyakRa_kara_borda
Central_Board_of_Excise_and_Customs	keMxrIya_uwpAxana_Ora_sImA_Sulka_borda
Central_Board_of_Revenue	keMxrIya_rAjasva_borda
Central_Ground_Water_Board	keMxrIya_BU-jala_borda
Central_Industrial_Extension_Training_Institute	keMxrIya_Oxyogika_viswAra_praSikRaNa_saMsWAna
Central_Land_Development_Bank	keMxrIya_BUmi_vikAsa_bEMka
Central_Land_Reforms_Committee	keMxrIya_BUmi_suXAra_samiwi
Central_Sector_Plan_Scheme	keMxrIya_kRewra_Ayojana_kI_yojanA
Central_Statistical_Organisation	keMxrIya_sAfKyikIya_safgaTana
Central_Veterinary_Research_Institute	keMxrIya_paSucikiwsA_anusanXAna_saMsWA
Central_Warehousing_Corporation	keMxrIya_BANdAgAraNa_nigama
Certificated_Associate_of_the_Indian_Institute_of_Bankers	BArawIya_bEMkara_saMsWAna_kA_pramANapawriwa_esosieta
College_of_Agricultural_Banking	kqRi_bEMkiMga_mahAvixyAlaya
Command_Area_Development_Agency	kamAna_kRewra_vikAsa_ejeMsI
Command_Area_Development_Programme	kamAna_kRewra_vikAsa_kAryakrama
Commission_for_Agricultural_Costs_and_Prices	kqRi_lAgawa_Ora_mUlya_Ayoga
Communication_control_unit	saFcAra_niyanwraNa_ekaka
Compensatory_Financing_Facility	kRawipUraka_viwwapoRaNa_suviXA
Compulsory_Deposit_Scheme	anivArya_jamA_yojanA
Concessional_Rate_of_Interest	riyAyawI_byAja_xara
Controller_of_Capital_Issues	pUFjI_nirgama_niyanwraka
Cotton_Advisory_Board	kapAsa_parAmarSaxAwA_borda
Cotton_Corporation_of_India	BArawIya_kapAsa_nigama
Council_for_Mutual_Economic_Assistance	pArasparika_ArWika_sahAyawA_pariRaxa
Credit_Authorisation_Scheme	qNa_prAXikaraNa_yojanA
Credit_Guarantee_Organisation	qNa_gAraNtI_safgaTana
Credit_Guarantee_Scheme	qNa_gAraNtI_yojanA
Cumulative_Term_Deposit	saFcayI_sAvaXi_jamA
Currency_Declaration_Form	muxrA_GoRaNA_PArma
Debt_Equity_Ratio	qNa_IkvitI_anupAwa
Demand_Promissory_Note	mAfga_vacana_pawra
Department_of_Banking_Operations_Development	bEMkiMga_paricAlana_Ora_vikAsa_viBAga
Deposit_Insurance_Credit_Guarantee_Corporation	nikRepa_bImA_Ora_prawyaya_gAraNtI_nigama
Development_Assistance_Committee	vikAsa_sahAyawA_samiwi
Development_Loan_Fund	vikAsa_qNa_niXi
Differential_Rate_of_Interest_Scheme	viBexaka_bjAya_xara_yojanA
Directorate_General_of_Shipping	jahAjarAnI_mahAnixeSAlaya
Directorate_General_of_Technical_Development	wakanIkI_vikAsa_mahAnixeSAlaya
Directorate_of_Advertising_and_Visual_Publicity	vijFApana_evaM_xqSya_pracAra_nixeSAlaya
District_Consultative_Committee	jilA_parAmarSaxAwrI_samiwi
District_Credit_Plan	jilA_qNa_yojanA
District_Industrial_Centre	jilA_Oxyogika_keMxra
District_Rural_Development_Agencies	jilA_grAmINa_vikAsa_ejeMsI
Drought_Prone_Area_Programme	sUKA_pravaNa_kRewra_kAryakrama
Duty_Drawback_Scheme	Sulka_vApasI_yojanA
Duty_Exemption_Scheme	Sulka_CUta_yojanA
Economic_Commission_for_Africa	aPrIkI_ArWika_Ayoga
Economic_Commission_for_Area_and_the_Far_East	eSiyA_Ora_suxUra_pUrva_xeSoM_kA_ArWika_Ayoga
Economic_Commission_for_Latin_America	lEtina_amarIkA_kA_ArWika_Ayoga
Economic_and_Social_Commission_for_Asia_and_Pacific	eSiyA_Ora_praSAnwa_kRewra_kA_ArWika_Ora_sAmAjika_Ayoga
Employees_State_Insurance_Corporation	karmacArI_rAjya_bImA_nigama
Engineering_Export_Promotion_Council	iMjIniyarI_niryAwa_saMvarXana_pariRaxa
European_Economic_Community	yUropIya_ArWika_samuxAya
European_Free_Trade_Association	yUropIya_mukwa_vyApAra_safGa
European_Monetary_Agreement	yUropIya_muxrA_karAra
European_Monetary_System	yUropIya_mOxrika_praNAlI
Export_Bills_Credit_Scheme	niryAwa_bila_qNa_yojanA
Export_Credit_Gurarantee_Corporation_of_India_Ltd	BArawIya_niryAwa_qNa_gAraNtI_nigama_li..
Export_Marketing_Fund_Programme_of_EXIM_Bank	ekjima_bEMka_kA_niryAwa_vipaNana_niXi_kAryakrama
Export_Promotion_Council	niryAwa_saMvarXana_pariRaxa
Extended_Fund_Facility	praxawwa_niXi_suviXA
FEAEd_Foreign_Exchange_Act_Enforcement_Directorate	vixeSI_muxrA_aXiniyama_pravarwana_nixeSAlaya
FRNs_Floating_Rate_Notes	asWira_xara_vAle_nota
Farmers_Service_Societies	kqRaka_sevA_samiwiyAz
Federation_of_Indian_Export_Organisation	BArawIya_niryAwa_safgaTana_mahAsafGa
Finance_Ministry	vwwia_manwrAlaya
Fixed_Deposit_Receipt	sAvaXi_jamA_rasIxa
Food_Corporation_of_India	BArawIya_KAxya_nigama
Food_for_Work_Programme	kAma_ke_baxale_AnAja_kAryakrama
Foreign_Bills_Discounted	BunAye_gaye_vixeSI_bila
Foreign_Bills_Negotiated	parakrAmiwa_vixeSI_bila
Foreign_Bills_Purchased	KarIxe_gaye_vixeSI_bila
Foreign_Bills_for_Collection	vasUlI_ke_lie_prApwa_vixeSI_bila
Foreign_Currency_Assets	vixeSI_muxrA_AswiyAz
Foreign_Exchange_Regulations_Act	vixeSI_muxrA_viniyamana_aXiniyama
Foreign_Inward_Remittance_Certificate	vixeSI_Avaka_preRaNa_pramANapawra
Foreign_Travel_Scheme	vixeSa_yAwrA_yojanA
Foreign_Travel_Tax	vixeSa_yAwrA_kara
Free_Trade_Zone	mukwa_vyApAra_kRewra
General_Agreement_of_Tariffs_and_Trade	tEriPa_Ora_vyApAra_sambanXI_sAmAnya_karAra
General_Currency_Area_Licences	sAmAnya_muxrA_kRewra_lAiseMsa
General_Insurance_Corporation	sAXAraNa_bImA_nigama
German_Democratic_Republic	jarmana_janavAxI_gaNarAjya
Government_Promissory_Note	sarakArI_vacanapawra
Gross_Domestic_Product	sakala_xeSI_uwpAxa
Gross_National_Product	sakala_rARtrIya_uwpAxa
High_Power_Committee	ucca_aXikAra_prApwa_samiwi
High_Yield_Varieties_Programme	aXika_upajavAlI_kismoM_kA_kAryakrama
Hindu_Undivided_Family	hiMxU_aviBakwa_parivAra
Housing_Development_Finance_Corporation	AvAsa_vikAsa_viwwa_nigama
Import_REplenishment_Licence	AyAwa_puna:pUrwi_lAiseMsa
Import_Trade_Control	AyAwa_vyApAra_niyanwraNa
India_Tourim_Development_Corporation	BArawa_paryatana_vikAsa_nigama
Indian_Accounts_and_Audit_Service	BArawIya_leKA_Ora_leKA-parIkRA_sevA
Indian_Council_of_Agricultural_Research	BArawIya_kqRi_anusanXAna_pariRaxa
Indian_Farmers_Fertilisers_Corporation	BArawIya_kqRaka_urvaraka_nigama
Indian_Handicrafts_Development_Corporation	BArawIya_haswaSilpa_vikAsa_nigama
Indian_Institute_of_Bankers	BArawIya_bEMkara_saMsWAna
Indira_Vikas_Patra	iMxirA_vikAsa_pawra
Industrial_Development_Bank_of_India	BArawIya_Oxyogika_vikAsa_bEMka
Industrial_Finance_Corporation_of_India	BArawIya_Oxyogika_viwwa_nigama
Industrial_Raw_Material_Assitance_Centre	Oxyogika_kaccA_mAla_sahAyawA_keMxra
Industrial_Reconstruction_Bank_of_India	BArawIya_Oxyogika_punarnirmANa_bEMka
Industrial_Training_Institute	Oxyogika_praSikRaNa_keMxra
Institute_of_Banking_Personnel_Selection	bEMkiMga_kArmika_cayana_saMsWAna
Institutional_Credit_for_Agriculture_Rural_Development	qNa_vyavasWA_kI_punarIkRaNa_samiwi
Integrated_Rural_Development_Programme	samanviwa_grAmINa_vikAsa_kAryakrama
Integrated_Tribal_Development_Project	samanviwa_janajAwi_vikAsa_pariyojanA
Intensive_Agriculture_District_Programme	samAXAna_KewI_kA_jilA_kAryakrama
Intensive_Cotton_District_Programme	saGana_kapAsa_jilA_kAryakrama
Intensive_Jute_Development_Programme	gahana_jUta_vikAsa_kAryakrama
International_Air_Transport_Association	anwarrARtrIya_havAI_parivahana_safGa
International_Bank_for_Reconstruction_and_Development	anwarrARtrIya_punarnirmANa_Ora_vikAsa_bEMka
International_Credit_Card	anwarrARtrIya_kredita_kArda
International_Development_Association	anwarrARtrIya_vikAsa_safGa
International_Finance_Corporation	anwarrARtrIya_viwwa_nigama
International_Fund_for_Agricultural_Development	anwarrARtrIya_kqRi_vikAsa_niXi
International_Labour_Organization	anwarrARtrIya_Srama_safgaTana
International_Marketing_Federation	anwarrARtrIya_vipaNana_mahAsafGa
International_Monetary_Fund	anwarrARtrIya_muxrA_koRa
Japan_External_Trade_Organisation	jApAnI_vixeSa_vyApAra_safgaTana
Jute_Corporation_of_India	BArawIya_jUta_nigama
Kandla_Free_Trade_Zone	kANdalA_mukwa_vyApAra_kRewra
Khadi_and_Village_Industries_Commission	KAxI_waWA_grAmoxyoga_Ayoga
Land_Development_Bank	BUmi_vikAsa_bEMka
Land_Mortgage_Bank	BUmi_banXaka_bEMka
Lead_Bank_Scheme	agraNI_bEMka_yojanA
Life_Insurance_Corporation_of_India	BArawIya_jIvana_bImA_nigama
Marginal_Farmers_Development_Agency	sImAnwa_kqRaka_vikAsa_ejeMsI
Marginal_Farmers_and_Agricultural_Labourers_Agency	sImAnwa_kqRaka_Ora_Kewihara_majaxUra_ejeMsI
Minerals_Metals_Trading_Corporation_of_India	BArawIya_Kanija_Ora_XAwu_vyApAra_nigama
Monopolies_and_Restrictive_Trade_Practices_Commission	ekAXikAra_waWA_avaroXaka_vyApArika_vyavahAra_Ayoga
Motor_Transport_Receipt	motara_parivahana_rasIxa
National_Bank_for_Agricultural_and_Rural_Development	rARtrIya_kqRi_Ora_grAmINa_vikAsa_bEMka
National_Commission_on_Agriculture	rARtrIya_kqRi_Ayoga
National_Dairy_Development_Board	rARtrIya_derI_vikAsa_borda
National_Development_Council	rARtrIya_vikAsa_pariRaxa
National_Equity_Fund	rARtrIya_IkvitI_niXi
National_Housing_Bank	rARtrIya_AvAsa_bEMka
National_Industrial_Classification	rARtrIya_Oxyogika_vargIkaraNa
National_Industrial_Development_Corporation	rARtrIya_Oxyogika_vikAsa_nigama
National_Institute_of_Bank_Management	rARtrIya_bEMka_prabanXa_saMsWAna
National_Institution_for_Training_in_Industrial_Engineering	rARtrIya_Oxyogika_iMjIniyarI_praSikRaNa_saMsWAna
National_Mineral_Development_Corporation	rARtrIya_Kanija_vikAsa_nigama
National_Rural_Development_Bonds	rARtrIya_grAmINa_vikAsa_bANda
National_Rural_Development_Programme	rARtrIya_grAmINa_rojagAra_kAryakrama
National_Sample_Survey_Organisation	rARtrIya_pawixarSa_sarvekRaNa_safgaTana
National_Saving_Certificate	rARtrIya_bacawa_pramANapawra
National_Small_Industries_Corporation	rARtrIya_laGu_uxyoga_nigama
National_Textile_Corporation	rARtrIya_vaswra_nigama
National_youth_wing	rARtrIya_yuvA_morcA
Neighbourhood_Travel_Scheme	padosI_xeSoM_kI_yAwrA_yojanA
No_Objection_Certificate	q`Apawwi_nahIM''
Non_Resident_External_Rupee_Account_Scheme	anivAsI_bAhaya_rupayA_KAwA_yojanA
Official_Development_Assistance	AXikArika_vikAsa_sahAyawA
Oil_Exporting_Developing_Countries	wela_niryAwaka_vikAsaSIla_xeSa
Oklahoma_City	oklahomA_Sahara
Open_General_Licence	KulA_sAmAnya_lAiseMsa
Organisation_of_Petroleum_Exporting_Countries	petroliyana_(wela)_niryAwaka_xeSoM_kA_safgaTana
Outward_Bills_for_Collection	vasUlI_ke_lie_jAvaka_bila
Primary_Agricultural_Credit_Society	prAWamika_kqRi_qNa_samiwi
Primary_Land_Development_Bank	prAWamika_BUmi_vikAsa_bEMka
Regional_Rural_Bank	kRewrIya_grAmINa_bEMka
Replenishment_Licence	puna:pUrwi_lAiseMsa
Reserve_Bank_of_India	BArawIya_rijarva_bEMka
Returning_Indians_Foreign_Exchange_Entitlement_Scheme	svaxeSa_lOtanevAle_BArawIyoM_kI_vixeSI_muxrA_pAwrawA_yojanA
Revised_Minimum_Need_Programme	saMSoXiwa_nyUnawama_AvaSyakawA_kAryakrama
Rural_Electrification_Corporation	grAmINa_vixyuwIkaraNa_nigama
Santacruz_Electronics_Export_Processing_Zone	sAnwAkrUja_ilektroYnika_niryAwa_aBisaMskaraNa_kRewra
Scheduled_Commercial_Bank	anusUciwa_vANijya_bEMka
Selective_Credit_Control	cayanAwmaka_qNa_niyanwraNa
Shipping_Corporation_of_India	BArawIya_nOvahana_nigama
Ships_Acquired_From_Abroad_Under_New_Scheme	nayI_yojanA_ke_anwargawa_vixeSoM_se_prApwa_jahAja
Small_Farmers_Development_Agency	laGu_kqRaka_vikAsa_ejeMsI
Small_Farmers_Development_Corporation	laGu_kqRaka_vikAsa_nigama
Small_Industries_Development_Fund	laGu_uxyoga_vikAsa_niXi
Small_Industries_Development_Organisation	laGu_uxyoga_vikAsa_safGaTana
Small_Loan_Guarantee_Scheme	laGu_qNa_gAraNtI_yojanA
Special_United_Nations_Fund_for_Economic_Development	ArWika_vikAsa_kI_viSeRa_saMyukwa_rARtra_niXi
Standing_Committee_on_Export_Finance	niryAwa_viwwa_sambanXI_sWAyI_samiwi
Standing_Coordination_Committee	sWAyI_samanvayana_samiwi
State_Bank_of_India	BArawIya_steta_bEMka
State_Electricity_Board	rAjya_vixyuwa_borda
State_Financial_Corporation	rAjya_viwwIya_nigama
State_Industrial_Development_Corporation	rAjya_Oxyogika_vikAsa_nigama
State_Industrial_Investment_Corporation	rAjya_Oxyogika_niveSa_nigama
State_Land_Development_Bank	rAjya_BUmi_vikAsa_bEMka
State_Level_Banking_Committee	rAjyaswarIya_bEMkiMga_samiwi
State_Level_Inter_Institutional_Committee	rAjyaswarIya_anwara_saMsWAgawa_samiwi
State_Small_Industries_Development_Corporation	rAjya_laGu_uxyoga_vikAsa_nigama
State_Trading_Corporation	rAjya_vyApAra_nigama
State_Warehousing_Corporation	rAjya_BANdAgAraNa_nigama
Statistical_Commission	sAfKyikIya_Ayoga
Statutory_Cash_Reserve	sAMviXika_nakaxI_prArakRiwa_niXi
Statutory_Liquidity_Ratio	sAMviXika_calaniXi_anupAwa
Statutory_Reserve_Fund	sAMviXika_prArakRiwa_niXi
Steel_Authority_of_India	BArawIya_ispAwa_prAXikaraNa
Tea_Trading_Corporation_of_India	BArawIya_cAya_vyApAra_nigama
Trade_Development_Authority_of_India	BArawIya_vyApAra_vikAsa_prAXikaraNa
Trade_Fair_Authority_of_India	BArawIya_vyApAra_melA_prAXikaraNa
Uniform_Customs_Procedure	samarUpa_viXi_prakriyA
Union_Cabinet	keMxrIya_manwrImaNdala
Union_Public_Service_Commission	safGa_loka_sevA_Ayoga
Unit_Trust_of_India	BArawIya_yUnita_trasta
Unitarian_Church	axvEwavAxI_girajAGara
United_Arab_Emirates	saMyukwa_araba_amIrAwa
United_Nations_Conference_on_Trade_and_Development	saMyukwa_rARtra_vyApAra_Ora_vikAsa_sammelana
United_Nations_Technical_Assitance_Board	saMyukwa_rARtra_wakanIkI_sahAyawA_borda
United_States_Information_Services	saMyukwa_rAjya_sUcanA_sevA
World_Health_Organisation	viSva_svAsWya_safgaTana
